downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,4g,strong,300,29,401,0.072,steady,1
50M,4g,strong,300,653,7024,0.093,buffering,2
50M,4g,strong,300,601,4058,0.148,buffering,3
50M,4g,strong,300,730,7373,0.099,buffering,4
50M,4g,strong,300,702,3105,0.226,buffering,5
50M,4g,strong,1200,2804,10542,0.266,buffering,6
50M,4g,strong,2850,6442,15637,0.412,buffering,7
50M,4g,strong,4300,6495,9008,0.7210000000000001,buffering,8
50M,4g,strong,4300,6324,9152,0.691,buffering,9
50M,4g,strong,4300,2792,4143,0.674,steady,1
50M,4g,strong,4300,2680,4838,0.554,steady,1
50M,4g,strong,4300,4081,5676,0.719,steady,1
50M,4g,strong,4300,14225,9322,1.5259999999999998,steady,1
50M,4g,strong,4300,17324,10687,1.621,buffering,2
50M,4g,strong,4300,12333,9796,1.259,steady,1
50M,4g,strong,4300,11196,5765,1.942,steady,1
50M,4g,strong,4300,9908,12479,0.794,buffering,2
50M,4g,strong,4300,9331,9464,0.986,steady,1
50M,4g,strong,4300,4389,5438,0.807,steady,1
50M,4g,strong,4300,4521,8746,0.517,steady,1
50M,4g,strong,4300,4568,4724,0.967,steady,1
50M,4g,strong,4300,4550,8601,0.529,steady,1
50M,4g,strong,4300,4648,4827,0.963,steady,1
50M,4g,strong,4300,6046,7966,0.759,steady,1
50M,4g,strong,4300,8289,8466,0.979,steady,1
50M,4g,strong,4300,10575,8798,1.202,steady,1
50M,4g,strong,4300,8081,8171,0.989,steady,1
50M,4g,strong,4300,8317,11488,0.7240000000000001,steady,1
50M,4g,strong,4300,9768,9988,0.978,steady,1
50M,4g,strong,4300,3432,10624,0.323,steady,1
50M,4g,strong,4300,3156,6998,0.451,steady,1
50M,4g,strong,4300,5458,9712,0.562,steady,1
50M,4g,strong,4300,7751,9045,0.857,steady,1
50M,4g,strong,4300,7149,9820,0.728,steady,1
50M,4g,strong,4300,9669,6996,1.382,steady,1
50M,4g,strong,4300,8538,13928,0.613,steady,1
50M,4g,strong,4300,6373,12399,0.514,steady,1
50M,4g,strong,4300,7070,13165,0.537,steady,1
50M,4g,strong,4300,12962,5137,2.523,steady,1
50M,4g,strong,4300,17375,14431,1.2040000000000002,buffering,2
50M,4g,strong,4300,15811,12116,1.305,steady,1
50M,4g,strong,4300,6491,8044,0.807,steady,1
50M,4g,strong,4300,5130,9717,0.528,steady,1
50M,4g,strong,4300,2663,6122,0.435,steady,1
50M,4g,strong,4300,4380,7500,0.584,steady,1
50M,4g,strong,4300,5316,7704,0.69,steady,1
50M,4g,strong,4300,7863,8356,0.941,steady,1
50M,4g,strong,4300,3594,7379,0.487,steady,1
50M,4g,strong,4300,5171,7036,0.7350000000000001,steady,1
50M,4g,strong,4300,6044,6436,0.939,steady,1
50M,4g,strong,4300,8109,13100,0.619,steady,1
50M,4g,strong,4300,10988,11066,0.993,steady,1
50M,4g,strong,4300,9418,6283,1.499,steady,1
50M,4g,strong,4300,7341,9907,0.741,steady,1
50M,4g,strong,4300,7435,12885,0.577,steady,1
50M,4g,strong,4300,7436,10517,0.707,steady,1
50M,4g,strong,4300,7737,8484,0.912,steady,1
50M,4g,strong,4300,12283,12113,1.014,steady,1
50M,4g,strong,4300,10559,7736,1.365,steady,1
50M,4g,strong,4300,13283,6049,2.196,steady,1
50M,4g,strong,4300,18909,15944,1.1860000000000002,buffering,2
50M,4g,strong,4300,11257,8259,1.363,steady,1
50M,4g,strong,4300,8281,9574,0.865,steady,1
50M,4g,strong,4300,6173,9815,0.629,steady,1
50M,4g,strong,4300,9718,7978,1.218,steady,1
50M,4g,strong,4300,6907,13981,0.494,steady,1
50M,4g,strong,4300,7715,9828,0.785,steady,1
50M,4g,strong,4300,7912,8426,0.939,steady,1
50M,4g,strong,4300,9043,8206,1.102,steady,1
50M,4g,strong,4300,8232,8460,0.973,steady,1
50M,4g,strong,4300,9425,7719,1.221,steady,1
50M,4g,strong,4300,8384,6233,1.345,steady,1
50M,4g,strong,4300,10106,5005,2.019,steady,1
50M,4g,strong,4300,6482,6052,1.071,buffering,2
50M,4g,strong,4300,9460,4674,2.024,steady,1
50M,4g,strong,4300,10273,6465,1.589,buffering,2
50M,4g,strong,4300,7732,7866,0.983,buffering,3
50M,4g,strong,4300,10997,7400,1.486,steady,1
50M,4g,strong,4300,7052,5526,1.276,steady,1
50M,4g,strong,4300,5178,4974,1.041,steady,1
50M,4g,strong,4300,6632,7419,0.894,steady,1
50M,4g,strong,4300,10273,7713,1.332,steady,1
50M,4g,strong,4300,10131,8652,1.171,steady,1
50M,4g,strong,4300,8973,9659,0.929,steady,1
50M,4g,strong,4300,6062,7191,0.843,steady,1
50M,4g,strong,4300,9809,7522,1.304,steady,1
50M,4g,strong,4300,3056,7835,0.39,steady,1
50M,4g,strong,4300,5037,5705,0.883,steady,1
50M,4g,strong,4300,8229,3971,2.072,steady,1
50M,4g,strong,4300,13987,4137,3.381,buffering,2
50M,4g,strong,4300,8996,7515,1.1969999999999998,buffering,3
50M,4g,strong,4300,12350,8771,1.408,buffering,4
50M,4g,strong,4300,11461,13053,0.878,buffering,5
50M,4g,strong,4300,9238,9211,1.003,steady,1
50M,4g,strong,4300,12843,10241,1.254,steady,1
50M,4g,strong,4300,8487,6704,1.266,steady,1
50M,4g,strong,4300,3674,7703,0.477,steady,1
50M,4g,strong,4300,14915,4534,3.29,steady,1
50M,4g,strong,4300,10547,9045,1.166,buffering,2
50M,4g,strong,4300,8418,6789,1.24,buffering,3
50M,4g,strong,4300,6181,8101,0.763,buffering,4
50M,4g,strong,4300,7703,11036,0.698,steady,1
50M,4g,strong,4300,5493,4363,1.259,steady,1
50M,4g,strong,4300,5191,6078,0.854,steady,1
50M,4g,strong,4300,8011,5384,1.488,steady,1
50M,4g,strong,4300,10132,6926,1.463,steady,1
50M,4g,strong,4300,12425,7194,1.727,steady,1
50M,4g,strong,4300,14568,8976,1.623,buffering,2
50M,4g,strong,4300,6054,7502,0.807,steady,1
50M,4g,strong,4300,6681,9599,0.696,steady,1
50M,4g,strong,4300,7793,7968,0.978,steady,1
50M,4g,strong,4300,6542,7554,0.866,steady,1
50M,4g,strong,4300,9110,14324,0.636,steady,1
50M,4g,strong,4300,15013,8059,1.863,steady,1
50M,4g,strong,4300,12990,8441,1.539,buffering,2
50M,4g,strong,4300,8470,11571,0.732,steady,1
50M,4g,strong,4300,6232,10457,0.596,steady,1
50M,4g,strong,4300,9028,10747,0.84,steady,1
50M,4g,strong,4300,5134,8334,0.616,steady,1
50M,4g,strong,4300,5562,10075,0.5519999999999999,steady,1
50M,4g,strong,4300,5479,8767,0.625,steady,1
50M,4g,strong,4300,6396,7244,0.883,steady,1
50M,4g,strong,4300,20396,9009,2.264,steady,1
50M,4g,strong,4300,13678,7763,1.762,buffering,2
50M,4g,strong,4300,10558,8090,1.305,buffering,3
50M,4g,strong,4300,9272,8609,1.077,steady,1
50M,4g,strong,4300,6349,8892,0.7140000000000001,steady,1
50M,4g,strong,4300,9898,6922,1.43,steady,1
50M,4g,strong,4300,7510,12016,0.625,steady,1
50M,4g,strong,4300,6912,9217,0.75,steady,1
50M,4g,strong,4300,12865,9622,1.337,steady,1
50M,4g,strong,4300,9393,7940,1.183,steady,1
50M,4g,strong,4300,6495,9084,0.7150000000000001,steady,1
50M,4g,strong,4300,5832,10547,0.5529999999999999,steady,1
