downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,4g,strong,300,32,280,0.113,steady,1
5M,4g,strong,300,723,4250,0.1699999999999999,buffering,2
5M,4g,strong,300,597,5062,0.118,buffering,3
5M,4g,strong,300,591,4476,0.132,buffering,4
5M,4g,strong,300,552,2546,0.217,buffering,5
5M,4g,strong,750,1327,4807,0.276,buffering,6
5M,4g,strong,2850,4074,7198,0.566,buffering,7
5M,4g,strong,4300,6968,10308,0.6759999999999999,buffering,8
5M,4g,strong,4300,8526,5483,1.5550000000000002,buffering,9
5M,4g,strong,4300,8783,5847,1.502,buffering,10
5M,4g,strong,4300,7863,5855,1.343,steady,1
5M,4g,strong,4300,7276,5533,1.3150000000000002,steady,1
5M,4g,strong,4300,6804,7510,0.906,steady,1
5M,4g,strong,4300,10026,8212,1.221,steady,1
5M,4g,strong,4300,8885,8957,0.992,steady,1
5M,4g,strong,4300,19128,6471,2.956,steady,1
5M,4g,strong,4300,14478,5817,2.489,buffering,2
5M,4g,strong,4300,12384,5345,2.317,buffering,3
5M,4g,strong,4300,8712,5095,1.7100000000000002,buffering,4
5M,4g,strong,4300,13778,5525,2.494,buffering,5
5M,4g,strong,4300,12468,5675,2.197,buffering,6
5M,4g,strong,4300,11178,5364,2.084,buffering,7
5M,4g,strong,4300,9903,3980,2.488,buffering,8
5M,4g,strong,4300,8887,6267,1.418,buffering,9
5M,4g,strong,4300,8131,7774,1.046,buffering,10
5M,4g,strong,4300,7255,5624,1.29,buffering,11
5M,4g,strong,4300,2895,4060,0.713,buffering,12
5M,4g,strong,4300,3033,3981,0.762,steady,1
5M,4g,strong,4300,5452,3894,1.4,steady,1
5M,4g,strong,4300,8117,5609,1.447,steady,1
5M,4g,strong,4300,7855,5599,1.403,steady,1
5M,4g,strong,4300,8574,7417,1.156,steady,1
5M,4g,strong,4300,7301,7953,0.918,steady,1
5M,4g,strong,4300,6084,8868,0.6859999999999999,steady,1
5M,4g,strong,4300,6159,8290,0.743,steady,1
5M,4g,strong,4300,7052,3387,2.082,steady,1
5M,4g,strong,4300,5269,1903,2.768,buffering,2
5M,4g,strong,4300,4803,5019,0.957,buffering,3
5M,4g,strong,2850,3245,5259,0.617,buffering,4
5M,4g,strong,2850,3993,15784,0.253,steady,1
5M,4g,strong,2850,3925,10636,0.369,steady,1
5M,4g,strong,2850,6510,8555,0.761,steady,1
5M,4g,strong,4300,9412,1342,7.011,steady,1
5M,4g,strong,1200,3103,4894,0.634,buffering,2
5M,4g,strong,1200,3157,4798,0.6579999999999999,buffering,3
5M,4g,strong,1200,2282,5036,0.453,buffering,4
5M,4g,strong,1200,2831,5092,0.5559999999999999,buffering,5
5M,4g,strong,1200,2849,5458,0.522,steady,1
5M,4g,strong,4300,8672,2336,3.713,steady,1
5M,4g,strong,2850,7316,4893,1.495,buffering,2
5M,4g,strong,1850,12242,8060,1.519,buffering,3
5M,4g,strong,1850,6804,5790,1.175,buffering,4
5M,4g,strong,2850,6056,5756,1.052,buffering,5
5M,4g,strong,2850,5810,4663,1.246,steady,1
5M,4g,strong,4300,7605,5340,1.4240000000000002,steady,1
5M,4g,strong,4300,11271,3980,2.8320000000000003,steady,1
5M,4g,strong,2850,11206,4246,2.639,buffering,2
5M,4g,strong,2850,13672,7268,1.881,buffering,3
5M,4g,strong,2850,11876,5885,2.018,buffering,4
5M,4g,strong,2850,16178,4225,3.829,buffering,5
5M,4g,strong,2850,12195,6972,1.749,buffering,6
5M,4g,strong,4300,10847,6252,1.735,buffering,7
5M,4g,strong,4300,9042,3803,2.378,buffering,8
5M,4g,strong,4300,9475,4558,2.079,buffering,9
5M,4g,strong,4300,11707,6507,1.799,buffering,10
5M,4g,strong,4300,14167,6727,2.106,buffering,11
5M,4g,strong,4300,11297,5492,2.057,buffering,12
5M,4g,strong,4300,11746,5120,2.294,buffering,13
5M,4g,strong,4300,9083,5628,1.614,buffering,14
5M,4g,strong,4300,3157,6037,0.523,buffering,15
5M,4g,strong,4300,4592,5690,0.8069999999999999,buffering,16
5M,4g,strong,4300,5266,5532,0.952,buffering,17
5M,4g,strong,4300,5780,5984,0.966,steady,1
5M,4g,strong,4300,6235,5938,1.05,steady,1
5M,4g,strong,4300,5393,6307,0.855,steady,1
5M,4g,strong,4300,6565,6604,0.994,steady,1
5M,4g,strong,4300,34,358,0.094,steady,1
5M,4g,strong,2850,854,2490,0.3429999999999999,steady,1
5M,4g,strong,1850,702,1683,0.417,steady,1
5M,4g,strong,750,346,1603,0.216,steady,1
5M,4g,strong,750,402,1302,0.309,steady,1
5M,4g,strong,300,158,674,0.235,steady,1
5M,4g,strong,4300,1520,3057,0.497,steady,1
5M,4g,strong,4300,1670,3753,0.445,steady,1
5M,4g,strong,4300,2450,5645,0.434,steady,1
5M,4g,strong,4300,3963,6868,0.577,steady,1
5M,4g,strong,4300,2081,4783,0.435,steady,1
5M,4g,strong,4300,1821,3495,0.521,steady,1
5M,4g,strong,4300,3473,6467,0.537,steady,1
5M,4g,strong,4300,4797,7268,0.66,steady,1
5M,4g,strong,4300,9858,9119,1.081,steady,1
5M,4g,strong,4300,12541,7308,1.716,steady,1
5M,4g,strong,4300,6047,6433,0.94,buffering,2
5M,4g,strong,4300,4483,2447,1.832,steady,1
5M,4g,strong,4300,4204,3733,1.126,steady,1
5M,4g,strong,4300,4423,4358,1.015,steady,1
5M,4g,strong,4300,2932,3370,0.87,steady,1
5M,4g,strong,4300,2412,2087,1.156,steady,1
5M,4g,strong,4300,4018,4440,0.905,steady,1
5M,4g,strong,4300,4625,5011,0.923,steady,1
5M,4g,strong,4300,5125,5487,0.934,steady,1
5M,4g,strong,4300,5547,6123,0.906,steady,1
5M,4g,strong,4300,6593,7500,0.879,steady,1
5M,4g,strong,4300,6240,7591,0.822,steady,1
5M,4g,strong,4300,6836,7939,0.861,steady,1
5M,4g,strong,4300,7657,6312,1.213,steady,1
5M,4g,strong,4300,7599,11690,0.65,steady,1
5M,4g,strong,4300,6143,7785,0.789,steady,1
5M,4g,strong,4300,4632,10026,0.4619999999999999,steady,1
5M,4g,strong,4300,6091,8089,0.753,steady,1
5M,4g,strong,4300,5827,12166,0.479,steady,1
5M,4g,strong,4300,6256,11759,0.532,steady,1
5M,4g,strong,4300,6168,10367,0.595,steady,1
5M,4g,strong,4300,5181,6396,0.8099999999999999,steady,1
5M,4g,strong,4300,6700,4339,1.544,steady,1
5M,4g,strong,4300,7929,10558,0.751,steady,1
5M,4g,strong,4300,8890,10961,0.8109999999999999,steady,1
5M,4g,strong,4300,8805,8788,1.002,steady,1
5M,4g,strong,4300,7930,12200,0.65,steady,1
5M,4g,strong,4300,9083,10047,0.904,steady,1
5M,4g,strong,4300,7551,7018,1.076,steady,1
5M,4g,strong,4300,6185,10465,0.591,steady,1
5M,4g,strong,4300,7459,9442,0.79,steady,1
5M,4g,strong,4300,7103,11012,0.645,steady,1
5M,4g,strong,4300,8898,10216,0.871,steady,1
5M,4g,strong,4300,8945,8125,1.101,steady,1
5M,4g,strong,4300,8891,9026,0.985,steady,1
5M,4g,strong,4300,10655,7738,1.377,steady,1
5M,4g,strong,4300,7927,3828,2.071,steady,1
5M,4g,strong,4300,6931,3771,1.838,buffering,2
5M,4g,strong,4300,6133,7479,0.82,buffering,3
5M,4g,strong,4300,4613,7913,0.583,steady,1
5M,4g,strong,4300,6154,9090,0.6769999999999999,steady,1
5M,4g,strong,4300,5613,7545,0.744,steady,1
5M,4g,strong,4300,9507,9923,0.958,steady,1
5M,4g,strong,4300,7689,10265,0.749,steady,1
5M,4g,strong,4300,9308,7997,1.164,steady,1
5M,4g,strong,4300,8359,10800,0.774,steady,1
5M,4g,strong,4300,8518,10312,0.826,steady,1
5M,4g,strong,4300,7597,9641,0.788,steady,1
5M,4g,strong,4300,8477,11487,0.738,steady,1
5M,4g,strong,4300,14091,6752,2.087,steady,1
5M,4g,strong,4300,12468,5680,2.1950000000000003,buffering,2
5M,4g,strong,4300,13601,4502,3.021,buffering,3
5M,4g,strong,4300,10344,6824,1.516,buffering,4
5M,4g,strong,4300,6733,6044,1.114,buffering,5
5M,4g,strong,4300,6527,5103,1.279,buffering,6
5M,4g,strong,4300,8272,5421,1.526,steady,1
5M,4g,strong,4300,10253,7930,1.293,steady,1
5M,4g,strong,4300,12414,5914,2.099,steady,1
5M,4g,strong,4300,14148,6101,2.3190000000000004,buffering,2
5M,4g,strong,4300,10520,6105,1.723,buffering,3
5M,4g,strong,4300,10795,4973,2.171,buffering,4
5M,4g,strong,4300,9614,5785,1.662,buffering,5
5M,4g,strong,4300,15000,5525,2.715,buffering,6
