downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,4g,medium,300,15,275,0.053,steady,1
50M,4g,medium,300,1235,4540,0.272,buffering,2
50M,4g,medium,300,1401,7260,0.193,buffering,3
50M,4g,medium,1200,5440,7989,0.681,buffering,4
50M,4g,medium,4300,12185,12759,0.955,buffering,5
50M,4g,medium,4300,5760,10950,0.526,steady,1
50M,4g,medium,4300,20137,5192,3.878,steady,1
50M,4g,medium,4300,29101,5012,5.806,buffering,2
50M,4g,medium,2850,13802,20119,0.686,buffering,3
50M,4g,medium,4300,13260,18782,0.7060000000000001,steady,1
50M,4g,medium,4300,8446,11246,0.751,steady,1
50M,4g,medium,4300,8753,17129,0.511,steady,1
50M,4g,medium,4300,14400,9051,1.591,steady,1
50M,4g,medium,4300,18606,22662,0.8210000000000001,steady,1
50M,4g,medium,4300,17713,13710,1.292,steady,1
50M,4g,medium,4300,6568,17800,0.369,steady,1
50M,4g,medium,4300,14294,12238,1.168,steady,1
50M,4g,medium,4300,17813,19320,0.922,steady,1
50M,4g,medium,4300,14222,21483,0.662,steady,1
50M,4g,medium,4300,21031,20242,1.039,steady,1
50M,4g,medium,4300,33953,27293,1.244,steady,1
50M,4g,medium,4300,11485,19974,0.5750000000000001,steady,1
50M,4g,medium,4300,6012,4334,1.387,steady,1
50M,4g,medium,4300,12262,4510,2.719,steady,1
50M,4g,medium,4300,7742,6803,1.138,steady,1
50M,4g,medium,4300,13703,6053,2.264,steady,1
50M,4g,medium,4300,16720,7434,2.249,steady,1
50M,4g,medium,4300,17646,12759,1.383,steady,1
50M,4g,medium,4300,16972,13197,1.286,steady,1
50M,4g,medium,4300,20467,13663,1.498,steady,1
50M,4g,medium,4300,34773,25796,1.348,steady,1
50M,4g,medium,4300,19760,28309,0.6980000000000001,steady,1
50M,4g,medium,4300,15726,19367,0.812,steady,1
50M,4g,medium,4300,13769,16549,0.8320000000000001,steady,1
50M,4g,medium,4300,16508,24277,0.68,steady,1
50M,4g,medium,4300,17427,20502,0.8500000000000001,steady,1
50M,4g,medium,4300,18493,16919,1.093,steady,1
50M,4g,medium,4300,15428,12072,1.278,steady,1
50M,4g,medium,4300,17579,12250,1.4349999999999998,steady,1
50M,4g,medium,4300,17824,9159,1.946,steady,1
50M,4g,medium,4300,9649,19813,0.487,steady,1
50M,4g,medium,4300,21508,10759,1.999,steady,1
50M,4g,medium,4300,15301,10798,1.417,steady,1
50M,4g,medium,4300,14588,10151,1.4369999999999998,steady,1
50M,4g,medium,4300,14330,13661,1.049,steady,1
50M,4g,medium,4300,22966,15806,1.4529999999999998,steady,1
50M,4g,medium,4300,23917,24256,0.986,steady,1
50M,4g,medium,4300,24089,17570,1.371,steady,1
50M,4g,medium,4300,10543,25589,0.412,steady,1
50M,4g,medium,4300,26645,15766,1.69,steady,1
50M,4g,medium,4300,14929,26516,0.5630000000000001,steady,1
50M,4g,medium,4300,12626,19760,0.639,steady,1
50M,4g,medium,4300,13513,14948,0.904,steady,1
50M,4g,medium,4300,23227,16368,1.4189999999999998,steady,1
50M,4g,medium,4300,20750,32937,0.63,steady,1
50M,4g,medium,4300,14577,10495,1.389,steady,1
50M,4g,medium,4300,13987,20660,0.677,steady,1
50M,4g,medium,4300,26133,15696,1.665,steady,1
50M,4g,medium,4300,13335,26994,0.494,steady,1
50M,4g,medium,4300,14796,13999,1.057,steady,1
50M,4g,medium,4300,11435,18593,0.615,steady,1
50M,4g,medium,4300,29296,17387,1.685,steady,1
50M,4g,medium,4300,24721,19953,1.239,steady,1
50M,4g,medium,4300,15068,29488,0.511,steady,1
50M,4g,medium,4300,15640,10625,1.472,steady,1
50M,4g,medium,4300,19531,18583,1.051,steady,1
50M,4g,medium,4300,16972,12713,1.335,steady,1
50M,4g,medium,4300,13792,23337,0.5910000000000001,steady,1
50M,4g,medium,4300,24041,15581,1.543,steady,1
50M,4g,medium,4300,22317,23127,0.965,steady,1
50M,4g,medium,4300,17718,13057,1.357,steady,1
50M,4g,medium,4300,20396,15762,1.294,steady,1
50M,4g,medium,4300,11253,21978,0.512,steady,1
50M,4g,medium,4300,9187,8145,1.128,steady,1
50M,4g,medium,4300,19401,13605,1.426,steady,1
50M,4g,medium,4300,10616,22303,0.476,steady,1
50M,4g,medium,4300,65605,21818,3.007,steady,1
50M,4g,medium,4300,21303,23856,0.893,steady,1
50M,4g,medium,4300,11462,7910,1.4489999999999998,steady,1
