downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,4g,medium,300,32,273,0.116,steady,1
50M,4g,medium,300,723,3392,0.213,buffering,2
50M,4g,medium,300,597,4594,0.13,buffering,3
50M,4g,medium,300,591,3455,0.1709999999999999,buffering,4
50M,4g,medium,300,552,3975,0.1389999999999999,buffering,5
50M,4g,medium,1200,1960,7102,0.276,buffering,6
50M,4g,medium,2850,4074,9937,0.41,buffering,7
50M,4g,medium,4300,6968,12268,0.5680000000000001,buffering,8
50M,4g,medium,4300,8526,12502,0.6819999999999999,steady,1
50M,4g,medium,4300,8783,10737,0.8180000000000001,steady,1
50M,4g,medium,4300,7863,9122,0.8620000000000001,steady,1
50M,4g,medium,4300,7276,10306,0.706,steady,1
50M,4g,medium,4300,6804,8953,0.76,steady,1
50M,4g,medium,4300,10026,9947,1.008,steady,1
50M,4g,medium,4300,8885,10692,0.831,steady,1
50M,4g,medium,4300,19128,10458,1.829,steady,1
50M,4g,medium,4300,14478,13594,1.065,buffering,2
50M,4g,medium,4300,12384,11617,1.066,steady,1
50M,4g,medium,4300,8712,10625,0.8200000000000001,steady,1
50M,4g,medium,4300,13778,6072,2.269,steady,1
50M,4g,medium,4300,12468,7644,1.631,buffering,2
50M,4g,medium,4300,11178,9441,1.1840000000000002,buffering,3
50M,4g,medium,4300,9903,9690,1.022,steady,1
50M,4g,medium,4300,8887,10369,0.857,steady,1
50M,4g,medium,4300,8131,9251,0.879,steady,1
50M,4g,medium,4300,7255,9024,0.8039999999999999,steady,1
50M,4g,medium,4300,2895,7385,0.392,steady,1
50M,4g,medium,4300,3033,6925,0.4379999999999999,steady,1
50M,4g,medium,4300,5452,10097,0.54,steady,1
50M,4g,medium,4300,8117,11645,0.697,steady,1
50M,4g,medium,4300,7855,10123,0.776,steady,1
50M,4g,medium,4300,8574,4482,1.913,steady,1
50M,4g,medium,4300,7301,6868,1.063,buffering,2
50M,4g,medium,4300,6084,6227,0.977,steady,1
50M,4g,medium,4300,6159,6921,0.8899999999999999,steady,1
50M,4g,medium,4300,7052,7470,0.944,steady,1
50M,4g,medium,4300,5269,8595,0.613,steady,1
50M,4g,medium,4300,4803,8268,0.581,steady,1
50M,4g,medium,4300,5198,8550,0.608,steady,1
50M,4g,medium,4300,6337,9092,0.697,steady,1
50M,4g,medium,4300,6283,8787,0.7150000000000001,steady,1
50M,4g,medium,4300,10004,11755,0.851,steady,1
50M,4g,medium,4300,9412,11340,0.8300000000000001,steady,1
50M,4g,medium,4300,9925,11650,0.852,steady,1
50M,4g,medium,4300,10726,12970,0.827,steady,1
50M,4g,medium,4300,7958,11754,0.677,steady,1
50M,4g,medium,4300,9649,11155,0.865,steady,1
50M,4g,medium,4300,9711,13052,0.744,steady,1
50M,4g,medium,4300,8672,11815,0.734,steady,1
50M,4g,medium,4300,10714,10272,1.043,steady,1
50M,4g,medium,4300,25545,16470,1.551,steady,1
50M,4g,medium,4300,15369,15926,0.965,buffering,2
50M,4g,medium,4300,9284,9887,0.939,steady,1
50M,4g,medium,4300,9484,13154,0.7210000000000001,steady,1
50M,4g,medium,4300,7605,12167,0.625,steady,1
50M,4g,medium,4300,11271,10694,1.0539999999999998,steady,1
50M,4g,medium,4300,15967,13647,1.17,steady,1
50M,4g,medium,4300,18791,12218,1.538,steady,1
50M,4g,medium,4300,18148,6575,2.76,buffering,2
50M,4g,medium,4300,24330,10142,2.399,buffering,3
50M,4g,medium,4300,18428,12648,1.457,buffering,4
50M,4g,medium,4300,10847,12440,0.8720000000000001,buffering,5
50M,4g,medium,4300,9042,11914,0.759,steady,1
50M,4g,medium,4300,9475,11612,0.816,steady,1
50M,4g,medium,4300,11707,12794,0.915,steady,1
50M,4g,medium,4300,14167,12740,1.112,steady,1
50M,4g,medium,4300,11297,9892,1.142,steady,1
50M,4g,medium,4300,11746,13819,0.85,steady,1
50M,4g,medium,4300,9083,12094,0.751,steady,1
50M,4g,medium,4300,3157,10120,0.312,steady,1
50M,4g,medium,4300,4592,8567,0.536,steady,1
50M,4g,medium,4300,5266,8662,0.608,steady,1
50M,4g,medium,4300,5780,10724,0.539,steady,1
50M,4g,medium,4300,6235,11214,0.5559999999999999,steady,1
50M,4g,medium,4300,5393,11329,0.476,steady,1
50M,4g,medium,4300,6565,11015,0.5960000000000001,steady,1
50M,4g,medium,4300,34,426,0.079,steady,1
50M,4g,medium,4300,1337,5122,0.261,steady,1
50M,4g,medium,4300,1684,5595,0.301,steady,1
50M,4g,medium,4300,1820,4272,0.426,steady,1
50M,4g,medium,4300,2188,5389,0.406,steady,1
50M,4g,medium,4300,1753,4981,0.352,steady,1
50M,4g,medium,4300,1520,5670,0.268,steady,1
50M,4g,medium,4300,1670,4971,0.3359999999999999,steady,1
50M,4g,medium,4300,2450,6282,0.39,steady,1
50M,4g,medium,4300,3963,9026,0.439,steady,1
50M,4g,medium,4300,2081,6542,0.318,steady,1
50M,4g,medium,4300,1821,7031,0.259,steady,1
50M,4g,medium,4300,3473,9260,0.375,steady,1
50M,4g,medium,4300,4797,10250,0.468,steady,1
50M,4g,medium,4300,9858,16134,0.611,steady,1
50M,4g,medium,4300,12541,20194,0.621,steady,1
50M,4g,medium,4300,6047,10609,0.57,steady,1
50M,4g,medium,4300,4483,9499,0.472,steady,1
50M,4g,medium,4300,4204,5467,0.769,steady,1
50M,4g,medium,4300,4423,5298,0.835,steady,1
50M,4g,medium,4300,2932,5671,0.517,steady,1
50M,4g,medium,4300,2412,2812,0.8580000000000001,steady,1
50M,4g,medium,4300,4018,4766,0.843,steady,1
50M,4g,medium,4300,4625,5403,0.856,steady,1
50M,4g,medium,4300,5125,5481,0.935,steady,1
50M,4g,medium,4300,5547,7040,0.788,steady,1
50M,4g,medium,4300,6593,5778,1.141,steady,1
50M,4g,medium,4300,6240,7647,0.8160000000000001,steady,1
50M,4g,medium,4300,6836,6926,0.987,steady,1
50M,4g,medium,4300,7657,9040,0.847,steady,1
50M,4g,medium,4300,7599,11461,0.663,steady,1
50M,4g,medium,4300,6143,9100,0.675,steady,1
50M,4g,medium,4300,4632,7471,0.62,steady,1
50M,4g,medium,4300,6091,10001,0.609,steady,1
50M,4g,medium,4300,5827,4938,1.18,steady,1
50M,4g,medium,4300,6256,4849,1.29,steady,1
50M,4g,medium,4300,6168,4435,1.391,steady,1
50M,4g,medium,4300,5181,3749,1.382,steady,1
50M,4g,medium,4300,6700,7764,0.863,steady,1
50M,4g,medium,4300,7929,8665,0.915,steady,1
50M,4g,medium,4300,8890,7730,1.15,steady,1
50M,4g,medium,4300,8805,5874,1.499,steady,1
50M,4g,medium,4300,7930,7922,1.001,steady,1
50M,4g,medium,4300,9083,5789,1.5690000000000002,steady,1
50M,4g,medium,4300,7551,7144,1.057,steady,1
50M,4g,medium,4300,6185,6601,0.937,steady,1
50M,4g,medium,4300,7459,4856,1.536,steady,1
