downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,4g,strong,300,15,158,0.092,steady,1
50M,4g,strong,300,1235,2589,0.477,buffering,2
50M,4g,strong,300,1401,3336,0.42,buffering,3
50M,4g,strong,300,1447,4667,0.31,buffering,4
50M,4g,strong,300,1758,3191,0.551,buffering,5
50M,4g,strong,750,859,2453,0.35,steady,1
50M,4g,strong,750,2419,2883,0.839,steady,1
50M,4g,strong,750,4278,2748,1.557,steady,1
50M,4g,strong,1200,5552,2345,2.368,steady,1
50M,4g,strong,1200,4510,3050,1.479,steady,1
50M,4g,strong,2850,6668,5557,1.2,steady,1
50M,4g,strong,2850,6576,4141,1.588,steady,1
50M,4g,strong,2850,9919,2648,3.745,steady,1
50M,4g,strong,2850,12887,2437,5.288,buffering,2
50M,4g,strong,2850,13298,2287,5.815,buffering,3
50M,4g,strong,2850,4064,5434,0.748,buffering,4
50M,4g,strong,2850,7988,1216,6.568,buffering,5
50M,4g,strong,1850,6786,3149,2.155,buffering,6
50M,4g,strong,1200,3282,5591,0.587,buffering,7
50M,4g,strong,1200,5680,3244,1.751,steady,1
50M,4g,strong,750,6854,4065,1.686,steady,1
50M,4g,strong,1200,3670,3180,1.154,steady,1
50M,4g,strong,4300,6012,2400,2.505,steady,1
50M,4g,strong,4300,12262,4820,2.544,steady,1
50M,4g,strong,4300,7742,5057,1.531,steady,1
50M,4g,strong,4300,13703,4559,3.006,steady,1
50M,4g,strong,4300,16720,2220,7.533,steady,1
50M,4g,strong,1850,7732,4605,1.679,buffering,2
50M,4g,strong,1850,7399,4389,1.686,buffering,3
50M,4g,strong,1850,8676,5179,1.6749999999999998,steady,1
50M,4g,strong,1850,13950,4015,3.474,steady,1
50M,4g,strong,1850,8714,6228,1.399,buffering,2
50M,4g,strong,4300,15726,3828,4.108,steady,1
50M,4g,strong,4300,13769,8935,1.541,buffering,2
50M,4g,strong,4300,16508,8540,1.933,steady,1
50M,4g,strong,4300,17427,10737,1.623,steady,1
50M,4g,strong,4300,18493,4682,3.95,steady,1
50M,4g,strong,4300,15428,8394,1.838,buffering,2
50M,4g,strong,4300,17579,6390,2.751,steady,1
50M,4g,strong,4300,17824,5640,3.16,steady,1
50M,4g,strong,4300,9649,6937,1.391,steady,1
50M,4g,strong,4300,21508,2976,7.226,steady,1
50M,4g,strong,2850,9962,7716,1.291,buffering,2
50M,4g,strong,2850,9717,2876,3.379,buffering,3
50M,4g,strong,2850,8950,5228,1.712,buffering,4
50M,4g,strong,2850,15261,7205,2.1180000000000003,steady,1
50M,4g,strong,1850,11163,8561,1.304,steady,1
50M,4g,strong,2850,16152,5338,3.026,steady,1
50M,4g,strong,2850,6900,5697,1.211,steady,1
50M,4g,strong,4300,26645,4619,5.769,steady,1
50M,4g,strong,4300,14929,8886,1.68,buffering,2
50M,4g,strong,4300,12626,7921,1.594,steady,1
50M,4g,strong,4300,13513,4402,3.0700000000000003,steady,1
50M,4g,strong,4300,23227,5569,4.171,steady,1
50M,4g,strong,4300,20750,9715,2.136,buffering,2
50M,4g,strong,4300,14577,4404,3.31,steady,1
50M,4g,strong,4300,13987,14375,0.973,steady,1
50M,4g,strong,4300,26133,6668,3.919,steady,1
50M,4g,strong,4300,13335,6246,2.135,buffering,2
50M,4g,strong,4300,14796,7719,1.917,steady,1
50M,4g,strong,4300,11435,6174,1.852,steady,1
50M,4g,strong,4300,29296,7383,3.968,steady,1
50M,4g,strong,4300,24721,7406,3.338,buffering,2
50M,4g,strong,4300,15068,2770,5.44,steady,1
50M,4g,strong,4300,15640,6935,2.2550000000000003,buffering,2
50M,4g,strong,4300,19531,5351,3.65,buffering,3
50M,4g,strong,4300,16972,1712,9.914,steady,1
50M,4g,strong,1850,6023,4873,1.236,buffering,2
50M,4g,strong,1200,6226,5410,1.151,buffering,3
50M,4g,strong,1200,5818,2166,2.686,buffering,4
50M,4g,strong,1200,5449,1825,2.986,steady,1
50M,4g,strong,1200,4741,2844,1.667,steady,1
50M,4g,strong,2850,6939,4226,1.642,steady,1
50M,4g,strong,2850,5722,2291,2.4970000000000003,steady,1
50M,4g,strong,2850,13560,4003,3.387,steady,1
50M,4g,strong,2850,7595,11456,0.663,buffering,2
50M,4g,strong,1200,10067,5031,2.001,steady,1
50M,4g,strong,750,3364,7972,0.422,steady,1
50M,4g,strong,2850,8392,5053,1.661,steady,1
50M,4g,strong,4300,18991,5457,3.48,steady,1
50M,4g,strong,4300,14431,10604,1.361,buffering,2
50M,4g,strong,4300,15389,3464,4.442,steady,1
50M,4g,strong,4300,18350,977,18.784,buffering,2
50M,4g,strong,300,1319,1522,0.867,buffering,3
50M,4g,strong,750,2231,499,4.475,buffering,4
50M,4g,strong,300,726,1320,0.55,buffering,5
