downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,4g,medium,300,16,230,0.069,steady,1
50M,4g,medium,300,1295,6164,0.21,buffering,2
50M,4g,medium,300,1133,8922,0.127,buffering,3
50M,4g,medium,300,1097,7889,0.139,buffering,4
50M,4g,medium,750,3601,10529,0.3419999999999999,buffering,5
50M,4g,medium,750,2458,5058,0.486,steady,1
50M,4g,medium,750,2647,5717,0.4629999999999999,steady,1
50M,4g,medium,1850,8130,6637,1.225,steady,1
50M,4g,medium,1850,15121,6402,2.362,steady,1
50M,4g,medium,2850,13817,7646,1.807,steady,1
50M,4g,medium,4300,25144,7356,3.418,steady,1
50M,4g,medium,4300,20232,6220,3.253,steady,1
50M,4g,medium,4300,16336,6679,2.446,steady,1
50M,4g,medium,4300,10804,7340,1.472,steady,1
50M,4g,medium,4300,8772,7575,1.158,steady,1
50M,4g,medium,4300,16211,6516,2.488,steady,1
50M,4g,medium,4300,16041,7389,2.171,steady,1
50M,4g,medium,4300,11312,7834,1.444,steady,1
50M,4g,medium,4300,11374,7542,1.508,steady,1
50M,4g,medium,4300,8777,7067,1.242,steady,1
50M,4g,medium,4300,11770,12377,0.951,steady,1
50M,4g,medium,4300,20852,7977,2.614,steady,1
50M,4g,medium,4300,21456,5748,3.733,steady,1
50M,4g,medium,4300,16022,4790,3.345,buffering,2
50M,4g,medium,4300,17265,6199,2.785,steady,1
50M,4g,medium,4300,38105,11142,3.4200000000000004,steady,1
50M,4g,medium,4300,24234,10153,2.387,steady,1
50M,4g,medium,4300,13749,7715,1.782,steady,1
50M,4g,medium,4300,26128,9203,2.839,steady,1
50M,4g,medium,4300,40873,7278,5.6160000000000005,steady,1
50M,4g,medium,4300,45910,5424,8.464,buffering,2
50M,4g,medium,4300,20032,5738,3.491,buffering,3
50M,4g,medium,4300,21574,6415,3.363,buffering,4
50M,4g,medium,2850,17318,10169,1.7029999999999998,buffering,5
50M,4g,medium,4300,21315,11096,1.921,buffering,6
50M,4g,medium,4300,7084,10605,0.6679999999999999,buffering,7
50M,4g,medium,4300,10485,3051,3.436,steady,1
50M,4g,medium,4300,11984,16261,0.7370000000000001,steady,1
50M,4g,medium,4300,6890,13808,0.499,steady,1
50M,4g,medium,4300,2807,4485,0.626,steady,1
50M,4g,medium,4300,3667,5498,0.667,steady,1
50M,4g,medium,4300,3127,10423,0.3,steady,1
50M,4g,medium,4300,4058,10938,0.371,steady,1
50M,4g,medium,4300,6058,9392,0.6449999999999999,steady,1
50M,4g,medium,4300,4997,12128,0.412,steady,1
50M,4g,medium,4300,15181,13567,1.119,steady,1
50M,4g,medium,4300,18807,18066,1.041,steady,1
50M,4g,medium,4300,8581,9287,0.924,steady,1
50M,4g,medium,4300,7318,14578,0.502,steady,1
50M,4g,medium,4300,6354,12080,0.526,steady,1
50M,4g,medium,4300,9185,13608,0.675,steady,1
50M,4g,medium,4300,11808,14040,0.841,steady,1
50M,4g,medium,4300,12796,14827,0.863,steady,1
50M,4g,medium,4300,15220,15389,0.989,steady,1
50M,4g,medium,4300,10239,16023,0.639,steady,1
50M,4g,medium,4300,10236,14080,0.727,steady,1
50M,4g,medium,4300,11984,13183,0.909,steady,1
50M,4g,medium,4300,11856,15560,0.762,steady,1
50M,4g,medium,4300,17144,9637,1.779,steady,1
50M,4g,medium,4300,17120,7386,2.318,steady,1
50M,4g,medium,4300,16822,21875,0.7689999999999999,steady,1
50M,4g,medium,4300,13561,13308,1.019,steady,1
50M,4g,medium,4300,15398,11207,1.374,steady,1
50M,4g,medium,4300,17495,7800,2.243,steady,1
50M,4g,medium,4300,19004,18151,1.047,steady,1
50M,4g,medium,4300,13441,9890,1.359,steady,1
50M,4g,medium,4300,10963,9913,1.106,steady,1
50M,4g,medium,4300,15333,7527,2.037,steady,1
50M,4g,medium,4300,17315,7269,2.382,steady,1
50M,4g,medium,4300,17023,7055,2.4130000000000003,steady,1
50M,4g,medium,4300,16475,8308,1.983,steady,1
50M,4g,medium,4300,27163,8515,3.19,steady,1
50M,4g,medium,4300,24546,9115,2.693,steady,1
50M,4g,medium,4300,13085,12510,1.046,steady,1
50M,4g,medium,4300,14473,14906,0.971,steady,1
50M,4g,medium,4300,25109,6204,4.047,steady,1
50M,4g,medium,4300,19889,10441,1.905,buffering,2
50M,4g,medium,4300,26620,10932,2.435,steady,1
50M,4g,medium,4300,47122,12630,3.731,steady,1
50M,4g,medium,4300,44565,14229,3.132,buffering,2
50M,4g,medium,4300,33635,14949,2.25,steady,1
50M,4g,medium,4300,6088,11466,0.531,steady,1
50M,4g,medium,4300,17329,18918,0.916,steady,1
50M,4g,medium,4300,20140,20201,0.997,steady,1
50M,4g,medium,4300,17863,22413,0.797,steady,1
50M,4g,medium,4300,12208,17243,0.708,steady,1
