downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,4g,medium,300,15,82,0.178,steady,1
5M,4g,medium,300,1235,2983,0.414,buffering,2
5M,4g,medium,300,1401,6487,0.216,buffering,3
5M,4g,medium,300,1447,3932,0.368,buffering,4
5M,4g,medium,300,1758,8254,0.213,buffering,5
5M,4g,medium,300,450,1537,0.293,steady,1
5M,4g,medium,300,1224,3612,0.339,steady,1
5M,4g,medium,300,2113,4348,0.486,steady,1
5M,4g,medium,300,1436,2067,0.695,steady,1
5M,4g,medium,750,2879,5453,0.528,steady,1
5M,4g,medium,2850,6668,5768,1.156,steady,1
5M,4g,medium,2850,6576,5774,1.139,steady,1
5M,4g,medium,2850,9919,4609,2.152,steady,1
5M,4g,medium,2850,12887,5705,2.259,steady,1
5M,4g,medium,4300,17713,7671,2.309,steady,1
5M,4g,medium,4300,6568,4296,1.529,steady,1
5M,4g,medium,4300,14294,6704,2.132,steady,1
5M,4g,medium,4300,17813,7854,2.268,steady,1
5M,4g,medium,4300,14222,6857,2.0740000000000003,steady,1
5M,4g,medium,4300,21031,6769,3.107,steady,1
5M,4g,medium,4300,33953,6285,5.402,steady,1
5M,4g,medium,4300,11485,5795,1.982,buffering,2
5M,4g,medium,4300,6012,4904,1.226,steady,1
5M,4g,medium,4300,12262,5669,2.163,steady,1
5M,4g,medium,4300,7742,4969,1.558,steady,1
5M,4g,medium,4300,13703,7525,1.821,steady,1
5M,4g,medium,4300,16720,7468,2.239,steady,1
5M,4g,medium,4300,17646,7226,2.442,steady,1
5M,4g,medium,4300,16972,5598,3.032,steady,1
5M,4g,medium,4300,20467,6764,3.026,steady,1
5M,4g,medium,4300,34773,5678,6.124,steady,1
5M,4g,medium,4300,19760,5610,3.522,buffering,2
5M,4g,medium,4300,15726,5425,2.899,buffering,3
5M,4g,medium,4300,13769,6119,2.25,buffering,4
5M,4g,medium,4300,16508,5770,2.861,steady,1
5M,4g,medium,4300,17427,7990,2.181,steady,1
5M,4g,medium,4300,18493,5442,3.398,steady,1
5M,4g,medium,4300,15428,7202,2.142,steady,1
5M,4g,medium,4300,17579,7837,2.243,steady,1
5M,4g,medium,4300,17824,7636,2.334,steady,1
5M,4g,medium,4300,9649,5119,1.885,steady,1
5M,4g,medium,4300,21508,6119,3.515,steady,1
5M,4g,medium,4300,15301,6167,2.4810000000000003,buffering,2
5M,4g,medium,4300,14588,5915,2.466,steady,1
5M,4g,medium,4300,14330,4024,3.561,steady,1
5M,4g,medium,4300,22966,6630,3.464,buffering,2
5M,4g,medium,4300,23917,6209,3.852,steady,1
5M,4g,medium,4300,24089,5989,4.022,buffering,2
5M,4g,medium,4300,10543,5742,1.836,buffering,3
5M,4g,medium,4300,26645,6080,4.382,steady,1
5M,4g,medium,4300,14929,5313,2.81,buffering,2
5M,4g,medium,4300,12626,5811,2.173,steady,1
5M,4g,medium,4300,13513,6767,1.997,steady,1
5M,4g,medium,4300,23227,6674,3.48,steady,1
5M,4g,medium,4300,20750,5679,3.654,buffering,2
5M,4g,medium,4300,14577,5824,2.503,steady,1
5M,4g,medium,4300,13987,5286,2.646,steady,1
5M,4g,medium,4300,26133,6377,4.098,steady,1
5M,4g,medium,4300,13335,6012,2.218,buffering,2
5M,4g,medium,4300,14796,4882,3.031,steady,1
5M,4g,medium,4300,11435,6385,1.791,steady,1
5M,4g,medium,4300,29296,5747,5.098,steady,1
5M,4g,medium,4300,24721,4592,5.384,buffering,2
5M,4g,medium,4300,15068,5310,2.838,buffering,3
5M,4g,medium,4300,15640,7430,2.105,buffering,4
5M,4g,medium,4300,19531,6668,2.929,steady,1
5M,4g,medium,4300,16972,5221,3.251,steady,1
5M,4g,medium,4300,13792,6741,2.046,steady,1
5M,4g,medium,4300,24041,6774,3.549,steady,1
5M,4g,medium,4300,22317,5695,3.919,steady,1
5M,4g,medium,4300,17718,6089,2.91,buffering,2
5M,4g,medium,4300,20396,3933,5.186,steady,1
5M,4g,medium,4300,11253,5103,2.205,buffering,2
5M,4g,medium,4300,9187,2458,3.738,steady,1
5M,4g,medium,4300,19401,2428,7.992,steady,1
5M,4g,medium,4300,10616,4137,2.566,buffering,2
5M,4g,medium,1200,10067,1986,5.0680000000000005,buffering,3
5M,4g,medium,1200,5690,2567,2.217,buffering,4
5M,4g,medium,1200,3935,5582,0.705,buffering,5
5M,4g,medium,1200,7008,4697,1.492,steady,1
5M,4g,medium,2850,10786,6409,1.683,steady,1
5M,4g,medium,2850,11522,6726,1.713,steady,1
5M,4g,medium,4300,18350,6088,3.014,steady,1
5M,4g,medium,4300,14129,8010,1.764,steady,1
5M,4g,medium,4300,10654,5120,2.081,steady,1
5M,4g,medium,4300,9796,6036,1.623,steady,1
