downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,4g,weak,300,16,80,0.199,steady,1
5M,4g,weak,300,1295,2929,0.4419999999999999,buffering,2
5M,4g,weak,300,1133,4741,0.239,steady,1
5M,4g,weak,1200,4123,6640,0.621,buffering,2
5M,4g,weak,4300,15271,6173,2.474,buffering,3
5M,4g,weak,4300,16599,6314,2.629,buffering,4
5M,4g,weak,4300,14276,5911,2.415,steady,1
5M,4g,weak,4300,19534,5202,3.755,steady,1
5M,4g,weak,4300,33450,5693,5.876,buffering,2
5M,4g,weak,2850,13817,6318,2.187,steady,1
5M,4g,weak,4300,25144,5939,4.234,buffering,2
5M,4g,weak,4300,20232,4003,5.054,buffering,3
5M,4g,weak,4300,16336,7257,2.251,buffering,4
5M,4g,weak,4300,10804,5479,1.972,buffering,5
5M,4g,weak,4300,8772,4693,1.869,steady,1
5M,4g,weak,4300,16211,2624,6.178,steady,1
5M,4g,weak,2850,10818,4330,2.498,buffering,2
5M,4g,weak,4300,11312,5938,1.905,buffering,3
5M,4g,weak,4300,11374,6205,1.833,steady,1
5M,4g,weak,4300,8777,9774,0.898,steady,1
5M,4g,weak,4300,11770,6274,1.876,steady,1
5M,4g,weak,4300,20852,4728,4.409999999999999,steady,1
5M,4g,weak,4300,21456,3222,6.66,buffering,2
5M,4g,weak,1850,7237,1549,4.672000000000001,steady,1
5M,4g,weak,1200,4913,4688,1.048,buffering,2
5M,4g,weak,4300,38105,6414,5.941,buffering,3
5M,4g,weak,1850,10571,6746,1.5670000000000002,buffering,4
5M,4g,weak,4300,13749,5828,2.359,buffering,5
5M,4g,weak,4300,26128,5434,4.808,steady,1
5M,4g,weak,4300,40873,4631,8.826,buffering,2
5M,4g,weak,300,2528,4889,0.517,buffering,3
5M,4g,weak,2850,12973,5490,2.363,buffering,4
5M,4g,weak,4300,21574,4891,4.4110000000000005,buffering,5
5M,4g,weak,4300,26547,7021,3.781,buffering,6
5M,4g,weak,4300,21315,5487,3.885,buffering,7
5M,4g,weak,4300,7084,6394,1.108,buffering,8
5M,4g,weak,4300,10485,5391,1.945,steady,1
5M,4g,weak,4300,11984,4638,2.584,steady,1
5M,4g,weak,4300,6890,2563,2.688,steady,1
5M,4g,weak,4300,2807,4326,0.649,steady,1
5M,4g,weak,4300,3667,4079,0.899,steady,1
5M,4g,weak,4300,3127,5152,0.607,steady,1
5M,4g,weak,4300,4058,5941,0.683,steady,1
5M,4g,weak,4300,6058,3901,1.5530000000000002,steady,1
5M,4g,weak,4300,4997,4349,1.149,steady,1
5M,4g,weak,4300,15181,6714,2.261,steady,1
5M,4g,weak,4300,18807,3537,5.316999999999999,steady,1
5M,4g,weak,4300,8581,6832,1.256,buffering,2
5M,4g,weak,4300,7318,6352,1.152,steady,1
5M,4g,weak,4300,6354,6157,1.032,steady,1
5M,4g,weak,4300,9185,7566,1.214,steady,1
5M,4g,weak,4300,11808,1925,6.134,steady,1
5M,4g,weak,2850,8504,4722,1.801,buffering,2
5M,4g,weak,4300,15220,8653,1.759,buffering,3
5M,4g,weak,4300,10239,7220,1.418,steady,1
5M,4g,weak,4300,10236,6148,1.6649999999999998,steady,1
5M,4g,weak,4300,11984,6581,1.821,steady,1
5M,4g,weak,4300,11856,6049,1.96,steady,1
5M,4g,weak,4300,17144,7775,2.205,steady,1
5M,4g,weak,4300,17120,5505,3.11,steady,1
5M,4g,weak,4300,16822,4309,3.904,steady,1
5M,4g,weak,4300,13561,8433,1.608,buffering,2
5M,4g,weak,4300,15398,6939,2.2190000000000003,steady,1
5M,4g,weak,4300,17495,4732,3.697,steady,1
5M,4g,weak,4300,19004,4599,4.132,steady,1
5M,4g,weak,4300,13441,5114,2.628,buffering,2
5M,4g,weak,4300,10963,2244,4.886,steady,1
5M,4g,weak,4300,15333,5016,3.057,buffering,2
5M,4g,weak,4300,17315,3543,4.8870000000000005,buffering,3
5M,4g,weak,4300,17023,6820,2.496,buffering,4
5M,4g,weak,4300,16475,1426,11.552,steady,1
5M,4g,weak,300,1753,1553,1.129,buffering,2
5M,4g,weak,1200,6297,3621,1.739,buffering,3
5M,4g,weak,2850,9223,5190,1.777,buffering,4
5M,4g,weak,4300,14473,3419,4.233,buffering,5
5M,4g,weak,4300,25109,7355,3.414,buffering,6
5M,4g,weak,4300,19889,4771,4.169,buffering,7
5M,4g,weak,4300,26620,6508,4.09,buffering,8
5M,4g,weak,4300,47122,4560,10.333,buffering,9
5M,4g,weak,300,3256,1472,2.211,buffering,10
5M,4g,weak,750,6225,6796,0.916,buffering,11
5M,4g,weak,2850,3934,6346,0.62,buffering,12
5M,4g,weak,4300,17329,7920,2.188,steady,1
5M,4g,weak,4300,20140,5998,3.358,steady,1
5M,4g,weak,4300,17863,6371,2.804,steady,1
5M,4g,weak,4300,12208,4715,2.5890000000000004,steady,1
