downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,wifi,weak,300,16,183,0.087,steady,1
5M,wifi,weak,300,1295,3345,0.387,buffering,2
5M,wifi,weak,300,1133,3802,0.298,buffering,3
5M,wifi,weak,1200,4123,4956,0.8320000000000001,buffering,4
5M,wifi,weak,4300,15271,5392,2.832,buffering,5
5M,wifi,weak,4300,16599,5079,3.268,buffering,6
5M,wifi,weak,4300,14276,5914,2.414,steady,1
5M,wifi,weak,4300,19534,6112,3.196,steady,1
5M,wifi,weak,4300,33450,3237,10.334,steady,1
5M,wifi,weak,300,1389,1414,0.982,buffering,2
5M,wifi,weak,1850,10436,2452,4.256,buffering,3
5M,wifi,weak,1200,5162,4252,1.214,buffering,4
5M,wifi,weak,4300,16336,8156,2.003,buffering,5
5M,wifi,weak,4300,10804,4385,2.464,steady,1
5M,wifi,weak,4300,8772,3669,2.391,steady,1
5M,wifi,weak,4300,16211,5203,3.116,steady,1
5M,wifi,weak,4300,16041,5524,2.904,steady,1
5M,wifi,weak,4300,11312,5426,2.085,steady,1
5M,wifi,weak,4300,11374,4227,2.691,steady,1
5M,wifi,weak,4300,8777,3952,2.221,steady,1
5M,wifi,weak,4300,11770,6965,1.6900000000000002,steady,1
5M,wifi,weak,4300,20852,4942,4.218999999999999,steady,1
5M,wifi,weak,4300,21456,6443,3.33,buffering,2
5M,wifi,weak,4300,16022,4291,3.734,steady,1
5M,wifi,weak,4300,17265,3726,4.633,buffering,2
5M,wifi,weak,4300,38105,4021,9.477,buffering,3
5M,wifi,weak,300,1774,3366,0.527,buffering,4
5M,wifi,weak,2850,8608,8591,1.002,buffering,5
5M,wifi,weak,4300,26128,7035,3.714,steady,1
5M,wifi,weak,4300,40873,4584,8.916,buffering,2
5M,wifi,weak,750,6896,5447,1.266,buffering,3
5M,wifi,weak,2850,12973,6667,1.946,buffering,4
5M,wifi,weak,4300,21574,5085,4.242999999999999,buffering,5
5M,wifi,weak,4300,26547,4865,5.457,buffering,6
5M,wifi,weak,2850,14042,6531,2.15,buffering,7
5M,wifi,weak,4300,7084,8900,0.796,buffering,8
5M,wifi,weak,4300,10485,6553,1.6,steady,1
5M,wifi,weak,4300,11984,3557,3.369,steady,1
5M,wifi,weak,4300,6890,785,8.780000000000001,steady,1
5M,wifi,weak,750,568,1118,0.508,buffering,2
5M,wifi,weak,4300,3667,1571,2.335,buffering,3
5M,wifi,weak,4300,3127,654,4.781000000000001,buffering,4
5M,wifi,weak,4300,4058,444,9.149,buffering,5
5M,wifi,weak,750,1235,4396,0.281,buffering,6
5M,wifi,weak,2850,3449,7011,0.492,buffering,7
5M,wifi,weak,4300,15181,4721,3.216,steady,1
5M,wifi,weak,4300,18807,5556,3.385,steady,1
5M,wifi,weak,4300,8581,3976,2.158,steady,1
5M,wifi,weak,4300,7318,4175,1.753,steady,1
5M,wifi,weak,4300,6354,3814,1.666,steady,1
5M,wifi,weak,4300,9185,3575,2.569,steady,1
5M,wifi,weak,4300,11808,3937,2.999,steady,1
5M,wifi,weak,4300,12796,3871,3.306,steady,1
5M,wifi,weak,4300,15220,4800,3.1710000000000003,steady,1
5M,wifi,weak,4300,10239,4871,2.1020000000000003,steady,1
5M,wifi,weak,4300,10236,2923,3.502,steady,1
5M,wifi,weak,4300,11984,4212,2.845,steady,1
5M,wifi,weak,4300,11856,4279,2.771,steady,1
5M,wifi,weak,4300,17144,5557,3.085,steady,1
5M,wifi,weak,4300,17120,5330,3.212,steady,1
5M,wifi,weak,4300,16822,3587,4.689,steady,1
5M,wifi,weak,4300,13561,5111,2.653,buffering,2
5M,wifi,weak,4300,15398,3769,4.085,steady,1
5M,wifi,weak,4300,17495,6387,2.739,buffering,2
5M,wifi,weak,4300,19004,6569,2.893,steady,1
5M,wifi,weak,4300,13441,3570,3.765,steady,1
5M,wifi,weak,4300,10963,1157,9.472,buffering,2
5M,wifi,weak,750,3050,1773,1.72,buffering,3
5M,wifi,weak,1850,7856,2662,2.951,buffering,4
5M,wifi,weak,2850,11680,1377,8.485,buffering,5
5M,wifi,weak,300,1034,2503,0.413,buffering,6
5M,wifi,weak,1850,11848,4645,2.551,buffering,7
5M,wifi,weak,2850,16568,2882,5.7490000000000006,buffering,8
5M,wifi,weak,1850,6125,1608,3.81,buffering,9
5M,wifi,weak,1850,5437,1183,4.596,buffering,10
5M,wifi,weak,1200,6178,1014,6.096,buffering,11
5M,wifi,weak,300,1176,4455,0.264,buffering,12
5M,wifi,weak,2850,16189,1653,9.793,buffering,13
5M,wifi,weak,300,2557,415,6.164000000000001,buffering,14
5M,wifi,weak,300,3256,465,7.003,buffering,15
5M,wifi,weak,300,2515,423,5.938,buffering,16
5M,wifi,weak,300,672,607,1.106,buffering,17
5M,wifi,weak,1200,5472,460,11.898,buffering,18
5M,wifi,weak,300,1429,349,4.1,buffering,19
5M,wifi,weak,300,1111,532,2.09,buffering,20
