downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,4g,weak,300,16,44,0.359,steady,1
5M,4g,weak,300,1295,1110,1.166,steady,1
5M,4g,weak,300,1133,787,1.44,buffering,2
5M,4g,weak,300,1097,1039,1.055,steady,1
5M,4g,weak,300,1223,1005,1.217,steady,1
5M,4g,weak,300,1165,1239,0.94,steady,1
5M,4g,weak,300,942,1005,0.938,steady,1
5M,4g,weak,300,1531,773,1.981,steady,1
5M,4g,weak,300,3058,1230,2.486,steady,1
5M,4g,weak,300,1389,5383,0.258,steady,1
5M,4g,weak,300,1226,2707,0.4529999999999999,steady,1
5M,4g,weak,1200,5162,5768,0.895,steady,1
5M,4g,weak,1200,4162,1822,2.285,steady,1
5M,4g,weak,1200,2884,262,11.01,steady,1
5M,4g,weak,300,850,396,2.147,buffering,2
5M,4g,weak,300,1546,231,6.706,buffering,3
5M,4g,weak,300,1308,193,6.759,steady,1
5M,4g,weak,300,480,241,1.993,buffering,2
5M,4g,weak,300,685,374,1.83,buffering,3
5M,4g,weak,300,671,2705,0.248,buffering,4
5M,4g,weak,300,862,622,1.386,steady,1
5M,4g,weak,300,1407,647,2.176,steady,1
5M,4g,weak,300,1434,950,1.51,steady,1
5M,4g,weak,300,1016,3737,0.272,steady,1
5M,4g,weak,300,1150,3267,0.352,steady,1
5M,4g,weak,300,2738,4811,0.569,steady,1
5M,4g,weak,300,1774,4193,0.423,steady,1
5M,4g,weak,750,2024,4429,0.4569999999999999,steady,1
5M,4g,weak,750,4826,4171,1.157,steady,1
5M,4g,weak,750,7219,5952,1.213,steady,1
5M,4g,weak,1200,11495,7140,1.61,steady,1
5M,4g,weak,1850,8314,6060,1.372,steady,1
5M,4g,weak,4300,21574,7244,2.978,steady,1
5M,4g,weak,4300,26547,6089,4.359999999999999,steady,1
5M,4g,weak,4300,21315,6378,3.342,buffering,2
5M,4g,weak,4300,7084,4982,1.4220000000000002,steady,1
5M,4g,weak,4300,10485,5583,1.878,steady,1
5M,4g,weak,4300,11984,6947,1.725,steady,1
5M,4g,weak,4300,6890,6470,1.065,steady,1
5M,4g,weak,4300,2807,4710,0.596,steady,1
5M,4g,weak,4300,3667,5202,0.705,steady,1
5M,4g,weak,4300,3127,4506,0.694,steady,1
5M,4g,weak,4300,4058,6282,0.646,steady,1
5M,4g,weak,4300,6058,6465,0.937,steady,1
5M,4g,weak,4300,4997,6146,0.8130000000000001,steady,1
5M,4g,weak,4300,15181,8211,1.849,steady,1
5M,4g,weak,4300,18807,6854,2.744,steady,1
5M,4g,weak,4300,8581,4211,2.038,steady,1
5M,4g,weak,4300,7318,4869,1.503,steady,1
5M,4g,weak,4300,6354,5408,1.175,steady,1
5M,4g,weak,4300,9185,6943,1.323,steady,1
5M,4g,weak,4300,11808,6046,1.953,steady,1
5M,4g,weak,4300,12796,8729,1.4660000000000002,steady,1
5M,4g,weak,4300,15220,7746,1.965,steady,1
5M,4g,weak,4300,10239,5701,1.796,steady,1
5M,4g,weak,4300,10236,6978,1.467,steady,1
5M,4g,weak,4300,11984,7254,1.652,steady,1
5M,4g,weak,4300,11856,7028,1.687,steady,1
5M,4g,weak,4300,17144,7853,2.1830000000000003,steady,1
5M,4g,weak,4300,17120,4667,3.668,steady,1
5M,4g,weak,4300,16822,4768,3.528,buffering,2
5M,4g,weak,4300,13561,5592,2.425,steady,1
5M,4g,weak,4300,15398,6508,2.366,steady,1
5M,4g,weak,4300,17495,5238,3.3400000000000003,steady,1
5M,4g,weak,4300,19004,5738,3.3120000000000003,steady,1
5M,4g,weak,4300,13441,7906,1.7000000000000002,steady,1
5M,4g,weak,4300,10963,9797,1.119,steady,1
5M,4g,weak,4300,15333,7819,1.961,steady,1
5M,4g,weak,4300,17315,4750,3.645,steady,1
5M,4g,weak,4300,17023,6314,2.696,buffering,2
5M,4g,weak,4300,16475,7086,2.325,steady,1
5M,4g,weak,4300,27163,5965,4.554,steady,1
5M,4g,weak,4300,24546,5009,4.9,buffering,2
5M,4g,weak,4300,13085,8008,1.634,buffering,3
5M,4g,weak,4300,14473,8376,1.728,steady,1
5M,4g,weak,4300,25109,6773,3.707,steady,1
5M,4g,weak,4300,19889,5991,3.32,buffering,2
5M,4g,weak,4300,26620,6645,4.006,steady,1
5M,4g,weak,4300,47122,5720,8.238,buffering,2
5M,4g,weak,2850,30154,5709,5.282,steady,1
5M,4g,weak,2850,23103,6004,3.848,buffering,2
5M,4g,weak,4300,6088,3176,1.917,buffering,3
5M,4g,weak,4300,17329,3176,5.457,buffering,4
5M,4g,weak,2850,13625,2994,4.551,buffering,5
5M,4g,weak,2850,11605,6651,1.745,buffering,6
5M,4g,weak,2850,8182,7943,1.03,buffering,7
