downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,4g,weak,300,15,162,0.09,steady,1
5M,4g,weak,300,1235,2578,0.479,buffering,2
5M,4g,weak,300,1401,4832,0.29,buffering,3
5M,4g,weak,1200,5440,5551,0.98,steady,1
5M,4g,weak,4300,12185,6769,1.8,buffering,2
5M,4g,weak,4300,5760,5092,1.131,steady,1
5M,4g,weak,4300,20137,6496,3.1,steady,1
5M,4g,weak,4300,29101,6572,4.428,steady,1
5M,4g,weak,4300,20305,5583,3.637,buffering,2
5M,4g,weak,4300,13260,5915,2.242,buffering,3
5M,4g,weak,4300,8446,5072,1.665,steady,1
5M,4g,weak,4300,8753,5248,1.668,steady,1
5M,4g,weak,4300,14400,5813,2.4770000000000003,steady,1
5M,4g,weak,4300,18606,6828,2.725,steady,1
5M,4g,weak,4300,17713,7359,2.407,steady,1
5M,4g,weak,4300,6568,6226,1.055,steady,1
5M,4g,weak,4300,14294,5865,2.4370000000000003,steady,1
5M,4g,weak,4300,17813,7523,2.368,steady,1
5M,4g,weak,4300,14222,4580,3.105,steady,1
5M,4g,weak,4300,21031,6957,3.023,steady,1
5M,4g,weak,4300,33953,6460,5.255999999999999,steady,1
5M,4g,weak,4300,11485,6010,1.911,buffering,2
5M,4g,weak,4300,6012,5065,1.187,steady,1
5M,4g,weak,4300,12262,7890,1.554,steady,1
5M,4g,weak,4300,7742,5974,1.296,steady,1
5M,4g,weak,4300,13703,7351,1.864,steady,1
5M,4g,weak,4300,16720,4749,3.521,steady,1
5M,4g,weak,4300,17646,5986,2.948,steady,1
5M,4g,weak,4300,16972,5598,3.032,steady,1
5M,4g,weak,4300,20467,6290,3.254,steady,1
5M,4g,weak,4300,34773,6035,5.7620000000000005,steady,1
5M,4g,weak,2850,13183,4698,2.806,steady,1
5M,4g,weak,4300,15726,5551,2.833,buffering,2
5M,4g,weak,4300,13769,3918,3.514,buffering,3
5M,4g,weak,4300,16508,5308,3.11,steady,1
5M,4g,weak,4300,17427,4723,3.69,steady,1
5M,4g,weak,4300,18493,7591,2.436,buffering,2
5M,4g,weak,4300,15428,6426,2.401,steady,1
5M,4g,weak,4300,17579,7009,2.508,steady,1
5M,4g,weak,4300,17824,6736,2.646,steady,1
5M,4g,weak,4300,9649,6511,1.482,steady,1
5M,4g,weak,4300,21508,5991,3.5900000000000003,steady,1
5M,4g,weak,4300,15301,4958,3.0860000000000003,buffering,2
5M,4g,weak,4300,14588,4039,3.612,steady,1
5M,4g,weak,4300,14330,3027,4.734,steady,1
5M,4g,weak,4300,22966,2745,8.366999999999999,buffering,2
5M,4g,weak,750,4765,3496,1.363,buffering,3
5M,4g,weak,1850,10735,3382,3.174,buffering,4
5M,4g,weak,2850,6900,4472,1.543,buffering,5
5M,4g,weak,4300,26645,7164,3.719,buffering,6
5M,4g,weak,4300,14929,3925,3.803,steady,1
5M,4g,weak,4300,12626,6723,1.878,buffering,2
5M,4g,weak,4300,13513,7617,1.774,steady,1
5M,4g,weak,4300,23227,6960,3.337,steady,1
5M,4g,weak,4300,20750,6398,3.2430000000000003,steady,1
5M,4g,weak,4300,14577,7358,1.981,steady,1
5M,4g,weak,4300,13987,7240,1.932,steady,1
5M,4g,weak,4300,26133,6667,3.92,steady,1
5M,4g,weak,4300,13335,4926,2.7070000000000003,buffering,2
5M,4g,weak,4300,14796,5881,2.516,steady,1
5M,4g,weak,4300,11435,5790,1.975,steady,1
5M,4g,weak,4300,29296,6569,4.46,steady,1
5M,4g,weak,4300,24721,5079,4.867,buffering,2
5M,4g,weak,2850,10071,4944,2.037,buffering,3
5M,4g,weak,4300,15640,4339,3.604,buffering,4
5M,4g,weak,4300,19531,3971,4.918,steady,1
5M,4g,weak,4300,16972,3787,4.482,buffering,2
5M,4g,weak,4300,13792,5473,2.52,buffering,3
5M,4g,weak,4300,24041,6157,3.905,buffering,4
5M,4g,weak,4300,22317,4742,4.706,buffering,5
5M,4g,weak,4300,17718,7093,2.498,buffering,6
5M,4g,weak,4300,20396,5329,3.827,steady,1
5M,4g,weak,4300,11253,7077,1.59,buffering,2
5M,4g,weak,4300,9187,6117,1.502,steady,1
5M,4g,weak,4300,19401,7668,2.53,steady,1
5M,4g,weak,4300,10616,5801,1.83,steady,1
5M,4g,weak,4300,65605,5264,12.463,steady,1
5M,4g,weak,300,1298,3783,0.343,buffering,2
5M,4g,weak,1200,3935,7411,0.531,buffering,3
5M,4g,weak,4300,18991,6656,2.853,buffering,4
5M,4g,weak,4300,14431,3955,3.649,steady,1
5M,4g,weak,4300,15389,4436,3.469,buffering,2
5M,4g,weak,4300,18350,6959,2.637,steady,1
5M,4g,weak,4300,14129,6933,2.0380000000000003,steady,1
5M,4g,weak,4300,10654,6036,1.765,steady,1
5M,4g,weak,4300,9796,9502,1.031,steady,1
