downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,4g,weak,300,15,95,0.154,steady,1
5M,4g,weak,300,1235,2906,0.425,steady,1
5M,4g,weak,300,1401,3530,0.397,buffering,2
5M,4g,weak,300,1447,4823,0.3,buffering,3
5M,4g,weak,300,1758,5708,0.308,buffering,4
5M,4g,weak,300,450,1547,0.291,steady,1
5M,4g,weak,1850,7039,4064,1.732,steady,1
5M,4g,weak,1850,11739,7153,1.641,steady,1
5M,4g,weak,1850,8892,10093,0.881,steady,1
5M,4g,weak,1850,6755,10143,0.6659999999999999,steady,1
5M,4g,weak,4300,8446,11553,0.731,steady,1
5M,4g,weak,4300,8753,7611,1.15,steady,1
5M,4g,weak,4300,14400,7822,1.841,steady,1
5M,4g,weak,4300,18606,7831,2.376,steady,1
5M,4g,weak,4300,17713,7471,2.371,steady,1
5M,4g,weak,4300,6568,3535,1.858,steady,1
5M,4g,weak,4300,14294,5780,2.473,steady,1
5M,4g,weak,4300,17813,7313,2.436,steady,1
5M,4g,weak,4300,14222,7176,1.982,steady,1
5M,4g,weak,4300,21031,6385,3.294,steady,1
5M,4g,weak,4300,33953,6542,5.19,steady,1
5M,4g,weak,1850,5368,5829,0.921,buffering,2
5M,4g,weak,4300,6012,5014,1.199,steady,1
5M,4g,weak,4300,12262,7137,1.718,steady,1
5M,4g,weak,4300,7742,6732,1.15,steady,1
5M,4g,weak,4300,13703,7786,1.76,steady,1
5M,4g,weak,4300,16720,7638,2.189,steady,1
5M,4g,weak,4300,17646,5870,3.006,steady,1
5M,4g,weak,4300,16972,6606,2.569,steady,1
5M,4g,weak,4300,20467,7107,2.8800000000000003,steady,1
5M,4g,weak,4300,34773,6394,5.438,steady,1
5M,4g,weak,1850,8714,5550,1.57,buffering,2
5M,4g,weak,4300,15726,6732,2.3360000000000003,steady,1
5M,4g,weak,4300,13769,6111,2.253,steady,1
5M,4g,weak,4300,16508,7199,2.293,steady,1
5M,4g,weak,4300,17427,7511,2.32,steady,1
5M,4g,weak,4300,18493,4669,3.961,steady,1
5M,4g,weak,4300,15428,6781,2.275,buffering,2
5M,4g,weak,4300,17579,7660,2.295,steady,1
5M,4g,weak,4300,17824,5804,3.071,steady,1
5M,4g,weak,4300,9649,6771,1.425,steady,1
5M,4g,weak,4300,21508,3331,6.457000000000001,steady,1
5M,4g,weak,4300,15301,7160,2.137,buffering,2
5M,4g,weak,4300,14588,4879,2.99,buffering,3
5M,4g,weak,4300,14330,6338,2.261,steady,1
5M,4g,weak,4300,22966,6841,3.357,steady,1
5M,4g,weak,1850,11163,5848,1.909,steady,1
5M,4g,weak,1850,10735,5713,1.879,steady,1
5M,4g,weak,1850,4357,5042,0.864,steady,1
5M,4g,weak,4300,26645,5690,4.683,steady,1
5M,4g,weak,1850,6525,6215,1.05,buffering,2
5M,4g,weak,4300,12626,5179,2.438,steady,1
5M,4g,weak,4300,13513,5787,2.335,steady,1
5M,4g,weak,4300,23227,6427,3.614,steady,1
5M,4g,weak,1850,10067,6154,1.636,buffering,2
5M,4g,weak,1850,6436,4868,1.322,steady,1
5M,4g,weak,4300,13987,5015,2.789,steady,1
5M,4g,weak,4300,26133,6185,4.2250000000000005,steady,1
5M,4g,weak,1850,5377,3824,1.406,buffering,2
5M,4g,weak,4300,14796,5404,2.738,steady,1
5M,4g,weak,4300,11435,5900,1.938,steady,1
5M,4g,weak,4300,29296,4279,6.846,steady,1
5M,4g,weak,1850,11348,2810,4.038,buffering,2
5M,4g,weak,1850,6681,1555,4.297000000000001,buffering,3
5M,4g,weak,1850,7022,2449,2.867,buffering,4
5M,4g,weak,1850,7688,4944,1.5550000000000002,buffering,5
5M,4g,weak,1850,7156,3050,2.346,buffering,6
5M,4g,weak,1850,6023,3876,1.554,steady,1
5M,4g,weak,1850,9868,7130,1.384,steady,1
5M,4g,weak,1850,9259,6443,1.437,steady,1
5M,4g,weak,1850,8241,7425,1.11,steady,1
5M,4g,weak,1850,7712,7902,0.976,steady,1
5M,4g,weak,1850,4217,4803,0.878,steady,1
5M,4g,weak,4300,9187,6780,1.355,steady,1
5M,4g,weak,4300,19401,6025,3.22,steady,1
5M,4g,weak,4300,10616,6706,1.583,steady,1
5M,4g,weak,4300,65605,5683,11.545,steady,1
5M,4g,weak,1850,8763,6911,1.268,steady,1
5M,4g,weak,4300,11462,4211,2.722,buffering,2
5M,4g,weak,4300,18991,4916,3.863,buffering,3
5M,4g,weak,1850,7452,5032,1.481,buffering,4
5M,4g,weak,4300,15389,5510,2.793,buffering,5
5M,4g,weak,4300,18350,7216,2.543,buffering,6
5M,4g,weak,4300,14129,7235,1.953,steady,1
5M,4g,weak,4300,10654,7079,1.505,steady,1
5M,4g,weak,4300,9796,4641,2.111,steady,1
