downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,4g,strong,300,15,91,0.16,steady,1
50M,4g,strong,300,1235,894,1.381,buffering,2
50M,4g,strong,300,1401,6903,0.203,buffering,3
50M,4g,strong,1850,8431,7828,1.077,buffering,4
50M,4g,strong,1850,8140,9714,0.838,buffering,5
50M,4g,strong,1850,2392,6590,0.363,steady,1
50M,4g,strong,4300,20137,17480,1.152,steady,1
50M,4g,strong,1850,11739,16964,0.692,steady,1
50M,4g,strong,4300,20305,17611,1.153,steady,1
50M,4g,strong,4300,13260,10466,1.267,steady,1
50M,4g,strong,4300,8446,12643,0.668,steady,1
50M,4g,strong,4300,8753,16801,0.521,steady,1
50M,4g,strong,4300,14400,18067,0.7969999999999999,steady,1
50M,4g,strong,4300,18606,17821,1.044,steady,1
50M,4g,strong,4300,17713,18529,0.956,steady,1
50M,4g,strong,4300,6568,16098,0.408,steady,1
50M,4g,strong,4300,14294,26868,0.532,steady,1
50M,4g,strong,4300,17813,23688,0.752,steady,1
50M,4g,strong,4300,14222,27141,0.524,steady,1
50M,4g,strong,4300,21031,22614,0.93,steady,1
50M,4g,strong,4300,33953,20804,1.632,steady,1
50M,4g,strong,4300,11485,18767,0.612,steady,1
50M,4g,strong,4300,6012,17079,0.352,steady,1
50M,4g,strong,4300,12262,19189,0.639,steady,1
50M,4g,strong,4300,7742,18976,0.408,steady,1
50M,4g,strong,4300,13703,20483,0.6689999999999999,steady,1
50M,4g,strong,4300,16720,26248,0.637,steady,1
50M,4g,strong,4300,17646,19962,0.8839999999999999,steady,1
50M,4g,strong,4300,16972,23938,0.709,steady,1
50M,4g,strong,4300,20467,28153,0.727,steady,1
50M,4g,strong,4300,34773,25253,1.377,steady,1
50M,4g,strong,4300,19760,28229,0.7,steady,1
50M,4g,strong,4300,15726,28438,0.5529999999999999,steady,1
50M,4g,strong,4300,13769,23416,0.588,steady,1
50M,4g,strong,4300,16508,23088,0.715,steady,1
50M,4g,strong,4300,17427,32880,0.53,steady,1
50M,4g,strong,4300,18493,28671,0.6449999999999999,steady,1
50M,4g,strong,4300,15428,23518,0.6559999999999999,steady,1
50M,4g,strong,4300,17579,24484,0.718,steady,1
50M,4g,strong,4300,17824,26682,0.6679999999999999,steady,1
50M,4g,strong,4300,9649,23534,0.41,steady,1
50M,4g,strong,4300,21508,31036,0.6930000000000001,steady,1
50M,4g,strong,4300,15301,26657,0.5740000000000001,steady,1
50M,4g,strong,4300,14588,27014,0.54,steady,1
50M,4g,strong,4300,14330,27558,0.52,steady,1
50M,4g,strong,4300,22966,34588,0.6639999999999999,steady,1
50M,4g,strong,4300,23917,34612,0.6910000000000001,steady,1
50M,4g,strong,4300,24089,29199,0.825,steady,1
50M,4g,strong,4300,10543,20511,0.514,steady,1
50M,4g,strong,4300,26645,22599,1.179,steady,1
50M,4g,strong,4300,14929,23924,0.624,steady,1
50M,4g,strong,4300,12626,12576,1.004,steady,1
50M,4g,strong,4300,13513,17804,0.759,steady,1
50M,4g,strong,4300,23227,27008,0.86,steady,1
50M,4g,strong,4300,20750,26467,0.7839999999999999,steady,1
50M,4g,strong,4300,14577,22956,0.635,steady,1
50M,4g,strong,4300,13987,23910,0.585,steady,1
50M,4g,strong,4300,26133,27538,0.949,steady,1
50M,4g,strong,4300,13335,22078,0.604,steady,1
50M,4g,strong,4300,14796,25207,0.587,steady,1
50M,4g,strong,4300,11435,13437,0.851,steady,1
50M,4g,strong,4300,29296,22381,1.309,steady,1
50M,4g,strong,4300,24721,12836,1.926,steady,1
50M,4g,strong,4300,15068,26623,0.5660000000000001,steady,1
50M,4g,strong,4300,15640,22121,0.707,steady,1
50M,4g,strong,4300,19531,20177,0.968,steady,1
50M,4g,strong,4300,16972,27824,0.6100000000000001,steady,1
50M,4g,strong,4300,13792,27585,0.5,steady,1
50M,4g,strong,4300,24041,28861,0.833,steady,1
50M,4g,strong,4300,22317,23792,0.938,steady,1
50M,4g,strong,4300,17718,21901,0.8089999999999999,steady,1
50M,4g,strong,4300,20396,27637,0.738,steady,1
50M,4g,strong,4300,11253,22461,0.501,steady,1
50M,4g,strong,4300,9187,20325,0.4519999999999999,steady,1
50M,4g,strong,4300,19401,27835,0.6970000000000001,steady,1
50M,4g,strong,4300,10616,23964,0.443,steady,1
50M,4g,strong,4300,65605,30039,2.184,steady,1
50M,4g,strong,4300,21303,33028,0.6449999999999999,steady,1
50M,4g,strong,4300,11462,25359,0.452,steady,1
50M,4g,strong,4300,18991,28218,0.6729999999999999,steady,1
50M,4g,strong,4300,14431,28979,0.498,steady,1
50M,4g,strong,4300,15389,18608,0.827,steady,1
50M,4g,strong,4300,18350,20595,0.891,steady,1
50M,4g,strong,4300,14129,21771,0.649,steady,1
50M,4g,strong,4300,10654,21611,0.493,steady,1
50M,4g,strong,4300,9796,20452,0.479,steady,1
