downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,4g,weak,300,32,88,0.358,steady,1
5M,4g,weak,300,723,2676,0.27,buffering,2
5M,4g,weak,300,597,5430,0.1099999999999999,buffering,3
5M,4g,weak,300,591,4964,0.119,buffering,4
5M,4g,weak,300,552,4529,0.122,buffering,5
5M,4g,weak,300,562,3468,0.162,buffering,6
5M,4g,weak,300,545,3924,0.139,buffering,7
5M,4g,weak,300,567,3454,0.1639999999999999,buffering,8
5M,4g,weak,300,666,1249,0.5329999999999999,steady,1
5M,4g,weak,1850,3601,2179,1.653,steady,1
5M,4g,weak,1850,3370,2615,1.289,buffering,2
5M,4g,weak,1850,3187,2589,1.231,steady,1
5M,4g,weak,1850,2973,2457,1.21,steady,1
5M,4g,weak,1850,4298,3198,1.344,steady,1
5M,4g,weak,1850,3703,3167,1.169,steady,1
5M,4g,weak,1850,8778,3408,2.576,steady,1
5M,4g,weak,1850,6360,3799,1.674,buffering,2
5M,4g,weak,1850,5198,4206,1.236,buffering,3
5M,4g,weak,1850,3507,6025,0.582,steady,1
5M,4g,weak,4300,13778,4206,3.276,steady,1
5M,4g,weak,1850,5233,5176,1.011,buffering,2
5M,4g,weak,4300,11178,9015,1.24,buffering,3
5M,4g,weak,4300,9903,5976,1.657,buffering,4
5M,4g,weak,4300,8887,4628,1.92,buffering,5
5M,4g,weak,4300,8131,3834,2.121,steady,1
5M,4g,weak,4300,7255,2524,2.875,buffering,2
5M,4g,weak,4300,2895,2173,1.332,buffering,3
5M,4g,weak,4300,3033,2328,1.3030000000000002,buffering,4
5M,4g,weak,4300,5452,1096,4.9750000000000005,buffering,5
5M,4g,weak,4300,8117,551,14.728,buffering,6
5M,4g,weak,1850,3813,944,4.038,buffering,7
5M,4g,weak,1850,4118,1313,3.137,buffering,8
5M,4g,weak,1850,3139,3375,0.93,buffering,9
5M,4g,weak,1850,2307,3496,0.6599999999999999,buffering,10
5M,4g,weak,1850,2333,3942,0.592,buffering,11
5M,4g,weak,1850,2639,3022,0.873,buffering,12
5M,4g,weak,4300,5269,3713,1.419,buffering,13
5M,4g,weak,4300,4803,3471,1.384,buffering,14
5M,4g,weak,4300,5198,2982,1.743,buffering,15
5M,4g,weak,4300,6337,1549,4.092,buffering,16
5M,4g,weak,4300,6283,2050,3.065,buffering,17
5M,4g,weak,4300,10004,1939,5.158,buffering,18
5M,4g,weak,1850,4293,1892,2.269,buffering,19
5M,4g,weak,1850,4572,1918,2.3840000000000003,buffering,20
5M,4g,weak,1850,4673,1959,2.385,buffering,21
5M,4g,weak,1850,3379,3483,0.97,buffering,22
5M,4g,weak,1850,4439,2811,1.579,buffering,23
5M,4g,weak,1850,4381,762,5.75,buffering,24
5M,4g,weak,1850,3774,1878,2.009,buffering,25
5M,4g,weak,1850,4868,3353,1.452,buffering,26
5M,4g,weak,1850,12242,3367,3.636,buffering,27
5M,4g,weak,1850,6804,1154,5.894,buffering,28
