downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,medium,300,15,416,0.035,steady,1
50M,wifi,medium,300,1235,9427,0.131,buffering,2
50M,wifi,medium,300,1401,19736,0.071,buffering,3
50M,wifi,medium,300,1447,24114,0.06,buffering,4
50M,wifi,medium,750,4396,17653,0.249,buffering,5
50M,wifi,medium,1200,1329,8357,0.1589999999999999,steady,1
50M,wifi,medium,4300,20137,23119,0.871,steady,1
50M,wifi,medium,4300,29101,28418,1.024,steady,1
50M,wifi,medium,4300,20305,24347,0.8340000000000001,steady,1
50M,wifi,medium,4300,13260,19940,0.665,steady,1
50M,wifi,medium,4300,8446,22703,0.372,steady,1
50M,wifi,medium,4300,8753,21245,0.412,steady,1
50M,wifi,medium,4300,14400,24242,0.594,steady,1
50M,wifi,medium,4300,18606,27004,0.6890000000000001,steady,1
50M,wifi,medium,4300,17713,23970,0.739,steady,1
50M,wifi,medium,4300,6568,7282,0.902,steady,1
50M,wifi,medium,4300,14294,17263,0.8280000000000001,steady,1
50M,wifi,medium,4300,17813,12134,1.468,steady,1
50M,wifi,medium,4300,14222,23507,0.605,steady,1
50M,wifi,medium,4300,21031,25067,0.839,steady,1
50M,wifi,medium,4300,33953,24461,1.388,steady,1
50M,wifi,medium,4300,11485,24860,0.462,steady,1
50M,wifi,medium,4300,6012,21548,0.279,steady,1
50M,wifi,medium,4300,12262,22294,0.55,steady,1
50M,wifi,medium,4300,7742,18838,0.411,steady,1
50M,wifi,medium,4300,13703,29724,0.4609999999999999,steady,1
50M,wifi,medium,4300,16720,21299,0.785,steady,1
50M,wifi,medium,4300,17646,23718,0.744,steady,1
50M,wifi,medium,4300,16972,25445,0.667,steady,1
50M,wifi,medium,4300,20467,26443,0.774,steady,1
50M,wifi,medium,4300,34773,26748,1.3,steady,1
50M,wifi,medium,4300,19760,29016,0.681,steady,1
50M,wifi,medium,4300,15726,22824,0.6890000000000001,steady,1
50M,wifi,medium,4300,13769,22498,0.612,steady,1
50M,wifi,medium,4300,16508,26287,0.628,steady,1
50M,wifi,medium,4300,17427,26284,0.663,steady,1
50M,wifi,medium,4300,18493,27725,0.667,steady,1
50M,wifi,medium,4300,15428,24724,0.624,steady,1
50M,wifi,medium,4300,17579,22712,0.774,steady,1
50M,wifi,medium,4300,17824,25104,0.7100000000000001,steady,1
50M,wifi,medium,4300,9649,26655,0.362,steady,1
50M,wifi,medium,4300,21508,25944,0.8290000000000001,steady,1
50M,wifi,medium,4300,15301,23290,0.657,steady,1
50M,wifi,medium,4300,14588,23566,0.619,steady,1
50M,wifi,medium,4300,14330,23039,0.622,steady,1
50M,wifi,medium,4300,22966,23628,0.972,steady,1
50M,wifi,medium,4300,23917,26457,0.904,steady,1
50M,wifi,medium,4300,24089,23922,1.007,steady,1
50M,wifi,medium,4300,10543,23533,0.448,steady,1
50M,wifi,medium,4300,26645,16695,1.596,steady,1
50M,wifi,medium,4300,14929,23436,0.637,steady,1
50M,wifi,medium,4300,12626,23083,0.547,steady,1
50M,wifi,medium,4300,13513,23258,0.5810000000000001,steady,1
50M,wifi,medium,4300,23227,3729,6.228,steady,1
50M,wifi,medium,2850,14585,12749,1.144,buffering,2
50M,wifi,medium,2850,9809,11160,0.879,steady,1
50M,wifi,medium,2850,8347,16528,0.505,steady,1
50M,wifi,medium,2850,14857,18030,0.8240000000000001,steady,1
50M,wifi,medium,2850,8595,16156,0.532,steady,1
50M,wifi,medium,4300,14796,20637,0.7170000000000001,steady,1
50M,wifi,medium,4300,11435,23054,0.496,steady,1
50M,wifi,medium,4300,29296,21978,1.333,steady,1
50M,wifi,medium,4300,24721,28253,0.875,steady,1
50M,wifi,medium,4300,15068,21744,0.6930000000000001,steady,1
50M,wifi,medium,4300,15640,19948,0.784,steady,1
50M,wifi,medium,4300,19531,24944,0.783,steady,1
50M,wifi,medium,4300,16972,22905,0.7410000000000001,steady,1
50M,wifi,medium,4300,13792,24112,0.5720000000000001,steady,1
50M,wifi,medium,4300,24041,23993,1.002,steady,1
50M,wifi,medium,4300,22317,20607,1.083,steady,1
50M,wifi,medium,4300,17718,28304,0.626,steady,1
50M,wifi,medium,4300,20396,29559,0.6900000000000001,steady,1
50M,wifi,medium,4300,11253,22416,0.502,steady,1
50M,wifi,medium,4300,9187,21515,0.427,steady,1
50M,wifi,medium,4300,19401,26253,0.739,steady,1
50M,wifi,medium,4300,10616,24979,0.425,steady,1
50M,wifi,medium,4300,65605,25069,2.617,steady,1
50M,wifi,medium,4300,21303,26932,0.791,steady,1
50M,wifi,medium,4300,11462,22924,0.5,steady,1
50M,wifi,medium,4300,18991,25321,0.75,steady,1
50M,wifi,medium,4300,14431,27593,0.523,steady,1
50M,wifi,medium,4300,15389,24388,0.631,steady,1
50M,wifi,medium,4300,18350,21238,0.8640000000000001,steady,1
50M,wifi,medium,4300,14129,21408,0.66,steady,1
50M,wifi,medium,4300,10654,22336,0.477,steady,1
50M,wifi,medium,4300,9796,24129,0.4059999999999999,steady,1
