downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,medium,300,16,430,0.037,steady,1
50M,wifi,medium,300,1295,9589,0.135,buffering,2
50M,wifi,medium,300,1133,15959,0.071,buffering,3
50M,wifi,medium,1200,4123,18490,0.223,buffering,4
50M,wifi,medium,4300,15271,23315,0.655,buffering,5
50M,wifi,medium,4300,16599,18735,0.886,steady,1
50M,wifi,medium,4300,14276,14478,0.986,steady,1
50M,wifi,medium,4300,19534,13923,1.403,steady,1
50M,wifi,medium,4300,33450,16997,1.968,steady,1
50M,wifi,medium,4300,21383,18498,1.156,steady,1
50M,wifi,medium,4300,25144,20610,1.22,steady,1
50M,wifi,medium,4300,20232,8333,2.428,steady,1
50M,wifi,medium,4300,16336,16287,1.003,steady,1
50M,wifi,medium,4300,10804,15590,0.6930000000000001,steady,1
50M,wifi,medium,4300,8772,11696,0.75,steady,1
50M,wifi,medium,4300,16211,18359,0.883,steady,1
50M,wifi,medium,4300,16041,16726,0.959,steady,1
50M,wifi,medium,4300,11312,11290,1.002,steady,1
50M,wifi,medium,4300,11374,12794,0.889,steady,1
50M,wifi,medium,4300,8777,12123,0.724,steady,1
50M,wifi,medium,4300,11770,11461,1.027,steady,1
50M,wifi,medium,4300,20852,15110,1.38,steady,1
50M,wifi,medium,4300,21456,17220,1.246,steady,1
50M,wifi,medium,4300,16022,12537,1.2779999999999998,steady,1
50M,wifi,medium,4300,17265,17457,0.989,steady,1
50M,wifi,medium,4300,38105,6461,5.898000000000001,steady,1
50M,wifi,medium,2850,16195,8569,1.89,buffering,2
50M,wifi,medium,4300,13749,12113,1.135,buffering,3
50M,wifi,medium,4300,26128,14507,1.801,steady,1
50M,wifi,medium,4300,40873,24593,1.662,steady,1
50M,wifi,medium,4300,45910,22072,2.08,steady,1
50M,wifi,medium,4300,20032,23079,0.868,steady,1
50M,wifi,medium,4300,21574,17933,1.2029999999999998,steady,1
50M,wifi,medium,4300,26547,20405,1.301,steady,1
50M,wifi,medium,4300,21315,13314,1.601,steady,1
50M,wifi,medium,4300,7084,17030,0.416,steady,1
50M,wifi,medium,4300,10485,7670,1.367,steady,1
50M,wifi,medium,4300,11984,5561,2.155,steady,1
50M,wifi,medium,4300,6890,2517,2.737,steady,1
50M,wifi,medium,4300,2807,11997,0.2339999999999999,steady,1
50M,wifi,medium,4300,3667,14326,0.256,steady,1
50M,wifi,medium,4300,3127,13836,0.226,steady,1
50M,wifi,medium,4300,4058,10623,0.382,steady,1
50M,wifi,medium,4300,6058,13432,0.451,steady,1
50M,wifi,medium,4300,4997,13149,0.38,steady,1
50M,wifi,medium,4300,15181,18446,0.8230000000000001,steady,1
50M,wifi,medium,4300,18807,16658,1.129,steady,1
50M,wifi,medium,4300,8581,11087,0.774,steady,1
50M,wifi,medium,4300,7318,12705,0.5760000000000001,steady,1
50M,wifi,medium,4300,6354,13606,0.4669999999999999,steady,1
50M,wifi,medium,4300,9185,10845,0.847,steady,1
50M,wifi,medium,4300,11808,13990,0.844,steady,1
50M,wifi,medium,4300,12796,4016,3.186,steady,1
50M,wifi,medium,4300,15220,4166,3.653,steady,1
50M,wifi,medium,4300,10239,12471,0.8210000000000001,buffering,2
50M,wifi,medium,4300,10236,13191,0.776,steady,1
50M,wifi,medium,4300,11984,13026,0.92,steady,1
50M,wifi,medium,4300,11856,14821,0.8,steady,1
50M,wifi,medium,4300,17144,18965,0.904,steady,1
50M,wifi,medium,4300,17120,9506,1.801,steady,1
50M,wifi,medium,4300,16822,8453,1.99,steady,1
50M,wifi,medium,4300,13561,13574,0.999,steady,1
50M,wifi,medium,4300,15398,14595,1.055,steady,1
50M,wifi,medium,4300,17495,20156,0.868,steady,1
50M,wifi,medium,4300,19004,14386,1.321,steady,1
50M,wifi,medium,4300,13441,15982,0.8410000000000001,steady,1
50M,wifi,medium,4300,10963,14275,0.768,steady,1
50M,wifi,medium,4300,15333,13060,1.174,steady,1
50M,wifi,medium,4300,17315,9094,1.904,steady,1
50M,wifi,medium,4300,17023,18831,0.904,steady,1
50M,wifi,medium,4300,16475,12722,1.295,steady,1
50M,wifi,medium,4300,27163,17800,1.526,steady,1
50M,wifi,medium,4300,24546,10832,2.266,steady,1
50M,wifi,medium,4300,13085,14223,0.92,steady,1
50M,wifi,medium,4300,14473,12652,1.144,steady,1
50M,wifi,medium,4300,25109,17035,1.474,steady,1
50M,wifi,medium,4300,19889,13679,1.454,steady,1
50M,wifi,medium,4300,26620,14167,1.879,steady,1
50M,wifi,medium,4300,47122,15792,2.984,steady,1
50M,wifi,medium,4300,44565,19135,2.329,steady,1
50M,wifi,medium,4300,33635,14765,2.278,steady,1
50M,wifi,medium,4300,6088,8433,0.7220000000000001,steady,1
50M,wifi,medium,4300,17329,9174,1.889,steady,1
50M,wifi,medium,4300,20140,11806,1.706,steady,1
50M,wifi,medium,4300,17863,2736,6.53,steady,1
50M,wifi,medium,2850,8182,3898,2.099,buffering,2
