downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,strong,300,15,355,0.041,steady,1
50M,wifi,strong,300,1235,765,1.615,buffering,2
50M,wifi,strong,1850,6835,41422,0.165,buffering,3
50M,wifi,strong,1850,8431,75951,0.111,buffering,4
50M,wifi,strong,4300,12185,72530,0.168,buffering,5
50M,wifi,strong,4300,5760,40848,0.141,steady,1
50M,wifi,strong,4300,20137,61392,0.328,steady,1
50M,wifi,strong,4300,29101,69122,0.421,steady,1
50M,wifi,strong,4300,20305,67013,0.303,steady,1
50M,wifi,strong,4300,13260,61391,0.216,steady,1
50M,wifi,strong,4300,8446,49102,0.172,steady,1
50M,wifi,strong,4300,8753,51489,0.1699999999999999,steady,1
50M,wifi,strong,4300,14400,63156,0.2279999999999999,steady,1
50M,wifi,strong,4300,18606,65744,0.283,steady,1
50M,wifi,strong,4300,17713,67352,0.263,steady,1
50M,wifi,strong,4300,6568,45611,0.144,steady,1
50M,wifi,strong,4300,14294,62968,0.2269999999999999,steady,1
50M,wifi,strong,4300,17813,48670,0.366,steady,1
50M,wifi,strong,4300,14222,61835,0.2299999999999999,steady,1
50M,wifi,strong,4300,21031,70812,0.297,steady,1
50M,wifi,strong,4300,33953,77517,0.438,steady,1
50M,wifi,strong,4300,11485,58300,0.1969999999999999,steady,1
50M,wifi,strong,4300,6012,44205,0.136,steady,1
50M,wifi,strong,4300,12262,60106,0.204,steady,1
50M,wifi,strong,4300,7742,49630,0.156,steady,1
50M,wifi,strong,4300,13703,56160,0.244,steady,1
50M,wifi,strong,4300,16720,62621,0.267,steady,1
50M,wifi,strong,4300,17646,65356,0.27,steady,1
50M,wifi,strong,4300,16972,65528,0.259,steady,1
50M,wifi,strong,4300,20467,69380,0.295,steady,1
50M,wifi,strong,4300,34773,77792,0.447,steady,1
50M,wifi,strong,4300,19760,69091,0.286,steady,1
50M,wifi,strong,4300,15726,60954,0.258,steady,1
50M,wifi,strong,4300,13769,60655,0.2269999999999999,steady,1
50M,wifi,strong,4300,16508,66032,0.25,steady,1
50M,wifi,strong,4300,17427,65513,0.266,steady,1
50M,wifi,strong,4300,18493,69003,0.268,steady,1
50M,wifi,strong,4300,15428,65371,0.236,steady,1
50M,wifi,strong,4300,17579,66088,0.266,steady,1
50M,wifi,strong,4300,17824,22279,0.8,steady,1
50M,wifi,strong,4300,9649,50256,0.1919999999999999,steady,1
50M,wifi,strong,4300,21508,69831,0.308,steady,1
50M,wifi,strong,4300,15301,63755,0.24,steady,1
50M,wifi,strong,4300,14588,61292,0.238,steady,1
50M,wifi,strong,4300,14330,63129,0.2269999999999999,steady,1
50M,wifi,strong,4300,22966,71994,0.319,steady,1
50M,wifi,strong,4300,23917,72256,0.331,steady,1
50M,wifi,strong,4300,24089,72558,0.332,steady,1
50M,wifi,strong,4300,10543,56988,0.185,steady,1
50M,wifi,strong,4300,26645,74635,0.357,steady,1
50M,wifi,strong,4300,14929,62990,0.237,steady,1
50M,wifi,strong,4300,12626,60704,0.208,steady,1
50M,wifi,strong,4300,13513,61986,0.218,steady,1
50M,wifi,strong,4300,23227,72133,0.322,steady,1
50M,wifi,strong,4300,20750,70340,0.295,steady,1
50M,wifi,strong,4300,14577,60236,0.242,steady,1
50M,wifi,strong,4300,13987,61890,0.2259999999999999,steady,1
50M,wifi,strong,4300,26133,71015,0.368,steady,1
50M,wifi,strong,4300,13335,61736,0.216,steady,1
50M,wifi,strong,4300,14796,63778,0.2319999999999999,steady,1
50M,wifi,strong,4300,11435,58340,0.1959999999999999,steady,1
50M,wifi,strong,4300,29296,75897,0.386,steady,1
50M,wifi,strong,4300,24721,73357,0.337,steady,1
50M,wifi,strong,4300,15068,64121,0.235,steady,1
50M,wifi,strong,4300,15640,65437,0.239,steady,1
50M,wifi,strong,4300,19531,68290,0.286,steady,1
50M,wifi,strong,4300,16972,66558,0.255,steady,1
50M,wifi,strong,4300,13792,62409,0.221,steady,1
50M,wifi,strong,4300,24041,72853,0.33,steady,1
50M,wifi,strong,4300,22317,71301,0.313,steady,1
50M,wifi,strong,4300,17718,65140,0.272,steady,1
50M,wifi,strong,4300,20396,69849,0.292,steady,1
50M,wifi,strong,4300,11253,58305,0.193,steady,1
50M,wifi,strong,4300,9187,53726,0.1709999999999999,steady,1
50M,wifi,strong,4300,19401,69042,0.281,steady,1
50M,wifi,strong,4300,10616,56469,0.188,steady,1
50M,wifi,strong,4300,65605,83894,0.782,steady,1
50M,wifi,strong,4300,21303,71010,0.3,steady,1
50M,wifi,strong,4300,11462,57889,0.1979999999999999,steady,1
50M,wifi,strong,4300,18991,65485,0.29,steady,1
50M,wifi,strong,4300,14431,63574,0.2269999999999999,steady,1
50M,wifi,strong,4300,15389,64658,0.238,steady,1
50M,wifi,strong,4300,18350,68216,0.269,steady,1
50M,wifi,strong,4300,14129,62244,0.2269999999999999,steady,1
50M,wifi,strong,4300,10654,56975,0.187,steady,1
50M,wifi,strong,4300,9796,45354,0.216,steady,1
