downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,wifi,strong,300,15,331,0.044,steady,1
5M,wifi,strong,300,1235,4862,0.254,buffering,2
5M,wifi,strong,300,1401,6457,0.217,buffering,3
5M,wifi,strong,300,1447,7906,0.183,buffering,4
5M,wifi,strong,300,1758,9660,0.182,buffering,5
5M,wifi,strong,1850,2392,8306,0.288,steady,1
5M,wifi,strong,4300,20137,7709,2.612,steady,1
5M,wifi,strong,2850,18993,7816,2.43,steady,1
5M,wifi,strong,4300,20305,7674,2.646,steady,1
5M,wifi,strong,4300,13260,8823,1.503,steady,1
5M,wifi,strong,4300,8446,12329,0.685,steady,1
5M,wifi,strong,4300,8753,14187,0.617,steady,1
5M,wifi,strong,4300,14400,8748,1.646,steady,1
5M,wifi,strong,4300,18606,7874,2.363,steady,1
5M,wifi,strong,4300,17713,7869,2.251,steady,1
5M,wifi,strong,4300,6568,7322,0.897,steady,1
5M,wifi,strong,4300,14294,9087,1.573,steady,1
5M,wifi,strong,4300,17813,7896,2.256,steady,1
5M,wifi,strong,4300,14222,8984,1.583,steady,1
5M,wifi,strong,4300,21031,7463,2.818,steady,1
5M,wifi,strong,2850,23169,7284,3.181,steady,1
5M,wifi,strong,4300,11485,7090,1.62,steady,1
5M,wifi,strong,4300,6012,8385,0.7170000000000001,steady,1
5M,wifi,strong,4300,12262,10084,1.216,steady,1
5M,wifi,strong,4300,7742,6732,1.15,steady,1
5M,wifi,strong,4300,13703,9569,1.432,steady,1
5M,wifi,strong,4300,16720,8188,2.0420000000000003,steady,1
5M,wifi,strong,4300,17646,7970,2.214,steady,1
5M,wifi,strong,4300,16972,8156,2.081,steady,1
5M,wifi,strong,4300,20467,7628,2.683,steady,1
5M,wifi,strong,2850,21756,7328,2.969,steady,1
5M,wifi,strong,4300,19760,7671,2.576,steady,1
5M,wifi,strong,4300,15726,8294,1.896,steady,1
5M,wifi,strong,4300,13769,8335,1.652,steady,1
5M,wifi,strong,4300,16508,8250,2.001,steady,1
5M,wifi,strong,4300,17427,7932,2.197,steady,1
5M,wifi,strong,4300,18493,7436,2.487,steady,1
5M,wifi,strong,4300,15428,8294,1.86,steady,1
5M,wifi,strong,4300,17579,7915,2.221,steady,1
5M,wifi,strong,4300,17824,7797,2.286,steady,1
5M,wifi,strong,4300,9649,7707,1.252,steady,1
5M,wifi,strong,4300,21508,7815,2.752,steady,1
5M,wifi,strong,4300,15301,8724,1.754,steady,1
5M,wifi,strong,4300,14588,8274,1.763,steady,1
5M,wifi,strong,4300,14330,8890,1.612,steady,1
5M,wifi,strong,4300,22966,7272,3.1580000000000004,steady,1
5M,wifi,strong,4300,23917,6454,3.706,steady,1
5M,wifi,strong,2850,16152,5738,2.815,buffering,2
5M,wifi,strong,4300,10543,7752,1.36,steady,1
5M,wifi,strong,2850,17476,8279,2.111,steady,1
5M,wifi,strong,4300,14929,8865,1.684,steady,1
5M,wifi,strong,4300,12626,8817,1.432,steady,1
5M,wifi,strong,4300,13513,9436,1.432,steady,1
5M,wifi,strong,4300,23227,7225,3.2150000000000003,steady,1
5M,wifi,strong,4300,20750,6694,3.1,steady,1
5M,wifi,strong,4300,14577,8894,1.639,steady,1
5M,wifi,strong,4300,13987,9094,1.538,steady,1
5M,wifi,strong,2850,14857,8485,1.751,steady,1
5M,wifi,strong,4300,13335,9047,1.474,steady,1
5M,wifi,strong,4300,14796,8598,1.721,steady,1
5M,wifi,strong,4300,11435,8185,1.397,steady,1
5M,wifi,strong,2850,19453,7772,2.503,steady,1
5M,wifi,strong,2850,16869,8277,2.038,steady,1
5M,wifi,strong,4300,15068,8123,1.855,steady,1
5M,wifi,strong,4300,15640,8399,1.862,steady,1
5M,wifi,strong,4300,19531,7701,2.536,steady,1
5M,wifi,strong,4300,16972,8032,2.113,steady,1
5M,wifi,strong,4300,13792,8956,1.5399999999999998,steady,1
5M,wifi,strong,2850,15541,8324,1.867,steady,1
5M,wifi,strong,4300,22317,7310,3.053,steady,1
5M,wifi,strong,4300,17718,7992,2.217,steady,1
5M,wifi,strong,4300,20396,7613,2.679,steady,1
5M,wifi,strong,4300,11253,8061,1.396,steady,1
5M,wifi,strong,4300,9187,11629,0.79,steady,1
5M,wifi,strong,4300,19401,7751,2.503,steady,1
5M,wifi,strong,4300,10616,7414,1.432,steady,1
5M,wifi,strong,1850,19756,7793,2.535,steady,1
5M,wifi,strong,4300,21303,7467,2.853,steady,1
5M,wifi,strong,4300,11462,8010,1.4309999999999998,steady,1
5M,wifi,strong,4300,18991,8078,2.351,steady,1
5M,wifi,strong,4300,14431,8757,1.648,steady,1
5M,wifi,strong,4300,15389,8446,1.822,steady,1
5M,wifi,strong,4300,18350,7882,2.3280000000000003,steady,1
5M,wifi,strong,4300,14129,7889,1.791,steady,1
5M,wifi,strong,4300,10654,11359,0.938,steady,1
5M,wifi,strong,4300,9796,11325,0.865,steady,1
