downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,wifi,strong,300,15,291,0.05,steady,1
5M,wifi,strong,300,1235,4215,0.293,buffering,2
5M,wifi,strong,300,1401,5452,0.257,buffering,3
5M,wifi,strong,300,1447,5696,0.254,buffering,4
5M,wifi,strong,1850,8140,8965,0.908,buffering,5
5M,wifi,strong,1850,2392,8109,0.295,steady,1
5M,wifi,strong,4300,20137,7700,2.615,steady,1
5M,wifi,strong,4300,29101,6855,4.245,steady,1
5M,wifi,strong,4300,20305,5848,3.472,buffering,2
5M,wifi,strong,4300,13260,5726,2.316,buffering,3
5M,wifi,strong,4300,8446,7243,1.166,steady,1
5M,wifi,strong,4300,8753,10396,0.8420000000000001,steady,1
5M,wifi,strong,4300,14400,9418,1.529,steady,1
5M,wifi,strong,4300,18606,7841,2.373,steady,1
5M,wifi,strong,4300,17713,7954,2.227,steady,1
5M,wifi,strong,4300,6568,6414,1.024,steady,1
5M,wifi,strong,4300,14294,9116,1.5679999999999998,steady,1
5M,wifi,strong,4300,17813,7128,2.499,steady,1
5M,wifi,strong,4300,14222,9064,1.569,steady,1
5M,wifi,strong,4300,21031,7530,2.793,steady,1
5M,wifi,strong,4300,33953,6677,5.085,steady,1
5M,wifi,strong,4300,11485,5780,1.987,buffering,2
5M,wifi,strong,4300,6012,6295,0.955,steady,1
5M,wifi,strong,4300,12262,10435,1.1749999999999998,steady,1
5M,wifi,strong,4300,7742,12488,0.62,steady,1
5M,wifi,strong,4300,13703,9341,1.467,steady,1
5M,wifi,strong,4300,16720,8172,2.0460000000000003,steady,1
5M,wifi,strong,4300,17646,8072,2.186,steady,1
5M,wifi,strong,4300,16972,8105,2.0940000000000003,steady,1
5M,wifi,strong,4300,20467,7680,2.665,steady,1
5M,wifi,strong,4300,34773,6639,5.238,steady,1
5M,wifi,strong,4300,19760,5736,3.4450000000000003,buffering,2
5M,wifi,strong,4300,15726,5809,2.7070000000000003,buffering,3
5M,wifi,strong,4300,13769,7007,1.965,steady,1
5M,wifi,strong,4300,16508,8221,2.008,steady,1
5M,wifi,strong,4300,17427,8228,2.118,steady,1
5M,wifi,strong,4300,18493,7863,2.3520000000000003,steady,1
5M,wifi,strong,4300,15428,8519,1.811,steady,1
5M,wifi,strong,4300,17579,7940,2.214,steady,1
5M,wifi,strong,4300,17824,7894,2.258,steady,1
5M,wifi,strong,4300,9649,7968,1.211,steady,1
5M,wifi,strong,4300,21508,7458,2.8840000000000003,steady,1
5M,wifi,strong,4300,15301,8553,1.789,steady,1
5M,wifi,strong,4300,14588,8657,1.6849999999999998,steady,1
5M,wifi,strong,4300,14330,8495,1.6869999999999998,steady,1
5M,wifi,strong,4300,22966,7277,3.156,steady,1
5M,wifi,strong,4300,23917,7154,3.343,steady,1
5M,wifi,strong,4300,24089,5707,4.221,buffering,2
5M,wifi,strong,4300,10543,5841,1.805,buffering,3
5M,wifi,strong,4300,26645,7073,3.767,steady,1
5M,wifi,strong,4300,14929,7163,2.084,steady,1
5M,wifi,strong,4300,12626,9346,1.351,steady,1
5M,wifi,strong,4300,13513,9249,1.461,steady,1
5M,wifi,strong,4300,23227,7195,3.228,steady,1
5M,wifi,strong,4300,20750,6700,3.097,steady,1
5M,wifi,strong,4300,14577,8672,1.6809999999999998,steady,1
5M,wifi,strong,4300,13987,8780,1.593,steady,1
5M,wifi,strong,4300,26133,7075,3.694,steady,1
5M,wifi,strong,4300,13335,5641,2.364,buffering,2
5M,wifi,strong,4300,14796,8678,1.7049999999999998,steady,1
5M,wifi,strong,4300,11435,7307,1.565,steady,1
5M,wifi,strong,4300,29296,6937,4.223,steady,1
5M,wifi,strong,4300,24721,5661,4.367,buffering,2
5M,wifi,strong,4300,15068,5765,2.6140000000000003,buffering,3
5M,wifi,strong,4300,15640,5702,2.7430000000000003,buffering,4
5M,wifi,strong,4300,19531,7644,2.555,steady,1
5M,wifi,strong,4300,16972,7876,2.155,steady,1
5M,wifi,strong,4300,13792,8620,1.6,steady,1
5M,wifi,strong,4300,24041,7261,3.311,steady,1
5M,wifi,strong,4300,22317,5624,3.968,buffering,2
5M,wifi,strong,4300,17718,5760,3.076,buffering,3
5M,wifi,strong,4300,20396,7577,2.692,steady,1
5M,wifi,strong,4300,11253,9002,1.25,steady,1
5M,wifi,strong,4300,9187,11947,0.769,steady,1
5M,wifi,strong,4300,19401,7696,2.521,steady,1
5M,wifi,strong,4300,10616,8781,1.209,steady,1
5M,wifi,strong,4300,65605,6210,10.564,steady,1
5M,wifi,strong,4300,21303,5660,3.764,buffering,2
5M,wifi,strong,4300,11462,5866,1.954,buffering,3
5M,wifi,strong,4300,18991,5720,3.3200000000000003,buffering,4
5M,wifi,strong,4300,14431,5633,2.562,buffering,5
5M,wifi,strong,4300,15389,5676,2.711,buffering,6
5M,wifi,strong,4300,18350,5715,3.211,buffering,7
5M,wifi,strong,4300,14129,5681,2.487,buffering,8
5M,wifi,strong,4300,10654,8304,1.283,steady,1
5M,wifi,strong,4300,9796,11649,0.8410000000000001,steady,1
