downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,wifi,strong,300,16,370,0.043,steady,1
5M,wifi,strong,300,1295,5057,0.256,buffering,2
5M,wifi,strong,300,1133,6192,0.183,buffering,3
5M,wifi,strong,1200,4123,10308,0.3999999999999999,steady,1
5M,wifi,strong,1850,7404,17100,0.433,buffering,2
5M,wifi,strong,1850,6919,17000,0.407,steady,1
5M,wifi,strong,4300,14276,8753,1.631,steady,1
5M,wifi,strong,4300,19534,7607,2.568,steady,1
5M,wifi,strong,4300,33450,6689,5.001,steady,1
5M,wifi,strong,4300,21383,5719,3.739,buffering,2
5M,wifi,strong,4300,25144,5734,4.385000000000001,buffering,3
5M,wifi,strong,4300,20232,5670,3.568,buffering,4
5M,wifi,strong,4300,16336,5830,2.802,buffering,5
5M,wifi,strong,4300,10804,5753,1.878,buffering,6
5M,wifi,strong,4300,8772,7769,1.129,steady,1
5M,wifi,strong,4300,16211,8470,1.914,steady,1
5M,wifi,strong,4300,16041,8176,1.962,steady,1
5M,wifi,strong,4300,11312,8398,1.347,steady,1
5M,wifi,strong,4300,11374,10512,1.082,steady,1
5M,wifi,strong,4300,8777,8630,1.017,steady,1
5M,wifi,strong,4300,11770,10500,1.121,steady,1
5M,wifi,strong,4300,20852,7511,2.776,steady,1
5M,wifi,strong,4300,21456,7434,2.886,steady,1
5M,wifi,strong,4300,16022,8297,1.931,steady,1
5M,wifi,strong,4300,17265,8094,2.133,steady,1
5M,wifi,strong,4300,38105,6532,5.8340000000000005,steady,1
5M,wifi,strong,4300,24234,5720,4.237,buffering,2
5M,wifi,strong,4300,13749,5644,2.436,buffering,3
5M,wifi,strong,4300,26128,5689,4.593,buffering,4
5M,wifi,strong,4300,40873,5691,7.182,buffering,5
5M,wifi,strong,4300,45910,5707,8.045,buffering,6
5M,wifi,strong,4300,20032,5693,3.519,buffering,7
5M,wifi,strong,4300,21574,5706,3.781,buffering,8
5M,wifi,strong,4300,26547,5698,4.659000000000001,buffering,9
5M,wifi,strong,4300,21315,5699,3.74,buffering,10
5M,wifi,strong,4300,7084,5788,1.224,buffering,11
5M,wifi,strong,4300,10485,5729,1.83,buffering,12
5M,wifi,strong,4300,11984,5653,2.12,buffering,13
5M,wifi,strong,4300,6890,5611,1.228,buffering,14
5M,wifi,strong,4300,2807,5559,0.505,steady,1
5M,wifi,strong,4300,3667,6584,0.557,steady,1
5M,wifi,strong,4300,3127,6488,0.482,steady,1
5M,wifi,strong,4300,4058,8472,0.479,steady,1
5M,wifi,strong,4300,6058,10267,0.5900000000000001,steady,1
5M,wifi,strong,4300,4997,11254,0.444,steady,1
5M,wifi,strong,4300,15181,9975,1.522,steady,1
5M,wifi,strong,4300,18807,7636,2.463,steady,1
5M,wifi,strong,4300,8581,7880,1.089,steady,1
5M,wifi,strong,4300,7318,10637,0.6880000000000001,steady,1
5M,wifi,strong,4300,6354,12290,0.517,steady,1
5M,wifi,strong,4300,9185,14002,0.656,steady,1
5M,wifi,strong,4300,11808,9356,1.262,steady,1
5M,wifi,strong,4300,12796,9813,1.3039999999999998,steady,1
5M,wifi,strong,4300,15220,8599,1.77,steady,1
5M,wifi,strong,4300,10239,8037,1.274,steady,1
5M,wifi,strong,4300,10236,11527,0.888,steady,1
5M,wifi,strong,4300,11984,10304,1.163,steady,1
5M,wifi,strong,4300,11856,8629,1.374,steady,1
5M,wifi,strong,4300,17144,8322,2.06,steady,1
5M,wifi,strong,4300,17120,8000,2.14,steady,1
5M,wifi,strong,4300,16822,8174,2.058,steady,1
5M,wifi,strong,4300,13561,8159,1.662,steady,1
5M,wifi,strong,4300,15398,8709,1.768,steady,1
5M,wifi,strong,4300,17495,8051,2.173,steady,1
5M,wifi,strong,4300,19004,7580,2.507,steady,1
5M,wifi,strong,4300,13441,8638,1.556,steady,1
5M,wifi,strong,4300,10963,10392,1.055,steady,1
5M,wifi,strong,4300,15333,8452,1.814,steady,1
5M,wifi,strong,4300,17315,7853,2.205,steady,1
5M,wifi,strong,4300,17023,8260,2.061,steady,1
5M,wifi,strong,4300,16475,8406,1.96,steady,1
5M,wifi,strong,4300,27163,6952,3.907,steady,1
5M,wifi,strong,4300,24546,5742,4.275,buffering,2
5M,wifi,strong,4300,13085,5775,2.266,buffering,3
5M,wifi,strong,4300,14473,8984,1.611,steady,1
5M,wifi,strong,4300,25109,7137,3.518,steady,1
5M,wifi,strong,4300,19889,6715,2.962,steady,1
5M,wifi,strong,4300,26620,7025,3.789,steady,1
5M,wifi,strong,4300,47122,5652,8.338000000000001,buffering,2
5M,wifi,strong,4300,44565,5673,7.855,buffering,3
5M,wifi,strong,4300,33635,5628,5.976,buffering,4
5M,wifi,strong,4300,6088,5843,1.0419999999999998,buffering,5
5M,wifi,strong,4300,17329,5678,3.052,buffering,6
5M,wifi,strong,4300,20140,5646,3.567,buffering,7
5M,wifi,strong,4300,17863,5716,3.125,buffering,8
5M,wifi,strong,4300,12208,5668,2.1540000000000004,buffering,9
