downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,strong,300,16,530,0.03,steady,1
50M,wifi,strong,300,1295,15787,0.0819999999999999,buffering,2
50M,wifi,strong,300,1133,28328,0.04,buffering,3
50M,wifi,strong,1200,4123,54976,0.075,buffering,4
50M,wifi,strong,4300,15271,78314,0.1949999999999999,buffering,5
50M,wifi,strong,4300,16599,64842,0.256,steady,1
50M,wifi,strong,4300,14276,62612,0.2279999999999999,steady,1
50M,wifi,strong,4300,19534,69026,0.283,steady,1
50M,wifi,strong,4300,33450,59839,0.559,steady,1
50M,wifi,strong,4300,21383,49961,0.428,steady,1
50M,wifi,strong,4300,25144,55383,0.454,steady,1
50M,wifi,strong,4300,20232,56673,0.357,steady,1
50M,wifi,strong,4300,16336,55004,0.297,steady,1
50M,wifi,strong,4300,10804,51204,0.211,steady,1
50M,wifi,strong,4300,8772,47933,0.183,steady,1
50M,wifi,strong,4300,16211,59165,0.274,steady,1
50M,wifi,strong,4300,16041,60991,0.263,steady,1
50M,wifi,strong,4300,11312,55453,0.204,steady,1
50M,wifi,strong,4300,11374,56587,0.2009999999999999,steady,1
50M,wifi,strong,4300,8777,51028,0.172,steady,1
50M,wifi,strong,4300,11770,57698,0.204,steady,1
50M,wifi,strong,4300,20852,69045,0.302,steady,1
50M,wifi,strong,4300,21456,66017,0.325,steady,1
50M,wifi,strong,4300,16022,65397,0.245,steady,1
50M,wifi,strong,4300,17265,66149,0.261,steady,1
50M,wifi,strong,4300,38105,78730,0.484,steady,1
50M,wifi,strong,4300,24234,72558,0.334,steady,1
50M,wifi,strong,4300,13749,58755,0.2339999999999999,steady,1
50M,wifi,strong,4300,26128,73807,0.354,steady,1
50M,wifi,strong,4300,40873,79830,0.512,steady,1
50M,wifi,strong,4300,45910,80970,0.5670000000000001,steady,1
50M,wifi,strong,4300,20032,69556,0.288,steady,1
50M,wifi,strong,4300,21574,70733,0.305,steady,1
50M,wifi,strong,4300,26547,74361,0.357,steady,1
50M,wifi,strong,4300,21315,70580,0.302,steady,1
50M,wifi,strong,4300,7084,47228,0.15,steady,1
50M,wifi,strong,4300,10485,54607,0.192,steady,1
50M,wifi,strong,4300,11984,59036,0.2029999999999999,steady,1
50M,wifi,strong,4300,6890,46871,0.147,steady,1
50M,wifi,strong,4300,2807,27523,0.102,steady,1
50M,wifi,strong,4300,3667,32455,0.113,steady,1
50M,wifi,strong,4300,3127,29500,0.106,steady,1
50M,wifi,strong,4300,4058,34101,0.119,steady,1
50M,wifi,strong,4300,6058,43580,0.1389999999999999,steady,1
50M,wifi,strong,4300,4997,38142,0.131,steady,1
50M,wifi,strong,4300,15181,64327,0.236,steady,1
50M,wifi,strong,4300,18807,68387,0.275,steady,1
50M,wifi,strong,4300,8581,52324,0.1639999999999999,steady,1
50M,wifi,strong,4300,7318,49114,0.149,steady,1
50M,wifi,strong,4300,6354,45386,0.1399999999999999,steady,1
50M,wifi,strong,4300,9185,53403,0.172,steady,1
50M,wifi,strong,4300,11808,59335,0.1989999999999999,steady,1
50M,wifi,strong,4300,12796,58164,0.22,steady,1
50M,wifi,strong,4300,15220,63682,0.239,steady,1
50M,wifi,strong,4300,10239,56567,0.181,steady,1
50M,wifi,strong,4300,10236,55935,0.183,steady,1
50M,wifi,strong,4300,11984,59620,0.2009999999999999,steady,1
50M,wifi,strong,4300,11856,58987,0.2009999999999999,steady,1
50M,wifi,strong,4300,17144,63263,0.271,steady,1
50M,wifi,strong,4300,17120,63408,0.27,steady,1
50M,wifi,strong,4300,16822,63239,0.266,steady,1
50M,wifi,strong,4300,13561,62491,0.217,steady,1
50M,wifi,strong,4300,15398,64697,0.238,steady,1
50M,wifi,strong,4300,17495,67032,0.261,steady,1
50M,wifi,strong,4300,19004,68359,0.278,steady,1
50M,wifi,strong,4300,13441,60003,0.2239999999999999,steady,1
50M,wifi,strong,4300,10963,57701,0.19,steady,1
50M,wifi,strong,4300,15333,63887,0.24,steady,1
50M,wifi,strong,4300,17315,67374,0.257,steady,1
50M,wifi,strong,4300,17023,66757,0.255,steady,1
50M,wifi,strong,4300,16475,17379,0.948,steady,1
50M,wifi,strong,4300,27163,74624,0.364,steady,1
50M,wifi,strong,4300,24546,73053,0.336,steady,1
50M,wifi,strong,4300,13085,61146,0.214,steady,1
50M,wifi,strong,4300,14473,63760,0.2269999999999999,steady,1
50M,wifi,strong,4300,25109,73204,0.343,steady,1
50M,wifi,strong,4300,19889,69787,0.285,steady,1
50M,wifi,strong,4300,26620,74356,0.358,steady,1
50M,wifi,strong,4300,47122,44413,1.061,steady,1
50M,wifi,strong,4300,44565,55154,0.808,steady,1
50M,wifi,strong,4300,33635,60387,0.557,steady,1
50M,wifi,strong,4300,6088,40861,0.149,steady,1
50M,wifi,strong,4300,17329,59756,0.29,steady,1
50M,wifi,strong,4300,20140,59236,0.34,steady,1
50M,wifi,strong,4300,17863,63345,0.282,steady,1
50M,wifi,strong,4300,12208,57316,0.213,steady,1
