downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,strong,300,16,379,0.042,steady,1
50M,wifi,strong,300,1295,730,1.774,buffering,2
50M,wifi,strong,1850,5367,37016,0.145,buffering,3
50M,wifi,strong,1850,5973,63538,0.094,buffering,4
50M,wifi,strong,4300,15271,66979,0.2279999999999999,buffering,5
50M,wifi,strong,4300,16599,58040,0.286,steady,1
50M,wifi,strong,4300,14276,56875,0.251,steady,1
50M,wifi,strong,4300,19534,64047,0.305,steady,1
50M,wifi,strong,4300,33450,72876,0.459,steady,1
50M,wifi,strong,4300,21383,67243,0.318,steady,1
50M,wifi,strong,4300,25144,72045,0.349,steady,1
50M,wifi,strong,4300,20232,68583,0.295,steady,1
50M,wifi,strong,4300,16336,65085,0.251,steady,1
50M,wifi,strong,4300,10804,56566,0.191,steady,1
50M,wifi,strong,4300,8772,46908,0.187,steady,1
50M,wifi,strong,4300,16211,65105,0.249,steady,1
50M,wifi,strong,4300,16041,64942,0.247,steady,1
50M,wifi,strong,4300,11312,57717,0.1959999999999999,steady,1
50M,wifi,strong,4300,11374,58031,0.1959999999999999,steady,1
50M,wifi,strong,4300,8777,52243,0.1679999999999999,steady,1
50M,wifi,strong,4300,11770,57138,0.206,steady,1
50M,wifi,strong,4300,20852,70207,0.297,steady,1
50M,wifi,strong,4300,21456,70577,0.304,steady,1
50M,wifi,strong,4300,16022,64868,0.247,steady,1
50M,wifi,strong,4300,17265,66403,0.26,steady,1
50M,wifi,strong,4300,38105,78085,0.488,steady,1
50M,wifi,strong,4300,24234,71277,0.34,steady,1
50M,wifi,strong,4300,13749,61931,0.222,steady,1
50M,wifi,strong,4300,26128,73807,0.354,steady,1
50M,wifi,strong,4300,40873,79365,0.515,steady,1
50M,wifi,strong,4300,45910,80970,0.5670000000000001,steady,1
50M,wifi,strong,4300,20032,69077,0.29,steady,1
50M,wifi,strong,4300,21574,70733,0.305,steady,1
50M,wifi,strong,4300,26547,73742,0.36,steady,1
50M,wifi,strong,4300,21315,66402,0.321,steady,1
50M,wifi,strong,4300,7084,46916,0.151,steady,1
50M,wifi,strong,4300,10485,56369,0.186,steady,1
50M,wifi,strong,4300,11984,58746,0.204,steady,1
50M,wifi,strong,4300,6890,46554,0.148,steady,1
50M,wifi,strong,4300,2807,27255,0.103,steady,1
50M,wifi,strong,4300,3667,32455,0.113,steady,1
50M,wifi,strong,4300,3127,28954,0.1079999999999999,steady,1
50M,wifi,strong,4300,4058,23057,0.176,steady,1
50M,wifi,strong,4300,6058,41491,0.146,steady,1
50M,wifi,strong,4300,4997,37568,0.133,steady,1
50M,wifi,strong,4300,15181,59534,0.255,steady,1
50M,wifi,strong,4300,18807,46782,0.402,steady,1
50M,wifi,strong,4300,8581,23575,0.364,steady,1
50M,wifi,strong,4300,7318,27931,0.262,steady,1
50M,wifi,strong,4300,6354,29417,0.216,steady,1
50M,wifi,strong,4300,9185,33401,0.275,steady,1
50M,wifi,strong,4300,11808,37248,0.317,steady,1
50M,wifi,strong,4300,12796,12558,1.019,steady,1
50M,wifi,strong,4300,15220,25580,0.595,steady,1
50M,wifi,strong,4300,10239,29677,0.345,steady,1
50M,wifi,strong,4300,10236,12990,0.788,steady,1
50M,wifi,strong,4300,11984,36647,0.327,steady,1
50M,wifi,strong,4300,11856,39260,0.302,steady,1
50M,wifi,strong,4300,17144,44998,0.381,steady,1
50M,wifi,strong,4300,17120,48226,0.355,steady,1
50M,wifi,strong,4300,16822,50668,0.332,steady,1
50M,wifi,strong,4300,13561,50039,0.271,steady,1
50M,wifi,strong,4300,15398,53651,0.287,steady,1
50M,wifi,strong,4300,17495,56255,0.311,steady,1
50M,wifi,strong,4300,19004,59573,0.319,steady,1
50M,wifi,strong,4300,13441,54860,0.245,steady,1
50M,wifi,strong,4300,10963,53479,0.205,steady,1
50M,wifi,strong,4300,15333,60365,0.254,steady,1
50M,wifi,strong,4300,17315,61184,0.283,steady,1
50M,wifi,strong,4300,17023,64481,0.264,steady,1
50M,wifi,strong,4300,16475,62642,0.263,steady,1
50M,wifi,strong,4300,27163,70738,0.384,steady,1
50M,wifi,strong,4300,24546,72194,0.34,steady,1
50M,wifi,strong,4300,13085,61146,0.214,steady,1
50M,wifi,strong,4300,14473,57207,0.253,steady,1
50M,wifi,strong,4300,25109,63729,0.394,steady,1
50M,wifi,strong,4300,19889,63748,0.312,steady,1
50M,wifi,strong,4300,26620,69685,0.382,steady,1
50M,wifi,strong,4300,47122,78800,0.598,steady,1
50M,wifi,strong,4300,44565,80441,0.554,steady,1
50M,wifi,strong,4300,33635,73440,0.4579999999999999,steady,1
50M,wifi,strong,4300,6088,42876,0.142,steady,1
50M,wifi,strong,4300,17329,65641,0.264,steady,1
50M,wifi,strong,4300,20140,69449,0.29,steady,1
50M,wifi,strong,4300,17863,67155,0.266,steady,1
50M,wifi,strong,4300,12208,54019,0.2259999999999999,steady,1
