downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,strong,300,16,548,0.029,steady,1
50M,wifi,strong,300,1295,16182,0.08,buffering,2
50M,wifi,strong,300,1133,27637,0.041,buffering,3
50M,wifi,strong,750,2706,48315,0.0559999999999999,buffering,4
50M,wifi,strong,1200,5159,65299,0.079,buffering,5
50M,wifi,strong,1850,6919,45520,0.152,steady,1
50M,wifi,strong,4300,14276,61268,0.2329999999999999,steady,1
50M,wifi,strong,4300,19534,68783,0.284,steady,1
50M,wifi,strong,4300,33450,77252,0.433,steady,1
50M,wifi,strong,4300,21383,70339,0.304,steady,1
50M,wifi,strong,4300,25144,70828,0.355,steady,1
50M,wifi,strong,4300,20232,69766,0.29,steady,1
50M,wifi,strong,4300,16336,65872,0.248,steady,1
50M,wifi,strong,4300,10804,57165,0.189,steady,1
50M,wifi,strong,4300,8772,52213,0.1679999999999999,steady,1
50M,wifi,strong,4300,16211,65105,0.249,steady,1
50M,wifi,strong,4300,16041,64942,0.247,steady,1
50M,wifi,strong,4300,11312,57717,0.1959999999999999,steady,1
50M,wifi,strong,4300,11374,57736,0.1969999999999999,steady,1
50M,wifi,strong,4300,8777,52243,0.1679999999999999,steady,1
50M,wifi,strong,4300,11770,58852,0.1999999999999999,steady,1
50M,wifi,strong,4300,20852,69972,0.298,steady,1
50M,wifi,strong,4300,21456,70346,0.305,steady,1
50M,wifi,strong,4300,16022,14699,1.09,steady,1
50M,wifi,strong,4300,17265,18827,0.917,steady,1
50M,wifi,strong,4300,38105,67443,0.5650000000000001,steady,1
50M,wifi,strong,4300,24234,65676,0.369,steady,1
50M,wifi,strong,4300,13749,58012,0.237,steady,1
50M,wifi,strong,4300,26128,67865,0.385,steady,1
50M,wifi,strong,4300,40873,78602,0.52,steady,1
50M,wifi,strong,4300,45910,81113,0.5660000000000001,steady,1
50M,wifi,strong,4300,20032,69077,0.29,steady,1
50M,wifi,strong,4300,21574,70502,0.306,steady,1
50M,wifi,strong,4300,26547,71555,0.371,steady,1
50M,wifi,strong,4300,21315,70814,0.301,steady,1
50M,wifi,strong,4300,7084,47228,0.15,steady,1
50M,wifi,strong,4300,10485,56369,0.186,steady,1
50M,wifi,strong,4300,11984,59328,0.2019999999999999,steady,1
50M,wifi,strong,4300,6890,46554,0.148,steady,1
50M,wifi,strong,4300,2807,26484,0.106,steady,1
50M,wifi,strong,4300,3667,32745,0.112,steady,1
50M,wifi,strong,4300,3127,29500,0.106,steady,1
50M,wifi,strong,4300,4058,33816,0.12,steady,1
50M,wifi,strong,4300,6058,43896,0.138,steady,1
50M,wifi,strong,4300,4997,39036,0.128,steady,1
50M,wifi,strong,4300,15181,63520,0.239,steady,1
50M,wifi,strong,4300,18807,67649,0.278,steady,1
50M,wifi,strong,4300,8581,52007,0.1649999999999999,steady,1
50M,wifi,strong,4300,7318,43047,0.1699999999999999,steady,1
50M,wifi,strong,4300,6354,44125,0.144,steady,1
50M,wifi,strong,4300,9185,53403,0.172,steady,1
50M,wifi,strong,4300,11808,58454,0.2019999999999999,steady,1
50M,wifi,strong,4300,12796,59241,0.216,steady,1
50M,wifi,strong,4300,15220,64219,0.237,steady,1
50M,wifi,strong,4300,10239,55644,0.184,steady,1
50M,wifi,strong,4300,10236,54739,0.187,steady,1
50M,wifi,strong,4300,11984,59033,0.2029999999999999,steady,1
50M,wifi,strong,4300,11856,59282,0.1999999999999999,steady,1
50M,wifi,strong,4300,17144,66709,0.257,steady,1
50M,wifi,strong,4300,17120,63408,0.27,steady,1
50M,wifi,strong,4300,16822,65967,0.255,steady,1
50M,wifi,strong,4300,13561,58451,0.2319999999999999,steady,1
50M,wifi,strong,4300,15398,64427,0.239,steady,1
50M,wifi,strong,4300,17495,61821,0.283,steady,1
50M,wifi,strong,4300,19004,65986,0.288,steady,1
50M,wifi,strong,4300,13441,60003,0.224,steady,1
50M,wifi,strong,4300,10963,55935,0.1959999999999999,steady,1
50M,wifi,strong,4300,15333,63887,0.24,steady,1
50M,wifi,strong,4300,17315,66596,0.26,steady,1
50M,wifi,strong,4300,17023,66496,0.256,steady,1
50M,wifi,strong,4300,16475,65637,0.251,steady,1
50M,wifi,strong,4300,27163,74420,0.365,steady,1
50M,wifi,strong,4300,24546,73053,0.336,steady,1
50M,wifi,strong,4300,13085,61146,0.214,steady,1
50M,wifi,strong,4300,14473,63480,0.2279999999999999,steady,1
50M,wifi,strong,4300,25109,73204,0.343,steady,1
50M,wifi,strong,4300,19889,69301,0.287,steady,1
50M,wifi,strong,4300,26620,74149,0.359,steady,1
50M,wifi,strong,4300,47122,79331,0.594,steady,1
50M,wifi,strong,4300,44565,81026,0.55,steady,1
50M,wifi,strong,4300,33635,75585,0.445,steady,1
50M,wifi,strong,4300,6088,43801,0.1389999999999999,steady,1
50M,wifi,strong,4300,17329,66908,0.259,steady,1
50M,wifi,strong,4300,20140,69449,0.29,steady,1
50M,wifi,strong,4300,17863,67408,0.265,steady,1
50M,wifi,strong,4300,12208,60139,0.2029999999999999,steady,1
