downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,strong,300,15,502,0.029,steady,1
50M,wifi,strong,300,1235,15832,0.078,buffering,2
50M,wifi,strong,300,1401,32587,0.043,buffering,3
50M,wifi,strong,1200,5440,58497,0.093,buffering,4
50M,wifi,strong,4300,12185,77120,0.158,buffering,5
50M,wifi,strong,4300,5760,42982,0.134,steady,1
50M,wifi,strong,4300,20137,70162,0.287,steady,1
50M,wifi,strong,4300,29101,72570,0.401,steady,1
50M,wifi,strong,4300,20305,69777,0.291,steady,1
50M,wifi,strong,4300,13260,61964,0.214,steady,1
50M,wifi,strong,4300,8446,50877,0.1659999999999999,steady,1
50M,wifi,strong,4300,8753,52414,0.1669999999999999,steady,1
50M,wifi,strong,4300,14400,63156,0.2279999999999999,steady,1
50M,wifi,strong,4300,18606,68152,0.273,steady,1
50M,wifi,strong,4300,17713,67352,0.263,steady,1
50M,wifi,strong,4300,6568,45611,0.144,steady,1
50M,wifi,strong,4300,14294,63246,0.2259999999999999,steady,1
50M,wifi,strong,4300,17813,67475,0.264,steady,1
50M,wifi,strong,4300,14222,62929,0.2259999999999999,steady,1
50M,wifi,strong,4300,21031,70575,0.298,steady,1
50M,wifi,strong,4300,33953,77695,0.437,steady,1
50M,wifi,strong,4300,11485,58598,0.1959999999999999,steady,1
50M,wifi,strong,4300,6012,43565,0.138,steady,1
50M,wifi,strong,4300,12262,60402,0.2029999999999999,steady,1
50M,wifi,strong,4300,7742,49630,0.156,steady,1
50M,wifi,strong,4300,13703,60902,0.2249999999999999,steady,1
50M,wifi,strong,4300,16720,66086,0.253,steady,1
50M,wifi,strong,4300,17646,67096,0.263,steady,1
50M,wifi,strong,4300,16972,58122,0.292,steady,1
50M,wifi,strong,4300,20467,62400,0.328,steady,1
50M,wifi,strong,4300,34773,70106,0.496,steady,1
50M,wifi,strong,4300,19760,67211,0.294,steady,1
50M,wifi,strong,4300,15726,63927,0.246,steady,1
50M,wifi,strong,4300,13769,61743,0.223,steady,1
50M,wifi,strong,4300,16508,61828,0.267,steady,1
50M,wifi,strong,4300,17427,66768,0.261,steady,1
50M,wifi,strong,4300,18493,67246,0.275,steady,1
50M,wifi,strong,4300,15428,64551,0.239,steady,1
50M,wifi,strong,4300,17579,66842,0.263,steady,1
50M,wifi,strong,4300,17824,67006,0.266,steady,1
50M,wifi,strong,4300,9649,54824,0.176,steady,1
50M,wifi,strong,4300,21508,70983,0.303,steady,1
50M,wifi,strong,4300,15301,64022,0.239,steady,1
50M,wifi,strong,4300,14588,63424,0.2299999999999999,steady,1
50M,wifi,strong,4300,14330,63129,0.2269999999999999,steady,1
50M,wifi,strong,4300,22966,70665,0.325,steady,1
50M,wifi,strong,4300,23917,72696,0.329,steady,1
50M,wifi,strong,4300,24089,72777,0.331,steady,1
50M,wifi,strong,4300,10543,56682,0.186,steady,1
50M,wifi,strong,4300,26645,74426,0.358,steady,1
50M,wifi,strong,4300,14929,63526,0.235,steady,1
50M,wifi,strong,4300,12626,57393,0.22,steady,1
50M,wifi,strong,4300,13513,61703,0.219,steady,1
50M,wifi,strong,4300,23227,72358,0.321,steady,1
50M,wifi,strong,4300,20750,70102,0.296,steady,1
50M,wifi,strong,4300,14577,63379,0.2299999999999999,steady,1
50M,wifi,strong,4300,13987,62723,0.223,steady,1
50M,wifi,strong,4300,26133,73823,0.354,steady,1
50M,wifi,strong,4300,13335,57727,0.2309999999999999,steady,1
50M,wifi,strong,4300,14796,63778,0.2319999999999999,steady,1
50M,wifi,strong,4300,11435,57174,0.1999999999999999,steady,1
50M,wifi,strong,4300,29296,75506,0.388,steady,1
50M,wifi,strong,4300,24721,72924,0.339,steady,1
50M,wifi,strong,4300,15068,64121,0.235,steady,1
50M,wifi,strong,4300,15640,64894,0.241,steady,1
50M,wifi,strong,4300,19531,69259,0.282,steady,1
50M,wifi,strong,4300,16972,65028,0.261,steady,1
50M,wifi,strong,4300,13792,62692,0.22,steady,1
50M,wifi,strong,4300,24041,72633,0.331,steady,1
50M,wifi,strong,4300,22317,71301,0.313,steady,1
50M,wifi,strong,4300,17718,67369,0.263,steady,1
50M,wifi,strong,4300,20396,70089,0.291,steady,1
50M,wifi,strong,4300,11253,58004,0.1939999999999999,steady,1
50M,wifi,strong,4300,9187,53413,0.172,steady,1
50M,wifi,strong,4300,19401,69042,0.281,steady,1
50M,wifi,strong,4300,10616,56771,0.187,steady,1
50M,wifi,strong,4300,65605,84761,0.774,steady,1
50M,wifi,strong,4300,21303,70540,0.302,steady,1
50M,wifi,strong,4300,11462,58480,0.1959999999999999,steady,1
50M,wifi,strong,4300,18991,68558,0.277,steady,1
50M,wifi,strong,4300,14431,59881,0.241,steady,1
50M,wifi,strong,4300,15389,64931,0.237,steady,1
50M,wifi,strong,4300,18350,67963,0.27,steady,1
50M,wifi,strong,4300,14129,62797,0.2249999999999999,steady,1
50M,wifi,strong,4300,10654,56075,0.19,steady,1
50M,wifi,strong,4300,9796,55036,0.178,steady,1
