downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,medium,300,15,152,0.096,steady,1
50M,wifi,medium,300,1235,1816,0.68,buffering,2
50M,wifi,medium,300,1401,1652,0.848,buffering,3
50M,wifi,medium,300,1447,2122,0.682,buffering,4
50M,wifi,medium,300,1758,1369,1.284,buffering,5
50M,wifi,medium,1200,1329,1183,1.123,steady,1
50M,wifi,medium,1200,4000,1502,2.6620000000000004,steady,1
50M,wifi,medium,750,4278,1818,2.353,steady,1
50M,wifi,medium,750,3370,1025,3.289,steady,1
50M,wifi,medium,750,2879,1912,1.506,steady,1
50M,wifi,medium,1200,3481,1659,2.098,steady,1
50M,wifi,medium,1200,3998,1183,3.38,steady,1
50M,wifi,medium,750,2675,1673,1.599,steady,1
50M,wifi,medium,750,3418,1898,1.801,steady,1
50M,wifi,medium,750,2625,1957,1.341,steady,1
50M,wifi,medium,2850,4064,1243,3.27,steady,1
50M,wifi,medium,1200,2784,1531,1.818,steady,1
50M,wifi,medium,1200,4278,1766,2.423,steady,1
50M,wifi,medium,1200,3282,1791,1.832,steady,1
50M,wifi,medium,750,3546,1586,2.236,steady,1
50M,wifi,medium,300,2487,809,3.075,steady,1
50M,wifi,medium,1200,3670,1724,2.129,steady,1
50M,wifi,medium,1850,2643,1968,1.343,steady,1
50M,wifi,medium,1200,3584,2060,1.74,steady,1
50M,wifi,medium,1850,3052,1586,1.924,steady,1
50M,wifi,medium,1200,3122,1359,2.297,steady,1
50M,wifi,medium,1200,4106,4202,0.977,steady,1
50M,wifi,medium,1200,4935,2404,2.053,steady,1
50M,wifi,medium,1200,4721,3128,1.509,steady,1
50M,wifi,medium,1200,5494,3125,1.758,steady,1
50M,wifi,medium,750,5552,10243,0.542,steady,1
50M,wifi,medium,1850,8714,20996,0.415,steady,1
50M,wifi,medium,2850,10617,1552,6.842,steady,1
50M,wifi,medium,1850,6036,1301,4.641,buffering,2
50M,wifi,medium,1200,4993,1399,3.569,buffering,3
50M,wifi,medium,750,3140,1557,2.016,buffering,4
50M,wifi,medium,750,3392,1356,2.502,buffering,5
50M,wifi,medium,1200,3671,1731,2.121,buffering,6
50M,wifi,medium,750,2925,3135,0.933,steady,1
50M,wifi,medium,750,3415,2674,1.277,steady,1
50M,wifi,medium,1850,3782,2044,1.85,steady,1
50M,wifi,medium,750,3945,12176,0.324,steady,1
50M,wifi,medium,1850,6371,1650,3.861,steady,1
50M,wifi,medium,1850,6320,1499,4.217,buffering,2
50M,wifi,medium,1850,5609,3647,1.538,buffering,3
50M,wifi,medium,1200,6512,5958,1.093,steady,1
50M,wifi,medium,1200,7425,2056,3.612,steady,1
50M,wifi,medium,750,4576,4261,1.074,steady,1
50M,wifi,medium,2850,6900,2207,3.126,steady,1
50M,wifi,medium,1200,7353,2118,3.471,steady,1
50M,wifi,medium,1850,6525,4287,1.522,steady,1
50M,wifi,medium,1850,5748,2848,2.018,steady,1
50M,wifi,medium,1850,6176,1974,3.128,steady,1
50M,wifi,medium,750,4846,6012,0.806,steady,1
50M,wifi,medium,1200,6826,5316,1.284,steady,1
50M,wifi,medium,2850,9809,2291,4.282,steady,1
50M,wifi,medium,2850,8347,9762,0.855,buffering,2
50M,wifi,medium,1850,8674,2339,3.708,steady,1
50M,wifi,medium,2850,8595,6865,1.252,buffering,2
50M,wifi,medium,2850,9810,1617,6.067,steady,1
50M,wifi,medium,1850,5378,2505,2.147,buffering,2
50M,wifi,medium,1200,7896,2196,3.596,buffering,3
50M,wifi,medium,750,5573,1336,4.170999999999999,buffering,4
50M,wifi,medium,1200,4571,4209,1.086,buffering,5
50M,wifi,medium,1200,4568,2882,1.585,steady,1
50M,wifi,medium,1200,4777,4187,1.141,steady,1
50M,wifi,medium,1850,7156,3100,2.308,steady,1
50M,wifi,medium,1850,6023,2441,2.468,steady,1
50M,wifi,medium,1200,6226,3889,1.601,steady,1
50M,wifi,medium,1850,9259,6734,1.375,steady,1
50M,wifi,medium,1850,8241,2619,3.147,steady,1
50M,wifi,medium,1850,7712,21910,0.352,steady,1
50M,wifi,medium,4300,11253,2680,4.199,steady,1
50M,wifi,medium,4300,9187,3666,2.506,buffering,2
50M,wifi,medium,1850,9191,5755,1.597,steady,1
50M,wifi,medium,4300,10616,3939,2.695,steady,1
50M,wifi,medium,1200,10067,2911,3.458,steady,1
50M,wifi,medium,1850,8763,7056,1.242,buffering,2
50M,wifi,medium,4300,11462,5513,2.079,steady,1
50M,wifi,medium,1850,10003,2387,4.191,steady,1
50M,wifi,medium,1850,7452,11073,0.673,buffering,2
50M,wifi,medium,2850,11522,5471,2.106,steady,1
50M,wifi,medium,2850,13079,3693,3.542,steady,1
50M,wifi,medium,2850,10163,20366,0.499,buffering,2
50M,wifi,medium,4300,10654,14880,0.7160000000000001,steady,1
50M,wifi,medium,4300,9796,6597,1.485,steady,1
