downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,medium,300,15,62,0.236,steady,1
50M,wifi,medium,300,1235,754,1.637,buffering,2
50M,wifi,medium,300,1401,2387,0.5870000000000001,buffering,3
50M,wifi,medium,300,1447,3691,0.392,buffering,4
50M,wifi,medium,300,1758,7235,0.243,buffering,5
50M,wifi,medium,300,450,3949,0.1139999999999999,steady,1
50M,wifi,medium,1200,4000,1230,3.251,steady,1
50M,wifi,medium,2850,18993,3483,5.453,steady,1
50M,wifi,medium,4300,20305,10554,1.924,buffering,2
50M,wifi,medium,4300,13260,6721,1.973,steady,1
50M,wifi,medium,4300,8446,9042,0.934,steady,1
50M,wifi,medium,4300,8753,2200,3.979,steady,1
50M,wifi,medium,4300,14400,4267,3.375,buffering,2
50M,wifi,medium,4300,18606,2207,8.431000000000001,steady,1
50M,wifi,medium,4300,17713,3783,4.682,buffering,2
50M,wifi,medium,4300,6568,2195,2.992,buffering,3
50M,wifi,medium,4300,14294,4172,3.426,buffering,4
50M,wifi,medium,2850,11077,4814,2.301,buffering,5
50M,wifi,medium,2850,8537,4724,1.807,buffering,6
50M,wifi,medium,4300,21031,4362,4.821000000000001,buffering,7
50M,wifi,medium,4300,33953,7495,4.53,buffering,8
50M,wifi,medium,4300,11485,2908,3.949,buffering,9
50M,wifi,medium,4300,6012,5567,1.0799999999999998,buffering,10
50M,wifi,medium,4300,12262,2901,4.226,steady,1
50M,wifi,medium,4300,7742,3020,2.564,buffering,2
50M,wifi,medium,4300,13703,3459,3.962,steady,1
50M,wifi,medium,4300,16720,2065,8.094999999999999,buffering,2
50M,wifi,medium,2850,11902,9763,1.219,buffering,3
50M,wifi,medium,2850,11308,2793,4.048,buffering,4
50M,wifi,medium,2850,13649,5089,2.682,buffering,5
50M,wifi,medium,2850,21756,4512,4.822,buffering,6
50M,wifi,medium,4300,19760,3958,4.993,buffering,7
50M,wifi,medium,4300,15726,4959,3.1710000000000003,buffering,8
50M,wifi,medium,4300,13769,4088,3.368,buffering,9
50M,wifi,medium,4300,16508,4425,3.731,buffering,10
50M,wifi,medium,4300,17427,4924,3.539,buffering,11
50M,wifi,medium,4300,18493,3588,5.154000000000001,buffering,12
50M,wifi,medium,4300,15428,2676,5.766,buffering,13
50M,wifi,medium,4300,17579,1799,9.77,buffering,14
50M,wifi,medium,2850,12006,4910,2.4450000000000003,buffering,15
50M,wifi,medium,2850,6148,3408,1.804,buffering,16
50M,wifi,medium,2850,14267,1805,7.902,buffering,17
50M,wifi,medium,2850,9962,1682,5.923,buffering,18
50M,wifi,medium,1850,6320,1786,3.538,buffering,19
50M,wifi,medium,1850,5609,1406,3.988,buffering,20
50M,wifi,medium,1200,6512,1455,4.475,buffering,21
50M,wifi,medium,750,4765,1506,3.164,buffering,22
50M,wifi,medium,750,4576,2040,2.2430000000000003,buffering,23
50M,wifi,medium,1850,4357,1915,2.275,buffering,24
50M,wifi,medium,1850,11354,2116,5.366,buffering,25
50M,wifi,medium,1850,6525,818,7.979,buffering,26
50M,wifi,medium,1850,5748,1420,4.047,buffering,27
50M,wifi,medium,1200,4039,1848,2.185,buffering,28
50M,wifi,medium,1200,7437,1636,4.545,buffering,29
50M,wifi,medium,1200,6826,1875,3.64,buffering,30
50M,wifi,medium,1200,4231,7694,0.55,buffering,31
50M,wifi,medium,2850,8347,2523,3.3080000000000003,buffering,32
50M,wifi,medium,2850,14857,3050,4.871,buffering,33
50M,wifi,medium,2850,8595,3490,2.463,buffering,34
50M,wifi,medium,2850,9810,2916,3.364,buffering,35
50M,wifi,medium,2850,7913,3670,2.156,buffering,36
50M,wifi,medium,2850,19453,5090,3.822,steady,1
50M,wifi,medium,4300,24721,4543,5.442,buffering,2
50M,wifi,medium,4300,15068,1370,11.001,buffering,3
50M,wifi,medium,2850,10743,1818,5.91,buffering,4
50M,wifi,medium,1850,7688,6380,1.205,buffering,5
50M,wifi,medium,1850,7156,2221,3.222,buffering,6
50M,wifi,medium,1850,6023,6060,0.994,buffering,7
50M,wifi,medium,2850,15541,4652,3.341,buffering,8
50M,wifi,medium,4300,22317,6535,3.415,buffering,9
50M,wifi,medium,4300,17718,4146,4.274,buffering,10
50M,wifi,medium,4300,20396,3694,5.522,buffering,11
50M,wifi,medium,4300,11253,2094,5.3740000000000006,buffering,12
50M,wifi,medium,4300,9187,2364,3.887,buffering,13
50M,wifi,medium,4300,19401,3530,5.496,buffering,14
50M,wifi,medium,4300,10616,2703,3.927,buffering,15
50M,wifi,medium,1200,10067,3435,2.931,buffering,16
50M,wifi,medium,1200,5690,1851,3.0740000000000003,buffering,17
50M,wifi,medium,1850,5669,3201,1.771,buffering,18
50M,wifi,medium,2850,14545,1615,9.006,buffering,19
50M,wifi,medium,2850,10786,1809,5.964,buffering,20
50M,wifi,medium,1850,7952,2701,2.944,buffering,21
50M,wifi,medium,1850,8796,2424,3.628,buffering,22
50M,wifi,medium,2850,10163,1708,5.949,buffering,23
