downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,wifi,medium,300,15,55,0.263,steady,1
5M,wifi,medium,300,1235,5233,0.236,buffering,2
5M,wifi,medium,300,1401,686,2.043,buffering,3
5M,wifi,medium,1850,8431,2697,3.126,buffering,4
5M,wifi,medium,1850,8140,3019,2.696,buffering,5
5M,wifi,medium,1850,2392,2181,1.097,buffering,6
5M,wifi,medium,1850,7039,7302,0.964,buffering,7
5M,wifi,medium,1850,11739,2588,4.535,steady,1
5M,wifi,medium,1850,8892,5932,1.499,buffering,2
5M,wifi,medium,1850,6755,3986,1.695,steady,1
5M,wifi,medium,1850,4905,2759,1.778,steady,1
5M,wifi,medium,4300,8753,5890,1.486,steady,1
5M,wifi,medium,1850,6748,3823,1.765,steady,1
5M,wifi,medium,4300,18606,3740,4.975,steady,1
5M,wifi,medium,1850,8246,10879,0.758,buffering,2
5M,wifi,medium,1850,2450,1889,1.297,steady,1
5M,wifi,medium,4300,14294,3588,3.984,steady,1
5M,wifi,medium,1850,6786,10360,0.655,buffering,2
5M,wifi,medium,1850,5229,2326,2.248,steady,1
5M,wifi,medium,4300,21031,4469,4.706,steady,1
5M,wifi,medium,1850,15378,5342,2.879,buffering,2
5M,wifi,medium,1850,5368,4114,1.305,steady,1
5M,wifi,medium,4300,6012,2420,2.484,steady,1
5M,wifi,medium,4300,12262,6642,1.846,steady,1
5M,wifi,medium,1850,3052,2296,1.329,steady,1
5M,wifi,medium,4300,13703,3489,3.928,steady,1
5M,wifi,medium,1850,6397,15640,0.409,buffering,2
5M,wifi,medium,1850,7732,5070,1.525,steady,1
5M,wifi,medium,4300,16972,4184,4.056,steady,1
5M,wifi,medium,1850,8676,13948,0.622,buffering,2
5M,wifi,medium,1850,13950,3887,3.5890000000000004,steady,1
5M,wifi,medium,1850,8714,8370,1.041,buffering,2
5M,wifi,medium,1850,6820,4463,1.528,steady,1
5M,wifi,medium,4300,13769,4080,3.375,steady,1
5M,wifi,medium,4300,16508,3886,4.248,steady,1
5M,wifi,medium,4300,17427,3152,5.5280000000000005,buffering,2
5M,wifi,medium,1850,8222,5342,1.539,buffering,3
5M,wifi,medium,1850,6041,3537,1.708,steady,1
5M,wifi,medium,4300,17579,3040,5.783,steady,1
5M,wifi,medium,1850,7805,2825,2.7630000000000003,buffering,2
5M,wifi,medium,1850,3782,4518,0.837,buffering,3
5M,wifi,medium,4300,21508,4340,4.956,steady,1
5M,wifi,medium,1850,6371,3446,1.849,buffering,2
5M,wifi,medium,1850,6320,3344,1.89,steady,1
5M,wifi,medium,1850,5609,15242,0.368,steady,1
5M,wifi,medium,1850,10010,4936,2.028,steady,1
5M,wifi,medium,1850,11163,1354,8.245999999999999,steady,1
5M,wifi,medium,1850,10735,1052,10.204,buffering,2
5M,wifi,medium,1850,4357,2482,1.755,buffering,3
5M,wifi,medium,1850,11354,1148,9.894,buffering,4
5M,wifi,medium,1850,6525,1392,4.686999999999999,buffering,5
5M,wifi,medium,1850,5748,1814,3.169,buffering,6
5M,wifi,medium,1850,6176,1169,5.281,buffering,7
5M,wifi,medium,1850,10963,1273,8.615,buffering,8
5M,wifi,medium,1850,10067,1170,8.601,buffering,9
5M,wifi,medium,1850,6436,1067,6.031,buffering,10
5M,wifi,medium,1850,4896,1756,2.789,buffering,11
5M,wifi,medium,1850,8674,1309,6.627,buffering,12
5M,wifi,medium,1850,5377,1256,4.281,buffering,13
5M,wifi,medium,1850,6312,1216,5.192,buffering,14
5M,wifi,medium,1850,5378,1369,3.927,buffering,15
5M,wifi,medium,1850,12662,1289,9.824,buffering,16
5M,wifi,medium,1850,11348,1161,9.773,buffering,17
5M,wifi,medium,1850,6681,1086,6.15,buffering,18
5M,wifi,medium,1850,7022,1162,6.041,buffering,19
5M,wifi,medium,1850,7688,1225,6.278,buffering,20
5M,wifi,medium,1850,7156,1054,6.791,buffering,21
5M,wifi,medium,1850,6023,1086,5.545,buffering,22
5M,wifi,medium,1850,9868,1069,9.235,buffering,23
5M,wifi,medium,1850,9259,1334,6.94,buffering,24
5M,wifi,medium,1850,8241,1358,6.066999999999999,buffering,25
5M,wifi,medium,1850,7712,4355,1.771,buffering,26
5M,wifi,medium,1850,4217,1103,3.824,buffering,27
5M,wifi,medium,1850,3512,1613,2.178,buffering,28
5M,wifi,medium,1850,9191,1339,6.862,buffering,29
5M,wifi,medium,1850,5097,1105,4.614,buffering,30
5M,wifi,medium,1850,19756,1403,14.08,buffering,31
5M,wifi,medium,1850,8763,1113,7.872,buffering,32
5M,wifi,medium,1850,5669,1223,4.6370000000000005,buffering,33
5M,wifi,medium,1850,10003,1208,8.283999999999999,buffering,34
5M,wifi,medium,1850,7452,1119,6.6610000000000005,buffering,35
5M,wifi,medium,1850,7952,1331,5.976,buffering,36
5M,wifi,medium,1850,8796,1282,6.863,buffering,37
5M,wifi,medium,1850,7095,1088,6.522,buffering,38
