downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,wifi,medium,300,16,284,0.056,steady,1
5M,wifi,medium,300,1295,6254,0.207,buffering,2
5M,wifi,medium,300,1133,7217,0.157,buffering,3
5M,wifi,medium,750,2706,10366,0.261,steady,1
5M,wifi,medium,750,3601,16004,0.2249999999999999,buffering,2
5M,wifi,medium,1850,6919,8366,0.8270000000000001,steady,1
5M,wifi,medium,4300,14276,8683,1.644,steady,1
5M,wifi,medium,4300,19534,7192,2.716,steady,1
5M,wifi,medium,4300,33450,6014,5.562,steady,1
5M,wifi,medium,4300,21383,6521,3.279,buffering,2
5M,wifi,medium,4300,25144,5686,4.422000000000001,buffering,3
5M,wifi,medium,4300,20232,5740,3.525,buffering,4
5M,wifi,medium,4300,16336,5779,2.827,buffering,5
5M,wifi,medium,4300,10804,5558,1.944,buffering,6
5M,wifi,medium,4300,8772,5281,1.661,steady,1
5M,wifi,medium,4300,16211,8057,2.012,steady,1
5M,wifi,medium,4300,16041,6929,2.315,steady,1
5M,wifi,medium,4300,11312,9341,1.211,steady,1
5M,wifi,medium,4300,11374,8218,1.384,steady,1
5M,wifi,medium,4300,8777,10112,0.868,steady,1
5M,wifi,medium,4300,11770,10017,1.1749999999999998,steady,1
5M,wifi,medium,4300,20852,7439,2.803,steady,1
5M,wifi,medium,4300,21456,7142,3.004,steady,1
5M,wifi,medium,4300,16022,7940,2.018,steady,1
5M,wifi,medium,4300,17265,7239,2.385,steady,1
5M,wifi,medium,4300,38105,6492,5.87,steady,1
5M,wifi,medium,4300,24234,5583,4.341,buffering,2
5M,wifi,medium,4300,13749,5686,2.418,buffering,3
5M,wifi,medium,4300,26128,5773,4.526,buffering,4
5M,wifi,medium,4300,40873,5654,7.229,buffering,5
5M,wifi,medium,4300,45910,5648,8.128,buffering,6
5M,wifi,medium,4300,20032,5603,3.575,buffering,7
5M,wifi,medium,4300,21574,5745,3.755,buffering,8
5M,wifi,medium,4300,26547,5597,4.743,buffering,9
5M,wifi,medium,4300,21315,5426,3.928,buffering,10
5M,wifi,medium,4300,7084,6325,1.12,buffering,11
5M,wifi,medium,4300,10485,6504,1.612,buffering,12
5M,wifi,medium,4300,11984,5408,2.216,buffering,13
5M,wifi,medium,4300,6890,5690,1.211,buffering,14
5M,wifi,medium,4300,2807,5683,0.494,steady,1
5M,wifi,medium,4300,3667,6742,0.544,steady,1
5M,wifi,medium,4300,3127,7139,0.438,steady,1
5M,wifi,medium,4300,4058,7132,0.5690000000000001,steady,1
5M,wifi,medium,4300,6058,7837,0.773,steady,1
5M,wifi,medium,4300,4997,8781,0.5690000000000001,steady,1
5M,wifi,medium,4300,15181,8062,1.883,steady,1
5M,wifi,medium,4300,18807,7733,2.432,steady,1
5M,wifi,medium,4300,8581,7011,1.224,steady,1
5M,wifi,medium,4300,7318,6522,1.122,steady,1
5M,wifi,medium,4300,6354,8115,0.7829999999999999,steady,1
5M,wifi,medium,4300,9185,9023,1.018,steady,1
5M,wifi,medium,4300,11808,9775,1.208,steady,1
5M,wifi,medium,4300,12796,8807,1.453,steady,1
5M,wifi,medium,4300,15220,8493,1.792,steady,1
5M,wifi,medium,4300,10239,4982,2.055,steady,1
5M,wifi,medium,4300,10236,6673,1.534,steady,1
5M,wifi,medium,4300,11984,9602,1.248,steady,1
5M,wifi,medium,4300,11856,9791,1.211,steady,1
5M,wifi,medium,4300,17144,7893,2.172,steady,1
5M,wifi,medium,4300,17120,6659,2.571,steady,1
5M,wifi,medium,4300,16822,8582,1.96,steady,1
5M,wifi,medium,4300,13561,5998,2.261,steady,1
5M,wifi,medium,4300,15398,8341,1.846,steady,1
5M,wifi,medium,4300,17495,6786,2.578,steady,1
5M,wifi,medium,4300,19004,8032,2.366,steady,1
5M,wifi,medium,4300,13441,6518,2.062,steady,1
5M,wifi,medium,4300,10963,8771,1.25,steady,1
5M,wifi,medium,4300,15333,9116,1.682,steady,1
5M,wifi,medium,4300,17315,6310,2.744,steady,1
5M,wifi,medium,4300,17023,7944,2.143,steady,1
5M,wifi,medium,4300,16475,6681,2.466,steady,1
5M,wifi,medium,4300,27163,6868,3.955,steady,1
5M,wifi,medium,4300,24546,5195,4.725,buffering,2
5M,wifi,medium,4300,13085,6748,1.939,buffering,3
5M,wifi,medium,4300,14473,7130,2.03,steady,1
5M,wifi,medium,4300,25109,7025,3.574,steady,1
5M,wifi,medium,4300,19889,6668,2.983,steady,1
5M,wifi,medium,4300,26620,6994,3.806,steady,1
5M,wifi,medium,4300,47122,5146,9.157,buffering,2
5M,wifi,medium,2850,30154,5803,5.196,buffering,3
5M,wifi,medium,4300,33635,6210,5.416,buffering,4
5M,wifi,medium,4300,6088,5485,1.11,buffering,5
5M,wifi,medium,4300,17329,6023,2.877,buffering,6
5M,wifi,medium,4300,20140,5657,3.56,buffering,7
5M,wifi,medium,4300,17863,5539,3.225,buffering,8
5M,wifi,medium,4300,12208,5847,2.088,buffering,9
