downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,wifi,medium,300,15,275,0.053,steady,1
5M,wifi,medium,300,1235,5489,0.225,buffering,2
5M,wifi,medium,300,1401,3305,0.424,buffering,3
5M,wifi,medium,1200,5440,6725,0.809,buffering,4
5M,wifi,medium,4300,12185,9093,1.34,buffering,5
5M,wifi,medium,4300,5760,6069,0.949,steady,1
5M,wifi,medium,4300,20137,8013,2.5130000000000003,steady,1
5M,wifi,medium,4300,29101,6896,4.22,steady,1
5M,wifi,medium,4300,20305,5647,3.596,buffering,2
5M,wifi,medium,4300,13260,5643,2.35,buffering,3
5M,wifi,medium,4300,8446,6703,1.26,steady,1
5M,wifi,medium,4300,8753,8941,0.979,steady,1
5M,wifi,medium,4300,14400,10141,1.42,steady,1
5M,wifi,medium,4300,18606,7897,2.356,steady,1
5M,wifi,medium,4300,17713,7943,2.23,steady,1
5M,wifi,medium,4300,6568,6121,1.073,steady,1
5M,wifi,medium,4300,14294,8131,1.758,steady,1
5M,wifi,medium,4300,17813,7526,2.367,steady,1
5M,wifi,medium,4300,14222,7985,1.781,steady,1
5M,wifi,medium,4300,21031,7379,2.85,steady,1
5M,wifi,medium,4300,33953,6504,5.220000000000001,steady,1
5M,wifi,medium,4300,11485,5672,2.025,buffering,2
5M,wifi,medium,4300,6012,7081,0.849,steady,1
5M,wifi,medium,4300,12262,9794,1.252,steady,1
5M,wifi,medium,4300,7742,10519,0.736,steady,1
5M,wifi,medium,4300,13703,9650,1.42,steady,1
5M,wifi,medium,4300,16720,7559,2.212,steady,1
5M,wifi,medium,4300,17646,7920,2.228,steady,1
5M,wifi,medium,4300,16972,8195,2.071,steady,1
5M,wifi,medium,4300,20467,7245,2.825,steady,1
5M,wifi,medium,4300,34773,6560,5.300999999999999,steady,1
5M,wifi,medium,4300,19760,5713,3.459,buffering,2
5M,wifi,medium,4300,15726,5481,2.869,buffering,3
5M,wifi,medium,4300,13769,7666,1.796,steady,1
5M,wifi,medium,4300,16508,7791,2.119,steady,1
5M,wifi,medium,4300,17427,7038,2.476,steady,1
5M,wifi,medium,4300,18493,8079,2.289,steady,1
5M,wifi,medium,4300,15428,6940,2.2230000000000003,steady,1
5M,wifi,medium,4300,17579,7844,2.241,steady,1
5M,wifi,medium,4300,17824,7696,2.316,steady,1
5M,wifi,medium,4300,9649,9359,1.031,steady,1
5M,wifi,medium,4300,21508,7560,2.845,steady,1
5M,wifi,medium,4300,15301,8293,1.845,steady,1
5M,wifi,medium,4300,14588,8668,1.6829999999999998,steady,1
5M,wifi,medium,4300,14330,7594,1.887,steady,1
5M,wifi,medium,4300,22966,6981,3.29,steady,1
5M,wifi,medium,4300,23917,6522,3.667,steady,1
5M,wifi,medium,4300,24089,6443,3.739,steady,1
5M,wifi,medium,4300,10543,5943,1.774,buffering,2
5M,wifi,medium,4300,26645,7021,3.795,steady,1
5M,wifi,medium,4300,14929,6210,2.404,steady,1
5M,wifi,medium,4300,12626,9346,1.351,steady,1
5M,wifi,medium,4300,13513,9249,1.461,steady,1
5M,wifi,medium,4300,23227,7120,3.262,steady,1
5M,wifi,medium,4300,20750,7197,2.883,steady,1
5M,wifi,medium,4300,14577,7336,1.987,steady,1
5M,wifi,medium,4300,13987,9502,1.472,steady,1
5M,wifi,medium,4300,26133,6963,3.753,steady,1
5M,wifi,medium,4300,13335,5758,2.316,buffering,2
5M,wifi,medium,4300,14796,7083,2.089,steady,1
5M,wifi,medium,4300,11435,9707,1.178,steady,1
5M,wifi,medium,4300,29296,6867,4.266,steady,1
5M,wifi,medium,4300,24721,5639,4.384,buffering,2
5M,wifi,medium,4300,15068,5721,2.634,buffering,3
5M,wifi,medium,4300,15640,7112,2.1990000000000003,steady,1
5M,wifi,medium,4300,19531,7165,2.726,steady,1
5M,wifi,medium,4300,16972,8021,2.116,steady,1
5M,wifi,medium,4300,13792,7443,1.853,steady,1
5M,wifi,medium,4300,24041,2679,8.974,steady,1
5M,wifi,medium,750,3474,6838,0.508,buffering,2
5M,wifi,medium,4300,17718,7241,2.447,buffering,3
5M,wifi,medium,4300,20396,5739,3.554,buffering,4
5M,wifi,medium,4300,11253,7472,1.506,steady,1
5M,wifi,medium,4300,9187,9826,0.935,steady,1
5M,wifi,medium,4300,19401,7855,2.47,steady,1
5M,wifi,medium,4300,10616,6989,1.519,steady,1
5M,wifi,medium,4300,65605,6192,10.595,steady,1
5M,wifi,medium,300,1298,7052,0.184,buffering,2
5M,wifi,medium,1850,5669,4908,1.155,buffering,3
5M,wifi,medium,4300,18991,5629,3.374,buffering,4
5M,wifi,medium,4300,14431,7540,1.914,steady,1
5M,wifi,medium,4300,15389,8573,1.795,steady,1
5M,wifi,medium,4300,18350,7896,2.324,steady,1
5M,wifi,medium,4300,14129,6080,2.324,steady,1
5M,wifi,medium,4300,10654,9874,1.079,steady,1
5M,wifi,medium,4300,9796,9895,0.99,steady,1
