downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,medium,300,16,120,0.132,steady,1
50M,wifi,medium,300,1295,1131,1.145,steady,1
50M,wifi,medium,300,1133,624,1.817,buffering,2
50M,wifi,medium,1850,5973,2419,2.469,buffering,3
50M,wifi,medium,1850,7404,11479,0.645,buffering,4
50M,wifi,medium,1850,6919,11035,0.627,buffering,5
50M,wifi,medium,1850,6260,13015,0.481,steady,1
50M,wifi,medium,4300,19534,21396,0.913,steady,1
50M,wifi,medium,4300,33450,20030,1.67,steady,1
50M,wifi,medium,4300,21383,22159,0.965,steady,1
50M,wifi,medium,4300,25144,22713,1.107,steady,1
50M,wifi,medium,4300,20232,21455,0.943,steady,1
50M,wifi,medium,4300,16336,22106,0.739,steady,1
50M,wifi,medium,4300,10804,23745,0.4549999999999999,steady,1
50M,wifi,medium,4300,8772,31897,0.275,steady,1
50M,wifi,medium,4300,16211,25449,0.637,steady,1
50M,wifi,medium,4300,16041,21502,0.746,steady,1
50M,wifi,medium,4300,11312,26308,0.43,steady,1
50M,wifi,medium,4300,11374,24619,0.462,steady,1
50M,wifi,medium,4300,8777,19122,0.459,steady,1
50M,wifi,medium,4300,11770,13166,0.894,steady,1
50M,wifi,medium,4300,20852,17275,1.207,steady,1
50M,wifi,medium,4300,21456,24437,0.878,steady,1
50M,wifi,medium,4300,16022,17607,0.91,steady,1
50M,wifi,medium,4300,17265,24735,0.6980000000000001,steady,1
50M,wifi,medium,4300,38105,31544,1.208,steady,1
50M,wifi,medium,4300,24234,27665,0.876,steady,1
50M,wifi,medium,4300,13749,23828,0.5770000000000001,steady,1
50M,wifi,medium,4300,26128,22274,1.173,steady,1
50M,wifi,medium,4300,40873,26679,1.532,steady,1
50M,wifi,medium,4300,45910,23128,1.985,steady,1
50M,wifi,medium,4300,20032,14633,1.369,steady,1
50M,wifi,medium,4300,21574,34573,0.624,steady,1
50M,wifi,medium,4300,26547,25139,1.0559999999999998,steady,1
50M,wifi,medium,4300,21315,32198,0.662,steady,1
50M,wifi,medium,4300,7084,27781,0.255,steady,1
50M,wifi,medium,4300,10485,29043,0.361,steady,1
50M,wifi,medium,4300,11984,15769,0.76,steady,1
50M,wifi,medium,4300,6890,18723,0.368,steady,1
50M,wifi,medium,4300,2807,21267,0.132,steady,1
50M,wifi,medium,4300,3667,21199,0.173,steady,1
50M,wifi,medium,4300,3127,14820,0.211,steady,1
50M,wifi,medium,4300,4058,22420,0.181,steady,1
50M,wifi,medium,4300,6058,15493,0.391,steady,1
50M,wifi,medium,4300,4997,22306,0.2239999999999999,steady,1
50M,wifi,medium,4300,15181,32439,0.468,steady,1
50M,wifi,medium,4300,18807,31608,0.595,steady,1
50M,wifi,medium,4300,8581,23382,0.367,steady,1
50M,wifi,medium,4300,7318,22727,0.322,steady,1
50M,wifi,medium,4300,6354,22373,0.284,steady,1
50M,wifi,medium,4300,9185,25097,0.366,steady,1
50M,wifi,medium,4300,11808,30590,0.386,steady,1
50M,wifi,medium,4300,12796,25339,0.505,steady,1
50M,wifi,medium,4300,15220,29439,0.517,steady,1
50M,wifi,medium,4300,10239,20115,0.509,steady,1
50M,wifi,medium,4300,10236,27891,0.367,steady,1
50M,wifi,medium,4300,11984,29959,0.4,steady,1
50M,wifi,medium,4300,11856,29641,0.4,steady,1
50M,wifi,medium,4300,17144,19306,0.888,steady,1
50M,wifi,medium,4300,17120,13818,1.239,steady,1
50M,wifi,medium,4300,16822,22640,0.743,steady,1
50M,wifi,medium,4300,13561,28489,0.476,steady,1
50M,wifi,medium,4300,15398,32012,0.481,steady,1
50M,wifi,medium,4300,17495,27639,0.633,steady,1
50M,wifi,medium,4300,19004,13932,1.364,steady,1
50M,wifi,medium,4300,13441,5508,2.44,steady,1
50M,wifi,medium,4300,10963,16170,0.678,steady,1
50M,wifi,medium,4300,15333,27042,0.5670000000000001,steady,1
50M,wifi,medium,4300,17315,7914,2.188,steady,1
50M,wifi,medium,4300,17023,12896,1.3199999999999998,steady,1
50M,wifi,medium,4300,16475,29315,0.562,steady,1
50M,wifi,medium,4300,27163,9224,2.945,steady,1
50M,wifi,medium,4300,24546,11385,2.156,steady,1
50M,wifi,medium,4300,13085,22368,0.5850000000000001,steady,1
50M,wifi,medium,4300,14473,15596,0.928,steady,1
50M,wifi,medium,4300,25109,10024,2.505,steady,1
50M,wifi,medium,4300,19889,30458,0.653,steady,1
50M,wifi,medium,4300,26620,12474,2.134,steady,1
50M,wifi,medium,4300,47122,23386,2.015,steady,1
50M,wifi,medium,4300,44565,33084,1.347,steady,1
50M,wifi,medium,4300,33635,34322,0.98,steady,1
50M,wifi,medium,4300,6088,25263,0.241,steady,1
50M,wifi,medium,4300,17329,30780,0.5630000000000001,steady,1
50M,wifi,medium,4300,20140,32020,0.629,steady,1
50M,wifi,medium,4300,17863,24238,0.737,steady,1
50M,wifi,medium,4300,12208,31303,0.39,steady,1
