downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,4g,strong,300,16,151,0.105,steady,1
5M,4g,strong,300,1295,4998,0.259,buffering,2
5M,4g,strong,300,1133,5781,0.196,buffering,3
5M,4g,strong,1200,4123,5775,0.714,buffering,4
5M,4g,strong,4300,15271,6657,2.294,buffering,5
5M,4g,strong,4300,16599,7381,2.249,steady,1
5M,4g,strong,4300,14276,7754,1.841,steady,1
5M,4g,strong,4300,19534,7222,2.705,steady,1
5M,4g,strong,4300,33450,6250,5.352,steady,1
5M,4g,strong,4300,21383,5776,3.702,buffering,2
5M,4g,strong,4300,25144,5427,4.633,buffering,3
5M,4g,strong,2850,13440,5816,2.311,buffering,4
5M,4g,strong,4300,16336,5061,3.228,buffering,5
5M,4g,strong,4300,10804,8755,1.2340000000000002,steady,1
5M,4g,strong,4300,8772,5047,1.738,steady,1
5M,4g,strong,4300,16211,7668,2.114,steady,1
5M,4g,strong,4300,16041,7409,2.165,steady,1
5M,4g,strong,4300,11312,6327,1.788,steady,1
5M,4g,strong,4300,11374,5863,1.94,steady,1
5M,4g,strong,4300,8777,6614,1.3270000000000002,steady,1
5M,4g,strong,4300,11770,2900,4.059,steady,1
5M,4g,strong,4300,20852,6286,3.317,buffering,2
5M,4g,strong,4300,21456,7563,2.837,steady,1
5M,4g,strong,4300,16022,5450,2.94,steady,1
5M,4g,strong,4300,17265,5205,3.317,steady,1
5M,4g,strong,4300,38105,6416,5.939,steady,1
5M,4g,strong,2850,16195,4873,3.323,buffering,2
5M,4g,strong,4300,13749,6163,2.2310000000000003,buffering,3
5M,4g,strong,4300,26128,5486,4.763,buffering,4
5M,4g,strong,4300,40873,4872,8.389,buffering,5
5M,4g,strong,750,6896,5834,1.182,buffering,6
5M,4g,strong,2850,12973,3111,4.17,buffering,7
5M,4g,strong,2850,14041,4734,2.966,buffering,8
5M,4g,strong,4300,26547,3932,6.752,buffering,9
5M,4g,strong,1200,5630,4987,1.129,buffering,10
5M,4g,strong,4300,7084,5874,1.2060000000000002,buffering,11
5M,4g,strong,4300,10485,6420,1.633,steady,1
5M,4g,strong,4300,11984,6284,1.907,steady,1
5M,4g,strong,4300,6890,5208,1.3230000000000002,steady,1
5M,4g,strong,4300,2807,3674,0.764,steady,1
5M,4g,strong,4300,3667,4264,0.86,steady,1
5M,4g,strong,4300,3127,3968,0.7879999999999999,steady,1
5M,4g,strong,4300,4058,4949,0.82,steady,1
5M,4g,strong,4300,6058,5797,1.045,steady,1
5M,4g,strong,4300,4997,5844,0.855,steady,1
5M,4g,strong,4300,15181,7515,2.02,steady,1
5M,4g,strong,4300,18807,6240,3.014,steady,1
5M,4g,strong,4300,8581,2661,3.225,steady,1
5M,4g,strong,4300,7318,2404,3.044,steady,1
5M,4g,strong,4300,6354,2036,3.121,steady,1
5M,4g,strong,4300,9185,2735,3.359,steady,1
5M,4g,strong,4300,11808,3743,3.155,steady,1
5M,4g,strong,4300,12796,4052,3.158,steady,1
5M,4g,strong,4300,15220,5627,2.705,steady,1
5M,4g,strong,4300,10239,3484,2.939,steady,1
5M,4g,strong,4300,10236,4601,2.225,steady,1
5M,4g,strong,4300,11984,1910,6.274,steady,1
5M,4g,strong,2850,7872,1758,4.476999999999999,buffering,2
5M,4g,strong,1850,7922,3776,2.0980000000000003,buffering,3
5M,4g,strong,4300,17120,5438,3.148,buffering,4
5M,4g,strong,4300,16822,2740,6.14,buffering,5
5M,4g,strong,2850,8580,4591,1.869,buffering,6
5M,4g,strong,4300,15398,5646,2.7270000000000003,buffering,7
5M,4g,strong,4300,17495,5233,3.3430000000000004,steady,1
5M,4g,strong,4300,19004,6180,3.075,steady,1
5M,4g,strong,4300,13441,7130,1.885,steady,1
5M,4g,strong,4300,10963,7710,1.422,steady,1
5M,4g,strong,4300,15333,7855,1.952,steady,1
5M,4g,strong,4300,17315,6444,2.687,steady,1
5M,4g,strong,4300,17023,7052,2.414,steady,1
5M,4g,strong,4300,16475,5924,2.781,steady,1
5M,4g,strong,4300,27163,6749,4.025,steady,1
5M,4g,strong,4300,24546,5084,4.828,buffering,2
5M,4g,strong,4300,13085,6064,2.158,buffering,3
5M,4g,strong,4300,14473,7112,2.035,steady,1
5M,4g,strong,4300,25109,5084,4.939,steady,1
5M,4g,strong,4300,19889,6510,3.055,buffering,2
5M,4g,strong,4300,26620,4773,5.577,buffering,3
5M,4g,strong,2850,31001,4629,6.697,buffering,4
5M,4g,strong,1200,13007,5697,2.283,buffering,5
5M,4g,strong,1850,14985,6538,2.292,buffering,6
5M,4g,strong,4300,6088,7138,0.853,buffering,7
5M,4g,strong,4300,17329,6083,2.849,steady,1
5M,4g,strong,4300,20140,2244,8.975999999999999,steady,1
5M,4g,strong,750,2850,4474,0.637,buffering,2
5M,4g,strong,2850,8182,5836,1.402,buffering,3
