downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,4g,strong,300,16,159,0.1,steady,1
5M,4g,strong,300,1295,2579,0.502,buffering,2
5M,4g,strong,300,1133,1964,0.577,buffering,3
5M,4g,strong,300,1097,2093,0.524,buffering,4
5M,4g,strong,750,3601,3029,1.189,buffering,5
5M,4g,strong,750,2458,3472,0.708,steady,1
5M,4g,strong,1850,6260,4603,1.36,steady,1
5M,4g,strong,1850,8130,5402,1.505,steady,1
5M,4g,strong,1850,15121,7394,2.045,steady,1
5M,4g,strong,4300,21383,6728,3.178,steady,1
5M,4g,strong,4300,25144,5459,4.606,steady,1
5M,4g,strong,4300,20232,6986,2.896,buffering,2
5M,4g,strong,4300,16336,5945,2.748,steady,1
5M,4g,strong,4300,10804,6389,1.691,steady,1
5M,4g,strong,4300,8772,6117,1.4340000000000002,steady,1
5M,4g,strong,4300,16211,5163,3.14,steady,1
5M,4g,strong,4300,16041,7351,2.182,steady,1
5M,4g,strong,4300,11312,6535,1.731,steady,1
5M,4g,strong,4300,11374,7639,1.489,steady,1
5M,4g,strong,4300,8777,7369,1.191,steady,1
5M,4g,strong,4300,11770,5521,2.132,steady,1
5M,4g,strong,4300,20852,6596,3.161,steady,1
5M,4g,strong,4300,21456,6773,3.168,steady,1
5M,4g,strong,4300,16022,6251,2.563,steady,1
5M,4g,strong,4300,17265,6884,2.508,steady,1
5M,4g,strong,4300,38105,6329,6.021000000000001,steady,1
5M,4g,strong,4300,24234,5533,4.38,buffering,2
5M,4g,strong,4300,13749,4451,3.0890000000000004,buffering,3
5M,4g,strong,4300,26128,5937,4.401000000000001,buffering,4
5M,4g,strong,4300,40873,5906,6.920999999999999,buffering,5
5M,4g,strong,2850,30075,5656,5.317,buffering,6
5M,4g,strong,4300,20032,6290,3.185,buffering,7
5M,4g,strong,4300,21574,5577,3.868,buffering,8
5M,4g,strong,4300,26547,5721,4.64,buffering,9
5M,4g,strong,4300,21315,3851,5.535,buffering,10
5M,4g,strong,4300,7084,2564,2.763,buffering,11
5M,4g,strong,4300,10485,2963,3.539,buffering,12
5M,4g,strong,4300,11984,4058,2.9530000000000003,buffering,13
5M,4g,strong,4300,6890,4866,1.416,buffering,14
5M,4g,strong,4300,2807,5430,0.517,buffering,15
5M,4g,strong,4300,3667,1726,2.125,steady,1
5M,4g,strong,4300,3127,2486,1.258,steady,1
5M,4g,strong,4300,4058,3136,1.294,steady,1
5M,4g,strong,4300,6058,4521,1.34,steady,1
5M,4g,strong,4300,4997,4571,1.093,steady,1
5M,4g,strong,4300,15181,7710,1.969,steady,1
5M,4g,strong,4300,18807,5246,3.5850000000000004,steady,1
5M,4g,strong,4300,8581,6566,1.307,buffering,2
5M,4g,strong,4300,7318,5840,1.253,steady,1
5M,4g,strong,4300,6354,5569,1.141,steady,1
5M,4g,strong,4300,9185,6075,1.512,steady,1
5M,4g,strong,4300,11808,7037,1.6780000000000002,steady,1
5M,4g,strong,4300,12796,6917,1.85,steady,1
5M,4g,strong,4300,15220,7866,1.935,steady,1
5M,4g,strong,4300,10239,7534,1.359,steady,1
5M,4g,strong,4300,10236,7566,1.353,steady,1
5M,4g,strong,4300,11984,6161,1.945,steady,1
5M,4g,strong,4300,11856,6830,1.736,steady,1
5M,4g,strong,4300,17144,7073,2.424,steady,1
5M,4g,strong,4300,17120,6848,2.5,steady,1
5M,4g,strong,4300,16822,7244,2.322,steady,1
5M,4g,strong,4300,13561,4646,2.919,steady,1
5M,4g,strong,4300,15398,4830,3.188,steady,1
5M,4g,strong,4300,17495,8233,2.125,steady,1
5M,4g,strong,4300,19004,7412,2.564,steady,1
5M,4g,strong,4300,13441,4734,2.839,steady,1
5M,4g,strong,4300,10963,5713,1.919,steady,1
5M,4g,strong,4300,15333,6198,2.474,steady,1
5M,4g,strong,4300,17315,7528,2.3000000000000003,steady,1
5M,4g,strong,4300,17023,6629,2.568,steady,1
5M,4g,strong,4300,16475,7868,2.094,steady,1
5M,4g,strong,4300,27163,5749,4.725,steady,1
5M,4g,strong,4300,24546,5252,4.674,buffering,2
5M,4g,strong,4300,13085,7405,1.767,buffering,3
5M,4g,strong,4300,14473,7240,1.999,steady,1
5M,4g,strong,4300,25109,6331,3.966,steady,1
5M,4g,strong,4300,19889,6122,3.249,buffering,2
5M,4g,strong,4300,26620,6569,4.0520000000000005,steady,1
5M,4g,strong,4300,47122,5662,8.322000000000001,buffering,2
5M,4g,strong,2850,30154,5601,5.384,buffering,3
5M,4g,strong,4300,33635,5359,6.277,buffering,4
5M,4g,strong,4300,6088,6040,1.008,buffering,5
5M,4g,strong,4300,17329,5890,2.942,buffering,6
5M,4g,strong,4300,20140,5290,3.807,buffering,7
5M,4g,strong,4300,17863,4317,4.138,buffering,8
5M,4g,strong,4300,12208,5085,2.401,buffering,9
