downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,4g,strong,300,16,92,0.173,steady,1
5M,4g,strong,300,1295,1310,0.988,buffering,2
5M,4g,strong,300,1133,3265,0.347,buffering,3
5M,4g,strong,1850,5973,2046,2.919,buffering,4
5M,4g,strong,1850,7404,2282,3.245,buffering,5
5M,4g,strong,1850,6919,3468,1.995,buffering,6
5M,4g,strong,1850,6260,4864,1.287,buffering,7
5M,4g,strong,1850,8130,5482,1.483,steady,1
5M,4g,strong,1850,15121,5728,2.64,steady,1
5M,4g,strong,1850,8755,6307,1.388,steady,1
5M,4g,strong,1850,10436,7153,1.459,steady,1
5M,4g,strong,1850,8475,7546,1.123,steady,1
5M,4g,strong,1850,6619,2952,2.242,steady,1
5M,4g,strong,4300,10804,3593,3.007,steady,1
5M,4g,strong,4300,8772,3492,2.512,steady,1
5M,4g,strong,4300,16211,5462,2.968,steady,1
5M,4g,strong,1850,7266,6210,1.1700000000000002,steady,1
5M,4g,strong,4300,11312,7542,1.5,steady,1
5M,4g,strong,4300,11374,9308,1.2220000000000002,steady,1
5M,4g,strong,4300,8777,10717,0.819,steady,1
5M,4g,strong,4300,11770,8850,1.33,steady,1
5M,4g,strong,4300,20852,6834,3.051,steady,1
5M,4g,strong,4300,21456,4863,4.412,steady,1
5M,4g,strong,4300,16022,7313,2.1910000000000003,buffering,2
5M,4g,strong,4300,17265,7728,2.234,steady,1
5M,4g,strong,4300,38105,6100,6.247,steady,1
5M,4g,strong,1850,10571,5602,1.887,buffering,2
5M,4g,strong,1850,5361,2440,2.197,buffering,3
5M,4g,strong,4300,26128,3862,6.765000000000001,steady,1
5M,4g,strong,1850,18061,3414,5.291,buffering,2
5M,4g,strong,1850,18789,5952,3.157,buffering,3
5M,4g,strong,1850,8314,7545,1.102,buffering,4
5M,4g,strong,1850,8914,6758,1.319,buffering,5
5M,4g,strong,1850,10857,5364,2.024,steady,1
5M,4g,strong,1850,8813,2219,3.971,steady,1
5M,4g,strong,1850,2926,4081,0.717,buffering,2
5M,4g,strong,4300,10485,4854,2.16,steady,1
5M,4g,strong,4300,11984,3317,3.613,steady,1
5M,4g,strong,4300,6890,2783,2.476,buffering,2
5M,4g,strong,4300,2807,2909,0.965,steady,1
5M,4g,strong,4300,3667,3550,1.033,steady,1
5M,4g,strong,4300,3127,3904,0.8009999999999999,steady,1
5M,4g,strong,4300,4058,4322,0.939,steady,1
5M,4g,strong,4300,6058,5213,1.162,steady,1
5M,4g,strong,4300,4997,5723,0.873,steady,1
5M,4g,strong,4300,15181,6294,2.4120000000000004,steady,1
5M,4g,strong,4300,18807,7496,2.509,steady,1
5M,4g,strong,1850,3508,4825,0.727,steady,1
5M,4g,strong,4300,7318,8086,0.905,steady,1
5M,4g,strong,4300,6354,2572,2.47,steady,1
5M,4g,strong,4300,9185,8216,1.118,steady,1
5M,4g,strong,4300,11808,9319,1.267,steady,1
5M,4g,strong,4300,12796,9153,1.398,steady,1
5M,4g,strong,4300,15220,5203,2.925,steady,1
5M,4g,strong,4300,10239,2122,4.825,steady,1
5M,4g,strong,4300,10236,6462,1.584,buffering,2
5M,4g,strong,4300,11984,8825,1.358,steady,1
5M,4g,strong,4300,11856,7523,1.576,steady,1
5M,4g,strong,4300,17144,7406,2.315,steady,1
5M,4g,strong,4300,17120,6054,2.828,steady,1
5M,4g,strong,4300,16822,5503,3.057,steady,1
5M,4g,strong,4300,13561,3606,3.761,steady,1
5M,4g,strong,4300,15398,6445,2.389,buffering,2
5M,4g,strong,4300,17495,7793,2.245,steady,1
5M,4g,strong,4300,19004,4685,4.056,steady,1
5M,4g,strong,4300,13441,6406,2.098,buffering,2
5M,4g,strong,4300,10963,5832,1.88,steady,1
5M,4g,strong,4300,15333,4350,3.525,steady,1
5M,4g,strong,4300,17315,6860,2.524,steady,1
5M,4g,strong,4300,17023,6878,2.475,steady,1
5M,4g,strong,4300,16475,6346,2.596,steady,1
5M,4g,strong,4300,27163,5417,5.014,steady,1
5M,4g,strong,1850,10798,5563,1.941,buffering,2
5M,4g,strong,1850,6125,4637,1.321,steady,1
5M,4g,strong,4300,14473,4875,2.969,steady,1
5M,4g,strong,4300,25109,3339,7.52,steady,1
5M,4g,strong,1850,7771,2953,2.632,buffering,2
5M,4g,strong,1850,9824,3072,3.198,buffering,3
5M,4g,strong,1850,19538,4057,4.816,buffering,4
5M,4g,strong,1850,19878,4814,4.129,buffering,5
5M,4g,strong,1850,14985,7129,2.102,buffering,6
5M,4g,strong,1850,2726,7290,0.374,buffering,7
5M,4g,strong,4300,17329,3817,4.54,steady,1
5M,4g,strong,1850,8939,5647,1.5830000000000002,buffering,2
5M,4g,strong,1850,7298,5550,1.3150000000000002,steady,1
5M,4g,strong,1850,5323,4082,1.304,steady,1
