downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,medium,300,16,215,0.074,steady,1
50M,wifi,medium,300,1295,10440,0.124,buffering,2
50M,wifi,medium,300,1133,16187,0.07,buffering,3
50M,wifi,medium,300,1097,12184,0.09,buffering,4
50M,wifi,medium,300,1223,8048,0.152,buffering,5
50M,wifi,medium,750,2458,17070,0.144,steady,1
50M,wifi,medium,4300,14276,25001,0.5710000000000001,steady,1
50M,wifi,medium,4300,19534,24510,0.797,steady,1
50M,wifi,medium,4300,33450,26976,1.24,steady,1
50M,wifi,medium,4300,21383,22391,0.955,steady,1
50M,wifi,medium,4300,25144,19767,1.272,steady,1
50M,wifi,medium,4300,20232,24703,0.8190000000000001,steady,1
50M,wifi,medium,4300,16336,15354,1.064,steady,1
50M,wifi,medium,4300,10804,21394,0.505,steady,1
50M,wifi,medium,4300,8772,17474,0.502,steady,1
50M,wifi,medium,4300,16211,27019,0.6,steady,1
50M,wifi,medium,4300,16041,24754,0.648,steady,1
50M,wifi,medium,4300,11312,27795,0.407,steady,1
50M,wifi,medium,4300,11374,18169,0.626,steady,1
50M,wifi,medium,4300,8777,24864,0.353,steady,1
50M,wifi,medium,4300,11770,23541,0.5,steady,1
50M,wifi,medium,4300,20852,28880,0.722,steady,1
50M,wifi,medium,4300,21456,29553,0.726,steady,1
50M,wifi,medium,4300,16022,24058,0.666,steady,1
50M,wifi,medium,4300,17265,24180,0.714,steady,1
50M,wifi,medium,4300,38105,24938,1.528,steady,1
50M,wifi,medium,4300,24234,22841,1.061,steady,1
50M,wifi,medium,4300,13749,24121,0.5700000000000001,steady,1
50M,wifi,medium,4300,26128,23839,1.096,steady,1
50M,wifi,medium,4300,40873,24786,1.649,steady,1
50M,wifi,medium,4300,45910,29186,1.573,steady,1
50M,wifi,medium,4300,20032,20845,0.961,steady,1
50M,wifi,medium,4300,21574,26933,0.801,steady,1
50M,wifi,medium,4300,26547,25428,1.0439999999999998,steady,1
50M,wifi,medium,4300,21315,24585,0.867,steady,1
50M,wifi,medium,4300,7084,16591,0.427,steady,1
50M,wifi,medium,4300,10485,22073,0.475,steady,1
50M,wifi,medium,4300,11984,18962,0.632,steady,1
50M,wifi,medium,4300,6890,25709,0.268,steady,1
50M,wifi,medium,4300,2807,16322,0.172,steady,1
50M,wifi,medium,4300,3667,17547,0.209,steady,1
50M,wifi,medium,4300,3127,14612,0.214,steady,1
50M,wifi,medium,4300,4058,19795,0.205,steady,1
50M,wifi,medium,4300,6058,11583,0.523,steady,1
50M,wifi,medium,4300,4997,12650,0.3949999999999999,steady,1
50M,wifi,medium,4300,15181,17450,0.87,steady,1
50M,wifi,medium,4300,18807,23362,0.805,steady,1
50M,wifi,medium,4300,8581,19818,0.433,steady,1
50M,wifi,medium,4300,7318,17805,0.411,steady,1
50M,wifi,medium,4300,6354,18154,0.35,steady,1
50M,wifi,medium,4300,9185,24364,0.377,steady,1
50M,wifi,medium,4300,11808,23382,0.505,steady,1
50M,wifi,medium,4300,12796,20376,0.628,steady,1
50M,wifi,medium,4300,15220,22122,0.6880000000000001,steady,1
50M,wifi,medium,4300,10239,20981,0.488,steady,1
50M,wifi,medium,4300,10236,23370,0.438,steady,1
50M,wifi,medium,4300,11984,15503,0.773,steady,1
50M,wifi,medium,4300,11856,25173,0.471,steady,1
50M,wifi,medium,4300,17144,28765,0.596,steady,1
50M,wifi,medium,4300,17120,26339,0.65,steady,1
50M,wifi,medium,4300,16822,30753,0.547,steady,1
50M,wifi,medium,4300,13561,20270,0.669,steady,1
50M,wifi,medium,4300,15398,22251,0.692,steady,1
50M,wifi,medium,4300,17495,22034,0.794,steady,1
50M,wifi,medium,4300,19004,22021,0.863,steady,1
50M,wifi,medium,4300,13441,23498,0.5720000000000001,steady,1
50M,wifi,medium,4300,10963,25378,0.432,steady,1
50M,wifi,medium,4300,15333,23409,0.655,steady,1
50M,wifi,medium,4300,17315,28200,0.614,steady,1
50M,wifi,medium,4300,17023,24851,0.685,steady,1
50M,wifi,medium,4300,16475,22978,0.717,steady,1
50M,wifi,medium,4300,27163,12197,2.2270000000000003,steady,1
50M,wifi,medium,4300,24546,10181,2.411,steady,1
50M,wifi,medium,4300,13085,9906,1.321,steady,1
50M,wifi,medium,4300,14473,16391,0.883,steady,1
50M,wifi,medium,4300,25109,22319,1.125,steady,1
50M,wifi,medium,4300,19889,27208,0.731,steady,1
50M,wifi,medium,4300,26620,28716,0.927,steady,1
50M,wifi,medium,4300,47122,24030,1.961,steady,1
50M,wifi,medium,4300,44565,27107,1.644,steady,1
50M,wifi,medium,4300,33635,29071,1.157,steady,1
50M,wifi,medium,4300,6088,21980,0.277,steady,1
50M,wifi,medium,4300,17329,25115,0.6900000000000001,steady,1
50M,wifi,medium,4300,20140,24895,0.809,steady,1
50M,wifi,medium,4300,17863,25629,0.6970000000000001,steady,1
50M,wifi,medium,4300,12208,22566,0.541,steady,1
