downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,4g,strong,300,16,111,0.143,steady,1
5M,4g,strong,300,1295,3556,0.364,buffering,2
5M,4g,strong,300,1133,4884,0.232,buffering,3
5M,4g,strong,300,1097,4218,0.26,buffering,4
5M,4g,strong,300,1223,4011,0.305,buffering,5
5M,4g,strong,300,1165,2793,0.417,steady,1
5M,4g,strong,2850,9813,5519,1.778,steady,1
5M,4g,strong,1850,8130,3692,2.202,steady,1
5M,4g,strong,1200,10170,6149,1.654,steady,1
5M,4g,strong,1850,8755,7394,1.184,steady,1
5M,4g,strong,1850,10436,7725,1.351,steady,1
5M,4g,strong,2850,13440,6304,2.132,steady,1
5M,4g,strong,4300,16336,7026,2.325,steady,1
5M,4g,strong,4300,10804,6825,1.5830000000000002,steady,1
5M,4g,strong,4300,8772,6768,1.296,steady,1
5M,4g,strong,4300,16211,8408,1.928,steady,1
5M,4g,strong,4300,16041,5581,2.874,steady,1
5M,4g,strong,4300,11312,7317,1.546,steady,1
5M,4g,strong,4300,11374,7478,1.521,steady,1
5M,4g,strong,4300,8777,7802,1.125,steady,1
5M,4g,strong,4300,11770,8992,1.3090000000000002,steady,1
5M,4g,strong,4300,20852,6599,3.16,steady,1
5M,4g,strong,4300,21456,6982,3.0730000000000004,steady,1
5M,4g,strong,4300,16022,6743,2.376,steady,1
5M,4g,strong,4300,17265,4844,3.564,steady,1
5M,4g,strong,1850,17900,6462,2.77,buffering,2
5M,4g,strong,2850,16195,7511,2.156,steady,1
5M,4g,strong,4300,13749,8513,1.615,steady,1
5M,4g,strong,2850,18054,7327,2.4640000000000004,steady,1
5M,4g,strong,1850,18061,7300,2.474,steady,1
5M,4g,strong,1850,18789,6459,2.909,steady,1
5M,4g,strong,4300,20032,7079,2.83,steady,1
5M,4g,strong,4300,21574,6421,3.36,steady,1
5M,4g,strong,2850,17318,6913,2.5050000000000003,steady,1
5M,4g,strong,2850,14042,3844,3.653,steady,1
5M,4g,strong,4300,7084,5299,1.3370000000000002,steady,1
5M,4g,strong,4300,10485,4971,2.109,steady,1
5M,4g,strong,4300,11984,6752,1.775,steady,1
5M,4g,strong,4300,6890,6960,0.99,steady,1
5M,4g,strong,4300,2807,3608,0.778,steady,1
5M,4g,strong,4300,3667,3424,1.071,steady,1
5M,4g,strong,4300,3127,4660,0.671,steady,1
5M,4g,strong,4300,4058,5291,0.767,steady,1
5M,4g,strong,4300,6058,6444,0.94,steady,1
5M,4g,strong,4300,4997,4865,1.027,steady,1
5M,4g,strong,2850,10308,3521,2.928,steady,1
5M,4g,strong,2850,12741,5773,2.2070000000000003,steady,1
5M,4g,strong,4300,8581,6601,1.3,steady,1
5M,4g,strong,4300,7318,7998,0.915,steady,1
5M,4g,strong,4300,6354,8339,0.762,steady,1
5M,4g,strong,4300,9185,7674,1.197,steady,1
5M,4g,strong,4300,11808,8223,1.436,steady,1
5M,4g,strong,4300,12796,8862,1.444,steady,1
5M,4g,strong,4300,15220,7994,1.904,steady,1
5M,4g,strong,4300,10239,5831,1.756,steady,1
5M,4g,strong,4300,10236,6870,1.49,steady,1
5M,4g,strong,4300,11984,6284,1.907,steady,1
5M,4g,strong,4300,11856,6547,1.811,steady,1
5M,4g,strong,4300,17144,7623,2.249,steady,1
5M,4g,strong,4300,17120,3687,4.643,steady,1
5M,4g,strong,2850,11144,5460,2.041,buffering,2
5M,4g,strong,4300,13561,6780,2.0,steady,1
5M,4g,strong,4300,15398,7142,2.156,steady,1
5M,4g,strong,2850,11686,6977,1.675,steady,1
5M,4g,strong,2850,12207,7019,1.739,steady,1
5M,4g,strong,4300,13441,6734,1.996,steady,1
5M,4g,strong,4300,10963,8032,1.365,steady,1
5M,4g,strong,4300,15333,7670,1.999,steady,1
5M,4g,strong,4300,17315,5258,3.293,steady,1
5M,4g,strong,4300,17023,7350,2.316,steady,1
5M,4g,strong,4300,16475,7499,2.197,steady,1
5M,4g,strong,2850,18328,6055,3.027,steady,1
5M,4g,strong,2850,16568,8149,2.033,steady,1
5M,4g,strong,4300,13085,6504,2.012,steady,1
5M,4g,strong,4300,14473,7091,2.041,steady,1
5M,4g,strong,2850,16205,7724,2.098,steady,1
5M,4g,strong,4300,19889,7154,2.78,steady,1
5M,4g,strong,2850,16189,6005,2.696,steady,1
5M,4g,strong,1850,19538,6272,3.115,steady,1
5M,4g,strong,1850,19878,6062,3.279,steady,1
5M,4g,strong,1850,14985,4812,3.114,steady,1
5M,4g,strong,4300,6088,3186,1.911,steady,1
5M,4g,strong,2850,11930,5319,2.2430000000000003,steady,1
5M,4g,strong,2850,13625,4759,2.863,steady,1
5M,4g,strong,2850,11605,5717,2.03,steady,1
5M,4g,strong,4300,12208,5296,2.305,steady,1
