downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,4g,strong,300,16,107,0.149,steady,1
5M,4g,strong,300,1295,4742,0.273,buffering,2
5M,4g,strong,300,1133,1184,0.957,buffering,3
5M,4g,strong,300,1097,2863,0.383,buffering,4
5M,4g,strong,300,1223,4292,0.285,buffering,5
5M,4g,strong,300,1165,3253,0.358,steady,1
5M,4g,strong,1850,6260,4743,1.32,steady,1
5M,4g,strong,1850,8130,5943,1.368,steady,1
5M,4g,strong,2850,22858,6967,3.281,steady,1
5M,4g,strong,4300,21383,6929,3.086,steady,1
5M,4g,strong,4300,25144,6346,3.962,steady,1
5M,4g,strong,4300,20232,5210,3.883,buffering,2
5M,4g,strong,4300,16336,6369,2.565,buffering,3
5M,4g,strong,4300,10804,3654,2.957,steady,1
5M,4g,strong,4300,8772,5714,1.535,steady,1
5M,4g,strong,4300,16211,7892,2.054,steady,1
5M,4g,strong,4300,16041,7821,2.051,steady,1
5M,4g,strong,4300,11312,6118,1.849,steady,1
5M,4g,strong,4300,11374,7690,1.479,steady,1
5M,4g,strong,4300,8777,9317,0.942,steady,1
5M,4g,strong,4300,11770,7932,1.484,steady,1
5M,4g,strong,4300,20852,6934,3.007,steady,1
5M,4g,strong,4300,21456,7142,3.004,steady,1
5M,4g,strong,4300,16022,5529,2.898,steady,1
5M,4g,strong,4300,17265,7423,2.326,steady,1
5M,4g,strong,4300,38105,6290,6.058,steady,1
5M,4g,strong,4300,24234,5291,4.58,buffering,2
5M,4g,strong,4300,13749,6850,2.007,buffering,3
5M,4g,strong,4300,26128,5598,4.667,buffering,4
5M,4g,strong,4300,40873,5676,7.2010000000000005,buffering,5
5M,4g,strong,4300,45910,5469,8.394,buffering,6
5M,4g,strong,4300,20032,6036,3.319,buffering,7
5M,4g,strong,4300,21574,5106,4.225,buffering,8
5M,4g,strong,4300,26547,3979,6.672000000000001,buffering,9
5M,4g,strong,4300,21315,6340,3.362,buffering,10
5M,4g,strong,4300,7084,5148,1.376,buffering,11
5M,4g,strong,4300,10485,3146,3.333,buffering,12
5M,4g,strong,4300,11984,4047,2.961,buffering,13
5M,4g,strong,2850,4794,2740,1.75,buffering,14
5M,4g,strong,2850,1746,2042,0.855,buffering,15
5M,4g,strong,2850,2252,2533,0.889,steady,1
5M,4g,strong,1850,1331,2164,0.615,steady,1
5M,4g,strong,1850,1673,3128,0.5349999999999999,steady,1
5M,4g,strong,1850,2678,3843,0.697,steady,1
5M,4g,strong,1850,2346,4451,0.527,steady,1
5M,4g,strong,2850,10308,5091,2.025,steady,1
5M,4g,strong,2850,12741,6477,1.967,steady,1
5M,4g,strong,4300,8581,6143,1.397,steady,1
5M,4g,strong,4300,7318,6677,1.096,steady,1
5M,4g,strong,4300,6354,7537,0.843,steady,1
5M,4g,strong,4300,9185,8328,1.103,steady,1
5M,4g,strong,4300,11808,9225,1.28,steady,1
5M,4g,strong,4300,12796,8789,1.456,steady,1
5M,4g,strong,4300,15220,7935,1.918,steady,1
5M,4g,strong,4300,10239,7624,1.343,steady,1
5M,4g,strong,4300,10236,8595,1.191,steady,1
5M,4g,strong,4300,11984,8287,1.4460000000000002,steady,1
5M,4g,strong,4300,11856,2664,4.451,steady,1
5M,4g,strong,4300,17144,5243,3.27,buffering,2
5M,4g,strong,4300,17120,6537,2.619,steady,1
5M,4g,strong,4300,16822,7608,2.2110000000000003,steady,1
5M,4g,strong,4300,13561,6412,2.115,steady,1
5M,4g,strong,4300,15398,7974,1.931,steady,1
5M,4g,strong,4300,17495,4949,3.535,steady,1
5M,4g,strong,4300,19004,6580,2.8880000000000003,buffering,2
5M,4g,strong,4300,13441,8655,1.5530000000000002,steady,1
5M,4g,strong,4300,10963,9228,1.1880000000000002,steady,1
5M,4g,strong,4300,15333,5625,2.726,steady,1
5M,4g,strong,4300,17315,5889,2.94,steady,1
5M,4g,strong,4300,17023,7192,2.367,steady,1
5M,4g,strong,4300,16475,5534,2.9770000000000003,steady,1
5M,4g,strong,4300,27163,6265,4.336,steady,1
5M,4g,strong,4300,24546,5878,4.176,buffering,2
5M,4g,strong,4300,13085,5556,2.355,buffering,3
5M,4g,strong,4300,14473,6744,2.146,steady,1
5M,4g,strong,4300,25109,6797,3.694,steady,1
5M,4g,strong,4300,19889,5374,3.701,buffering,2
5M,4g,strong,4300,26620,5908,4.506,buffering,3
5M,4g,strong,4300,47122,5677,8.3,buffering,4
5M,4g,strong,4300,44565,5477,8.137,buffering,5
5M,4g,strong,4300,33635,4376,7.686,buffering,6
5M,4g,strong,4300,6088,3677,1.656,buffering,7
5M,4g,strong,4300,17329,5577,3.107,buffering,8
5M,4g,strong,4300,20140,4795,4.2,buffering,9
5M,4g,strong,4300,17863,4854,3.68,buffering,10
