downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,wifi,medium,300,16,325,0.049,steady,1
5M,wifi,medium,300,1295,2615,0.495,buffering,2
5M,wifi,medium,300,1133,3881,0.292,buffering,3
5M,wifi,medium,300,1097,4588,0.239,buffering,4
5M,wifi,medium,300,1223,5076,0.241,buffering,5
5M,wifi,medium,750,2458,5298,0.4639999999999999,steady,1
5M,wifi,medium,2850,9813,8097,1.212,steady,1
5M,wifi,medium,2850,12974,10096,1.285,steady,1
5M,wifi,medium,1850,15121,8660,1.746,steady,1
5M,wifi,medium,2850,13817,8931,1.547,steady,1
5M,wifi,medium,2850,16651,6592,2.526,steady,1
5M,wifi,medium,4300,20232,7788,2.598,steady,1
5M,wifi,medium,4300,16336,6295,2.595,steady,1
5M,wifi,medium,4300,10804,8900,1.214,steady,1
5M,wifi,medium,4300,8772,9233,0.95,steady,1
5M,wifi,medium,4300,16211,8110,1.999,steady,1
5M,wifi,medium,4300,16041,7372,2.176,steady,1
5M,wifi,medium,4300,11312,9190,1.231,steady,1
5M,wifi,medium,4300,11374,10192,1.116,steady,1
5M,wifi,medium,4300,8777,10461,0.8390000000000001,steady,1
5M,wifi,medium,4300,11770,9992,1.178,steady,1
5M,wifi,medium,4300,20852,7030,2.966,steady,1
5M,wifi,medium,4300,21456,7421,2.891,steady,1
5M,wifi,medium,4300,16022,3737,4.287,steady,1
5M,wifi,medium,4300,17265,7516,2.297,buffering,2
5M,wifi,medium,1850,17900,7449,2.403,steady,1
5M,wifi,medium,2850,16195,8061,2.009,steady,1
5M,wifi,medium,4300,13749,9203,1.494,steady,1
5M,wifi,medium,2850,18054,6989,2.583,steady,1
5M,wifi,medium,1850,18061,7788,2.319,steady,1
5M,wifi,medium,1850,18789,6199,3.031,steady,1
5M,wifi,medium,4300,20032,7699,2.602,steady,1
5M,wifi,medium,2850,14041,7347,1.911,steady,1
5M,wifi,medium,2850,17318,7769,2.229,steady,1
5M,wifi,medium,4300,21315,7422,2.872,steady,1
5M,wifi,medium,4300,7084,9826,0.7210000000000001,steady,1
5M,wifi,medium,4300,10485,10506,0.998,steady,1
5M,wifi,medium,4300,11984,9775,1.226,steady,1
5M,wifi,medium,4300,6890,7538,0.914,steady,1
5M,wifi,medium,4300,2807,6574,0.427,steady,1
5M,wifi,medium,4300,3667,5859,0.626,steady,1
5M,wifi,medium,4300,3127,6798,0.4599999999999999,steady,1
5M,wifi,medium,4300,4058,9099,0.446,steady,1
5M,wifi,medium,4300,6058,10181,0.5950000000000001,steady,1
5M,wifi,medium,4300,4997,9445,0.529,steady,1
5M,wifi,medium,4300,15181,9769,1.554,steady,1
5M,wifi,medium,4300,18807,7885,2.385,steady,1
5M,wifi,medium,4300,8581,9567,0.897,steady,1
5M,wifi,medium,4300,7318,10206,0.7170000000000001,steady,1
5M,wifi,medium,4300,6354,10918,0.5820000000000001,steady,1
5M,wifi,medium,4300,9185,11134,0.8250000000000001,steady,1
5M,wifi,medium,4300,11808,10459,1.129,steady,1
5M,wifi,medium,4300,12796,9160,1.397,steady,1
5M,wifi,medium,4300,15220,7378,2.063,steady,1
5M,wifi,medium,4300,10239,8338,1.228,steady,1
5M,wifi,medium,4300,10236,2982,3.4330000000000003,steady,1
5M,wifi,medium,4300,11984,7648,1.567,steady,1
5M,wifi,medium,4300,11856,9447,1.255,steady,1
5M,wifi,medium,4300,17144,7782,2.203,steady,1
5M,wifi,medium,4300,17120,6367,2.689,steady,1
5M,wifi,medium,4300,16822,7653,2.198,steady,1
5M,wifi,medium,4300,13561,8682,1.5619999999999998,steady,1
5M,wifi,medium,4300,15398,6285,2.45,steady,1
5M,wifi,medium,4300,17495,7690,2.2750000000000004,steady,1
5M,wifi,medium,4300,19004,7502,2.533,steady,1
5M,wifi,medium,4300,13441,8813,1.525,steady,1
5M,wifi,medium,4300,10963,7180,1.527,steady,1
5M,wifi,medium,4300,15333,8742,1.754,steady,1
5M,wifi,medium,4300,17315,7761,2.231,steady,1
5M,wifi,medium,4300,17023,7093,2.4,steady,1
5M,wifi,medium,4300,16475,7641,2.156,steady,1
5M,wifi,medium,2850,18328,7740,2.3680000000000003,steady,1
5M,wifi,medium,2850,16568,7235,2.29,steady,1
5M,wifi,medium,4300,13085,9722,1.346,steady,1
5M,wifi,medium,4300,14473,8698,1.664,steady,1
5M,wifi,medium,2850,16205,6658,2.434,steady,1
5M,wifi,medium,4300,19889,7739,2.57,steady,1
5M,wifi,medium,2850,16189,8070,2.006,steady,1
5M,wifi,medium,1850,19538,7515,2.6,steady,1
5M,wifi,medium,1850,19878,7362,2.7,steady,1
5M,wifi,medium,1850,14985,6960,2.153,steady,1
5M,wifi,medium,4300,6088,7846,0.776,steady,1
5M,wifi,medium,4300,17329,8449,2.051,steady,1
5M,wifi,medium,4300,20140,7308,2.756,steady,1
5M,wifi,medium,4300,17863,7787,2.294,steady,1
5M,wifi,medium,4300,12208,7228,1.6889999999999998,steady,1
