downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,wifi,medium,300,16,185,0.086,steady,1
5M,wifi,medium,300,1295,1606,0.806,buffering,2
5M,wifi,medium,300,1133,2826,0.4009999999999999,buffering,3
5M,wifi,medium,300,1097,3631,0.302,buffering,4
5M,wifi,medium,300,1223,4262,0.287,buffering,5
5M,wifi,medium,300,1165,4753,0.245,steady,1
5M,wifi,medium,2850,9813,6872,1.428,steady,1
5M,wifi,medium,2850,12974,9401,1.38,steady,1
5M,wifi,medium,4300,33450,6549,5.108,steady,1
5M,wifi,medium,4300,21383,5782,3.698,buffering,2
5M,wifi,medium,4300,25144,5682,4.425,buffering,3
5M,wifi,medium,4300,20232,5618,3.601,buffering,4
5M,wifi,medium,4300,16336,5666,2.883,buffering,5
5M,wifi,medium,4300,10804,5581,1.936,buffering,6
5M,wifi,medium,4300,8772,6571,1.335,steady,1
5M,wifi,medium,4300,16211,7847,2.0660000000000003,steady,1
5M,wifi,medium,4300,16041,7482,2.144,steady,1
5M,wifi,medium,4300,11312,10825,1.045,steady,1
5M,wifi,medium,4300,11374,10541,1.079,steady,1
5M,wifi,medium,4300,8777,8681,1.011,steady,1
5M,wifi,medium,4300,11770,9210,1.278,steady,1
5M,wifi,medium,4300,20852,7332,2.844,steady,1
5M,wifi,medium,4300,21456,7363,2.914,steady,1
5M,wifi,medium,4300,16022,8328,1.924,steady,1
5M,wifi,medium,4300,17265,8004,2.157,steady,1
5M,wifi,medium,4300,38105,6443,5.914000000000001,steady,1
5M,wifi,medium,4300,24234,5756,4.21,buffering,2
5M,wifi,medium,4300,13749,5598,2.456,buffering,3
5M,wifi,medium,4300,26128,5513,4.739000000000001,buffering,4
5M,wifi,medium,4300,40873,5792,7.057,buffering,5
5M,wifi,medium,4300,45910,5655,8.118,buffering,6
5M,wifi,medium,4300,20032,5697,3.516,buffering,7
5M,wifi,medium,4300,21574,5595,3.856,buffering,8
5M,wifi,medium,4300,26547,5708,4.651000000000001,buffering,9
5M,wifi,medium,4300,21315,5701,3.739,buffering,10
5M,wifi,medium,4300,7084,5709,1.241,buffering,11
5M,wifi,medium,4300,10485,5349,1.96,buffering,12
5M,wifi,medium,4300,11984,5386,2.225,buffering,13
5M,wifi,medium,4300,6890,7016,0.982,buffering,14
5M,wifi,medium,4300,2807,4799,0.5850000000000001,steady,1
5M,wifi,medium,4300,3667,4832,0.759,steady,1
5M,wifi,medium,4300,3127,7289,0.429,steady,1
5M,wifi,medium,4300,4058,7864,0.516,steady,1
5M,wifi,medium,4300,6058,9421,0.643,steady,1
5M,wifi,medium,4300,4997,8751,0.5710000000000001,steady,1
5M,wifi,medium,4300,15181,9308,1.631,steady,1
5M,wifi,medium,4300,18807,7768,2.4210000000000003,steady,1
5M,wifi,medium,4300,8581,6800,1.262,steady,1
5M,wifi,medium,4300,7318,9159,0.799,steady,1
5M,wifi,medium,4300,6354,9701,0.655,steady,1
5M,wifi,medium,4300,9185,10534,0.872,steady,1
5M,wifi,medium,4300,11808,10953,1.078,steady,1
5M,wifi,medium,4300,12796,9416,1.359,steady,1
5M,wifi,medium,4300,15220,7479,2.035,steady,1
5M,wifi,medium,4300,10239,9542,1.073,steady,1
5M,wifi,medium,4300,10236,11018,0.929,steady,1
5M,wifi,medium,4300,11984,10216,1.173,steady,1
5M,wifi,medium,4300,11856,5803,2.043,steady,1
5M,wifi,medium,4300,17144,8559,2.003,steady,1
5M,wifi,medium,4300,17120,8015,2.136,steady,1
5M,wifi,medium,4300,16822,8052,2.089,steady,1
5M,wifi,medium,4300,13561,7627,1.778,steady,1
5M,wifi,medium,4300,15398,8685,1.773,steady,1
5M,wifi,medium,4300,17495,7960,2.198,steady,1
5M,wifi,medium,4300,19004,7526,2.525,steady,1
5M,wifi,medium,4300,13441,9459,1.421,steady,1
5M,wifi,medium,4300,10963,6589,1.664,steady,1
5M,wifi,medium,4300,15333,8643,1.774,steady,1
5M,wifi,medium,4300,17315,7828,2.212,steady,1
5M,wifi,medium,4300,17023,7921,2.149,steady,1
5M,wifi,medium,4300,16475,7970,2.067,steady,1
5M,wifi,medium,4300,27163,6806,3.991,steady,1
5M,wifi,medium,4300,24546,5748,4.2700000000000005,buffering,2
5M,wifi,medium,4300,13085,5699,2.296,buffering,3
5M,wifi,medium,4300,14473,7302,1.982,steady,1
5M,wifi,medium,4300,25109,7014,3.58,steady,1
5M,wifi,medium,4300,19889,7134,2.788,steady,1
5M,wifi,medium,4300,26620,6987,3.81,steady,1
5M,wifi,medium,4300,47122,5610,8.4,buffering,2
5M,wifi,medium,4300,44565,5694,7.827,buffering,3
5M,wifi,medium,4300,33635,5682,5.92,buffering,4
5M,wifi,medium,4300,6088,6456,0.943,buffering,5
5M,wifi,medium,4300,17329,5585,3.103,buffering,6
5M,wifi,medium,4300,20140,5605,3.593,buffering,7
5M,wifi,medium,4300,17863,5632,3.172,buffering,8
5M,wifi,medium,4300,12208,5923,2.061,buffering,9
