downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,wifi,medium,300,15,265,0.055,steady,1
5M,wifi,medium,300,1235,4130,0.299,buffering,2
5M,wifi,medium,300,1401,6119,0.2289999999999999,buffering,3
5M,wifi,medium,300,1447,4536,0.319,buffering,4
5M,wifi,medium,750,4396,8809,0.499,buffering,5
5M,wifi,medium,750,859,4851,0.177,steady,1
5M,wifi,medium,4300,20137,7772,2.591,steady,1
5M,wifi,medium,4300,29101,6627,4.391,steady,1
5M,wifi,medium,4300,20305,5759,3.526,buffering,2
5M,wifi,medium,4300,13260,5925,2.238,buffering,3
5M,wifi,medium,4300,8446,5534,1.526,steady,1
5M,wifi,medium,4300,8753,8188,1.069,steady,1
5M,wifi,medium,4300,14400,8592,1.676,steady,1
5M,wifi,medium,4300,18606,7164,2.597,steady,1
5M,wifi,medium,4300,17713,7675,2.3080000000000003,steady,1
5M,wifi,medium,4300,6568,5998,1.095,steady,1
5M,wifi,medium,4300,14294,8196,1.744,steady,1
5M,wifi,medium,4300,17813,7970,2.235,steady,1
5M,wifi,medium,4300,14222,5943,2.393,steady,1
5M,wifi,medium,4300,21031,7850,2.679,steady,1
5M,wifi,medium,4300,33953,6349,5.348,steady,1
5M,wifi,medium,4300,11485,6001,1.914,buffering,2
5M,wifi,medium,4300,6012,6128,0.981,steady,1
5M,wifi,medium,4300,12262,5973,2.053,steady,1
5M,wifi,medium,4300,7742,8379,0.924,steady,1
5M,wifi,medium,4300,13703,8892,1.541,steady,1
5M,wifi,medium,4300,16720,7185,2.327,steady,1
5M,wifi,medium,4300,17646,6967,2.533,steady,1
5M,wifi,medium,4300,16972,6237,2.721,steady,1
5M,wifi,medium,4300,20467,7286,2.809,steady,1
5M,wifi,medium,4300,34773,6270,5.546,steady,1
5M,wifi,medium,4300,19760,5918,3.339,buffering,2
5M,wifi,medium,4300,15726,5816,2.704,buffering,3
5M,wifi,medium,4300,13769,5488,2.509,buffering,4
5M,wifi,medium,4300,16508,7010,2.355,steady,1
5M,wifi,medium,4300,17427,7994,2.18,steady,1
5M,wifi,medium,4300,18493,5699,3.245,steady,1
5M,wifi,medium,4300,15428,8417,1.833,steady,1
5M,wifi,medium,4300,17579,7620,2.307,steady,1
5M,wifi,medium,4300,17824,7594,2.347,steady,1
5M,wifi,medium,4300,9649,9688,0.996,steady,1
5M,wifi,medium,4300,21508,7676,2.802,steady,1
5M,wifi,medium,4300,15301,7791,1.964,steady,1
5M,wifi,medium,4300,14588,8730,1.671,steady,1
5M,wifi,medium,4300,14330,7356,1.948,steady,1
5M,wifi,medium,4300,22966,7449,3.083,steady,1
5M,wifi,medium,4300,23917,6940,3.446,steady,1
5M,wifi,medium,4300,24089,6600,3.65,steady,1
5M,wifi,medium,4300,10543,5629,1.873,buffering,2
5M,wifi,medium,4300,26645,6597,4.039,steady,1
5M,wifi,medium,4300,14929,5521,2.704,buffering,2
5M,wifi,medium,4300,12626,6984,1.808,steady,1
5M,wifi,medium,4300,13513,9015,1.499,steady,1
5M,wifi,medium,4300,23227,7265,3.197,steady,1
5M,wifi,medium,4300,20750,6503,3.191,steady,1
5M,wifi,medium,4300,14577,6341,2.299,steady,1
5M,wifi,medium,4300,13987,8672,1.613,steady,1
5M,wifi,medium,4300,26133,6784,3.852,steady,1
5M,wifi,medium,4300,13335,3498,3.812,buffering,2
5M,wifi,medium,4300,14796,6318,2.342,buffering,3
5M,wifi,medium,4300,11435,8420,1.358,steady,1
5M,wifi,medium,4300,29296,6255,4.684,steady,1
5M,wifi,medium,4300,24721,6021,4.106,buffering,2
5M,wifi,medium,4300,15068,4889,3.082,buffering,3
5M,wifi,medium,4300,15640,5556,2.815,buffering,4
5M,wifi,medium,4300,19531,7698,2.5370000000000004,steady,1
5M,wifi,medium,4300,16972,5511,3.08,steady,1
5M,wifi,medium,4300,13792,6312,2.185,steady,1
5M,wifi,medium,4300,24041,7368,3.263,steady,1
5M,wifi,medium,4300,22317,7220,3.091,steady,1
5M,wifi,medium,4300,17718,6582,2.692,steady,1
5M,wifi,medium,4300,20396,7422,2.748,steady,1
5M,wifi,medium,4300,11253,7186,1.566,steady,1
5M,wifi,medium,4300,9187,7350,1.25,steady,1
5M,wifi,medium,4300,19401,6669,2.909,steady,1
5M,wifi,medium,4300,10616,5316,1.997,steady,1
5M,wifi,medium,4300,65605,6216,10.553999999999998,steady,1
5M,wifi,medium,4300,21303,5704,3.735,buffering,2
5M,wifi,medium,4300,11462,5902,1.942,buffering,3
5M,wifi,medium,4300,18991,4157,4.568,buffering,4
5M,wifi,medium,4300,14431,5514,2.617,buffering,5
5M,wifi,medium,4300,15389,7409,2.077,buffering,6
5M,wifi,medium,4300,18350,3974,4.618,buffering,7
5M,wifi,medium,4300,14129,5378,2.627,buffering,8
5M,wifi,medium,4300,10654,9607,1.109,buffering,9
5M,wifi,medium,4300,9796,7856,1.247,steady,1
