downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,4g,weak,300,16,166,0.096,steady,1
50M,4g,weak,300,1295,2295,0.5640000000000001,buffering,2
50M,4g,weak,300,1133,1322,0.857,buffering,3
50M,4g,weak,300,1097,2421,0.4529999999999999,buffering,4
50M,4g,weak,300,1223,3379,0.362,buffering,5
50M,4g,weak,300,1165,1203,0.968,steady,1
50M,4g,weak,1200,3890,3945,0.986,steady,1
50M,4g,weak,1850,8130,2422,3.357,steady,1
50M,4g,weak,1850,15121,5079,2.9770000000000003,steady,1
50M,4g,weak,1850,8755,6824,1.283,steady,1
50M,4g,weak,1850,10436,3334,3.1300000000000003,steady,1
50M,4g,weak,2850,13440,2473,5.4350000000000005,steady,1
50M,4g,weak,2850,10560,6730,1.5690000000000002,buffering,2
50M,4g,weak,2850,6974,5778,1.207,steady,1
50M,4g,weak,2850,6053,5376,1.126,steady,1
50M,4g,weak,2850,11316,6061,1.867,steady,1
50M,4g,weak,4300,16041,5075,3.161,steady,1
50M,4g,weak,4300,11312,4593,2.463,steady,1
50M,4g,weak,4300,11374,1669,6.814,steady,1
50M,4g,weak,2850,5557,7916,0.7020000000000001,buffering,2
50M,4g,weak,2850,7457,2803,2.66,steady,1
50M,4g,weak,2850,13502,2481,5.442,steady,1
50M,4g,weak,2850,14114,3456,4.0840000000000005,buffering,2
50M,4g,weak,1850,7237,2215,3.267,buffering,3
50M,4g,weak,2850,11651,2221,5.245,buffering,4
50M,4g,weak,1850,17900,1416,12.641,buffering,5
50M,4g,weak,1850,10571,1444,7.319,buffering,6
50M,4g,weak,1850,5361,1599,3.354,buffering,7
50M,4g,weak,1200,7733,4249,1.82,buffering,8
50M,4g,weak,1200,11570,4426,2.614,buffering,9
50M,4g,weak,1850,18789,3769,4.985,buffering,10
50M,4g,weak,1850,8314,4624,1.798,buffering,11
50M,4g,weak,2850,14041,2203,6.375,buffering,12
50M,4g,weak,2850,17318,3133,5.528,buffering,13
50M,4g,weak,2850,14042,4347,3.23,buffering,14
50M,4g,weak,2850,4491,6877,0.653,buffering,15
50M,4g,weak,2850,6857,3142,2.182,buffering,16
50M,4g,weak,2850,8036,3449,2.33,buffering,17
50M,4g,weak,2850,4794,2056,2.3320000000000003,steady,1
50M,4g,weak,2850,1746,1218,1.434,steady,1
50M,4g,weak,1850,1496,1783,0.839,steady,1
50M,4g,weak,1850,1331,3697,0.36,steady,1
50M,4g,weak,1850,1673,1667,1.004,steady,1
50M,4g,weak,1200,1822,3711,0.491,steady,1
50M,4g,weak,1850,2346,3011,0.7789999999999999,steady,1
50M,4g,weak,1850,6993,3780,1.85,steady,1
50M,4g,weak,2850,12741,2340,5.445,steady,1
50M,4g,weak,1850,3508,2279,1.539,buffering,2
50M,4g,weak,2850,4738,1926,2.46,steady,1
50M,4g,weak,1850,2680,2864,0.936,steady,1
50M,4g,weak,1850,3862,1650,2.341,steady,1
50M,4g,weak,1850,5193,2562,2.027,steady,1
50M,4g,weak,1850,5688,1873,3.037,steady,1
50M,4g,weak,1850,6916,3993,1.732,steady,1
50M,4g,weak,1850,4475,2241,1.997,steady,1
50M,4g,weak,1850,4665,1971,2.367,steady,1
50M,4g,weak,1850,5088,1141,4.4590000000000005,steady,1
50M,4g,weak,1850,5240,1722,3.043,buffering,2
50M,4g,weak,1850,7922,1389,5.703,steady,1
50M,4g,weak,1200,5214,1168,4.464,buffering,2
50M,4g,weak,1200,5032,1522,3.306,buffering,3
50M,4g,weak,1200,3853,781,4.932,buffering,4
50M,4g,weak,1200,4475,1313,3.407,buffering,5
50M,4g,weak,750,3320,711,4.668,steady,1
