downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,4g,weak,300,16,114,0.14,steady,1
50M,4g,weak,300,1295,655,1.977,buffering,2
50M,4g,weak,300,1133,552,2.052,buffering,3
50M,4g,weak,300,1097,654,1.676,buffering,4
50M,4g,weak,300,1223,818,1.495,steady,1
50M,4g,weak,300,1165,2671,0.436,buffering,2
50M,4g,weak,300,942,1662,0.5670000000000001,steady,1
50M,4g,weak,300,1531,421,3.635,steady,1
50M,4g,weak,300,3058,906,3.374,buffering,2
50M,4g,weak,300,1389,1816,0.765,steady,1
50M,4g,weak,300,1226,4333,0.283,steady,1
50M,4g,weak,750,2933,4816,0.609,steady,1
50M,4g,weak,750,2720,5323,0.511,steady,1
50M,4g,weak,1850,4437,6312,0.703,steady,1
50M,4g,weak,4300,8772,10518,0.834,steady,1
50M,4g,weak,4300,16211,3961,4.093,steady,1
50M,4g,weak,2850,10818,4244,2.549,buffering,2
50M,4g,weak,4300,8777,3936,2.23,steady,1
50M,4g,weak,4300,11770,3087,3.813,steady,1
50M,4g,weak,2850,13502,3271,4.128,buffering,2
50M,4g,weak,2850,14114,4649,3.036,buffering,3
50M,4g,weak,2850,10834,2784,3.892,steady,1
50M,4g,weak,1850,7717,3710,2.08,buffering,2
50M,4g,weak,750,7270,5265,1.381,steady,1
50M,4g,weak,1850,10571,4517,2.34,steady,1
50M,4g,weak,2850,8608,3956,2.176,steady,1
50M,4g,weak,1200,7733,7180,1.077,steady,1
50M,4g,weak,1200,11570,4909,2.357,steady,1
50M,4g,weak,1200,11495,6637,1.732,steady,1
50M,4g,weak,2850,12973,3025,4.289,steady,1
50M,4g,weak,1850,8914,7241,1.231,buffering,2
50M,4g,weak,1850,10857,9368,1.159,steady,1
50M,4g,weak,2850,14042,6680,2.1020000000000003,steady,1
50M,4g,weak,4300,7084,4112,1.723,steady,1
50M,4g,weak,4300,10485,11969,0.876,steady,1
50M,4g,weak,4300,11984,7575,1.582,steady,1
50M,4g,weak,4300,6890,9248,0.745,steady,1
50M,4g,weak,4300,2807,7975,0.352,steady,1
50M,4g,weak,4300,3667,7546,0.486,steady,1
50M,4g,weak,4300,3127,4979,0.628,steady,1
50M,4g,weak,4300,4058,6786,0.598,steady,1
50M,4g,weak,4300,6058,6613,0.916,steady,1
50M,4g,weak,4300,4997,5913,0.845,steady,1
50M,4g,weak,4300,15181,8816,1.722,steady,1
50M,4g,weak,2850,12741,4887,2.607,steady,1
50M,4g,weak,4300,8581,3848,2.2300000000000004,steady,1
50M,4g,weak,4300,7318,10351,0.7070000000000001,steady,1
50M,4g,weak,4300,6354,2808,2.263,steady,1
50M,4g,weak,4300,9185,1574,5.837000000000001,steady,1
50M,4g,weak,2850,7725,2663,2.901,buffering,2
50M,4g,weak,1850,5688,935,6.08,buffering,3
50M,4g,weak,750,2818,1522,1.852,buffering,4
50M,4g,weak,1200,2993,1306,2.292,buffering,5
50M,4g,weak,1200,3054,2340,1.3050000000000002,steady,1
50M,4g,weak,1200,3279,3058,1.072,steady,1
50M,4g,weak,1200,3630,683,5.311,steady,1
50M,4g,weak,300,1735,339,5.1160000000000005,buffering,2
50M,4g,weak,300,1483,929,1.597,buffering,3
50M,4g,weak,300,1244,1711,0.727,buffering,4
50M,4g,weak,300,1106,2513,0.44,steady,1
50M,4g,weak,300,1170,3055,0.383,steady,1
50M,4g,weak,300,1327,933,1.422,steady,1
50M,4g,weak,750,3094,4738,0.653,steady,1
50M,4g,weak,1200,4065,2703,1.504,steady,1
50M,4g,weak,1850,5156,2325,2.2180000000000004,steady,1
50M,4g,weak,1200,4590,3652,1.257,steady,1
50M,4g,weak,1200,5368,4985,1.077,steady,1
50M,4g,weak,1850,7771,3290,2.362,steady,1
50M,4g,weak,1850,7583,1673,4.532,steady,1
50M,4g,weak,750,4356,2871,1.517,buffering,2
50M,4g,weak,1200,6297,5433,1.159,steady,1
50M,4g,weak,1850,6125,2167,2.827,steady,1
50M,4g,weak,1850,5437,5815,0.935,steady,1
50M,4g,weak,1200,6178,5205,1.187,steady,1
50M,4g,weak,1850,7771,2810,2.766,steady,1
50M,4g,weak,1850,9824,1085,9.054,steady,1
50M,4g,weak,300,2557,1577,1.622,buffering,2
50M,4g,weak,300,3256,1082,3.008,buffering,3
50M,4g,weak,300,2515,1112,2.261,buffering,4
50M,4g,weak,1850,2726,672,4.056,buffering,5
50M,4g,weak,300,1431,596,2.403,buffering,6
50M,4g,weak,300,1429,497,2.874,steady,1
50M,4g,weak,300,1111,779,1.426,steady,1
50M,4g,weak,300,959,438,2.19,steady,1
