downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,4g,weak,300,16,55,0.289,steady,1
50M,4g,weak,300,1295,5580,0.232,steady,1
50M,4g,weak,300,1133,4606,0.246,steady,1
50M,4g,weak,300,1097,4747,0.231,steady,1
50M,4g,weak,300,1223,3972,0.308,steady,1
50M,4g,weak,300,1165,4174,0.279,steady,1
50M,4g,weak,4300,14276,9691,1.473,steady,1
50M,4g,weak,4300,19534,9977,1.958,steady,1
50M,4g,weak,4300,33450,9876,3.387,steady,1
50M,4g,weak,4300,21383,11953,1.789,steady,1
50M,4g,weak,4300,25144,7617,3.301,steady,1
50M,4g,weak,4300,20232,8420,2.403,buffering,2
50M,4g,weak,4300,16336,6858,2.382,steady,1
50M,4g,weak,4300,10804,10369,1.042,steady,1
50M,4g,weak,4300,8772,10176,0.8620000000000001,steady,1
50M,4g,weak,4300,16211,5413,2.995,steady,1
50M,4g,weak,4300,16041,10581,1.516,steady,1
50M,4g,weak,4300,11312,9554,1.1840000000000002,steady,1
50M,4g,weak,4300,11374,7217,1.576,steady,1
50M,4g,weak,4300,8777,13461,0.652,steady,1
50M,4g,weak,4300,11770,10156,1.159,steady,1
50M,4g,weak,4300,20852,2876,7.25,steady,1
50M,4g,weak,4300,21456,9892,2.169,buffering,2
50M,4g,weak,4300,16022,7093,2.259,buffering,3
50M,4g,weak,4300,17265,11225,1.538,buffering,4
50M,4g,weak,4300,38105,10671,3.571,steady,1
50M,4g,weak,4300,24234,13164,1.841,buffering,2
50M,4g,weak,4300,13749,13271,1.036,steady,1
50M,4g,weak,4300,26128,6026,4.336,steady,1
50M,4g,weak,4300,40873,13969,2.926,buffering,2
50M,4g,weak,4300,45910,14776,3.107,steady,1
50M,4g,weak,4300,20032,15445,1.2970000000000002,steady,1
50M,4g,weak,4300,21574,12646,1.706,steady,1
50M,4g,weak,4300,26547,13188,2.013,steady,1
50M,4g,weak,4300,21315,10418,2.046,steady,1
50M,4g,weak,4300,7084,8257,0.858,steady,1
50M,4g,weak,4300,10485,9471,1.107,steady,1
50M,4g,weak,4300,11984,14166,0.846,steady,1
50M,4g,weak,4300,6890,6829,1.009,steady,1
50M,4g,weak,4300,2807,3065,0.916,steady,1
50M,4g,weak,4300,3667,7786,0.471,steady,1
50M,4g,weak,4300,3127,7857,0.398,steady,1
50M,4g,weak,4300,4058,6937,0.585,steady,1
50M,4g,weak,4300,6058,9600,0.631,steady,1
50M,4g,weak,4300,4997,8483,0.589,steady,1
50M,4g,weak,4300,15181,6829,2.223,steady,1
50M,4g,weak,4300,18807,7562,2.487,steady,1
50M,4g,weak,4300,8581,10607,0.809,steady,1
50M,4g,weak,4300,7318,6431,1.138,steady,1
50M,4g,weak,4300,6354,9791,0.6489999999999999,steady,1
50M,4g,weak,4300,9185,9325,0.985,steady,1
50M,4g,weak,4300,11808,12947,0.912,steady,1
50M,4g,weak,4300,12796,11549,1.108,steady,1
50M,4g,weak,4300,15220,6069,2.508,steady,1
50M,4g,weak,4300,10239,6172,1.6589999999999998,steady,1
50M,4g,weak,4300,10236,10971,0.933,steady,1
50M,4g,weak,4300,11984,9556,1.254,steady,1
50M,4g,weak,4300,11856,10346,1.146,steady,1
50M,4g,weak,4300,17144,5153,3.327,steady,1
50M,4g,weak,4300,17120,5155,3.321,steady,1
50M,4g,weak,4300,16822,6157,2.732,buffering,2
50M,4g,weak,4300,13561,7753,1.749,steady,1
50M,4g,weak,4300,15398,6626,2.324,steady,1
50M,4g,weak,4300,17495,11052,1.583,steady,1
50M,4g,weak,4300,19004,10941,1.737,steady,1
50M,4g,weak,4300,13441,8302,1.619,steady,1
50M,4g,weak,4300,10963,9617,1.14,steady,1
50M,4g,weak,4300,15333,10589,1.448,steady,1
50M,4g,weak,4300,17315,11071,1.564,steady,1
50M,4g,weak,4300,17023,8922,1.908,steady,1
50M,4g,weak,4300,16475,7738,2.129,steady,1
50M,4g,weak,4300,27163,8008,3.392,steady,1
50M,4g,weak,4300,24546,9159,2.68,steady,1
50M,4g,weak,4300,13085,8204,1.595,steady,1
50M,4g,weak,4300,14473,8285,1.747,steady,1
50M,4g,weak,4300,25109,7413,3.387,steady,1
50M,4g,weak,4300,19889,7256,2.741,steady,1
50M,4g,weak,4300,26620,9959,2.673,steady,1
50M,4g,weak,4300,47122,11238,4.1930000000000005,steady,1
50M,4g,weak,4300,44565,10806,4.1240000000000006,buffering,2
50M,4g,weak,4300,33635,13295,2.53,buffering,3
50M,4g,weak,4300,6088,8773,0.6940000000000001,steady,1
50M,4g,weak,4300,17329,14228,1.218,steady,1
50M,4g,weak,4300,20140,7920,2.543,steady,1
50M,4g,weak,4300,17863,12678,1.409,steady,1
50M,4g,weak,4300,12208,4369,2.794,steady,1
