downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,4g,weak,300,15,37,0.389,steady,1
5M,4g,weak,300,1235,2826,0.4369999999999999,steady,1
5M,4g,weak,300,1401,2562,0.5469999999999999,buffering,2
5M,4g,weak,300,1447,4206,0.344,buffering,3
5M,4g,weak,300,1758,4995,0.352,buffering,4
5M,4g,weak,300,450,1398,0.3219999999999999,steady,1
5M,4g,weak,1850,7039,3007,2.341,steady,1
5M,4g,weak,1200,6904,1982,3.483,steady,1
5M,4g,weak,1200,5552,2274,2.441,buffering,2
5M,4g,weak,1200,4510,3066,1.471,steady,1
5M,4g,weak,1850,4905,3148,1.558,steady,1
5M,4g,weak,2850,6576,2595,2.534,steady,1
5M,4g,weak,1850,6748,4293,1.572,steady,1
5M,4g,weak,1200,5594,2897,1.931,steady,1
5M,4g,weak,1850,8246,3017,2.733,steady,1
5M,4g,weak,4300,6568,8486,0.774,steady,1
5M,4g,weak,2850,7988,3804,2.1,steady,1
5M,4g,weak,2850,11077,8675,1.277,steady,1
5M,4g,weak,2850,8537,8702,0.981,steady,1
5M,4g,weak,2850,13257,4256,3.115,steady,1
5M,4g,weak,1850,15378,8601,1.788,steady,1
5M,4g,weak,4300,11485,8721,1.3170000000000002,steady,1
5M,4g,weak,4300,6012,7610,0.79,steady,1
5M,4g,weak,4300,12262,5776,2.123,steady,1
5M,4g,weak,4300,7742,4407,1.757,steady,1
5M,4g,weak,4300,13703,9684,1.415,steady,1
5M,4g,weak,4300,16720,7401,2.2590000000000003,steady,1
5M,4g,weak,4300,17646,3725,4.737,steady,1
5M,4g,weak,2850,11308,4741,2.385,buffering,2
5M,4g,weak,2850,13649,5344,2.5540000000000003,steady,1
5M,4g,weak,1850,13950,1144,12.19,steady,1
5M,4g,weak,300,1511,1396,1.082,buffering,2
5M,4g,weak,750,2689,2821,0.953,buffering,3
5M,4g,weak,1200,3874,2917,1.3279999999999998,buffering,4
5M,4g,weak,1200,4993,2435,2.051,steady,1
5M,4g,weak,1200,5188,4385,1.1829999999999998,steady,1
5M,4g,weak,1200,5431,4165,1.304,steady,1
5M,4g,weak,1850,6041,3117,1.938,steady,1
5M,4g,weak,1850,7372,2757,2.674,steady,1
5M,4g,weak,1850,7805,5111,1.527,steady,1
5M,4g,weak,4300,9649,8918,1.082,steady,1
5M,4g,weak,1850,9414,2585,3.641,steady,1
5M,4g,weak,2850,9962,6015,1.656,buffering,2
5M,4g,weak,2850,9717,9905,0.981,steady,1
5M,4g,weak,4300,14330,7759,1.847,steady,1
5M,4g,weak,2850,15261,8165,1.869,steady,1
5M,4g,weak,1850,11163,6318,1.767,steady,1
5M,4g,weak,2850,16152,7852,2.057,steady,1
5M,4g,weak,4300,10543,7525,1.401,steady,1
5M,4g,weak,2850,17476,4451,3.926,steady,1
5M,4g,weak,4300,14929,6121,2.439,buffering,2
5M,4g,weak,4300,12626,7713,1.637,steady,1
5M,4g,weak,4300,13513,4598,2.939,steady,1
5M,4g,weak,2850,16037,7131,2.249,steady,1
5M,4g,weak,2850,14585,4947,2.948,steady,1
5M,4g,weak,4300,14577,9380,1.5539999999999998,steady,1
5M,4g,weak,4300,13987,7814,1.7899999999999998,steady,1
5M,4g,weak,2850,14857,7112,2.089,steady,1
5M,4g,weak,4300,13335,4798,2.779,steady,1
5M,4g,weak,4300,14796,8962,1.651,steady,1
5M,4g,weak,4300,11435,9740,1.1740000000000002,steady,1
5M,4g,weak,2850,19453,6982,2.786,steady,1
5M,4g,weak,2850,16869,5060,3.334,steady,1
5M,4g,weak,4300,15068,7347,2.051,steady,1
5M,4g,weak,4300,15640,7754,2.017,steady,1
5M,4g,weak,4300,19531,6970,2.802,steady,1
5M,4g,weak,4300,16972,5056,3.357,steady,1
5M,4g,weak,4300,13792,4644,2.97,steady,1
5M,4g,weak,2850,15541,6336,2.453,steady,1
5M,4g,weak,2850,14549,6047,2.406,steady,1
5M,4g,weak,2850,12281,8354,1.4700000000000002,steady,1
5M,4g,weak,2850,12646,5343,2.367,steady,1
5M,4g,weak,4300,11253,6347,1.773,steady,1
5M,4g,weak,4300,9187,8708,1.055,steady,1
5M,4g,weak,4300,19401,6275,3.092,steady,1
5M,4g,weak,4300,10616,9066,1.1709999999999998,steady,1
5M,4g,weak,1850,19756,3832,5.155,steady,1
5M,4g,weak,2850,13731,3360,4.087,buffering,2
5M,4g,weak,4300,11462,2415,4.747,buffering,3
5M,4g,weak,1200,7008,6400,1.095,buffering,4
5M,4g,weak,2850,10786,5653,1.908,steady,1
5M,4g,weak,1850,7952,6202,1.282,steady,1
5M,4g,weak,1850,8796,3950,2.2270000000000003,steady,1
5M,4g,weak,2850,10163,2223,4.572,steady,1
5M,4g,weak,4300,10654,7127,1.495,buffering,2
5M,4g,weak,4300,9796,3496,2.802,steady,1
