downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,4g,weak,300,15,47,0.312,steady,1
5M,4g,weak,300,1235,2249,0.5489999999999999,steady,1
5M,4g,weak,300,1401,2210,0.634,buffering,2
5M,4g,weak,300,1447,1546,0.936,steady,1
5M,4g,weak,300,1758,2307,0.762,buffering,2
5M,4g,weak,300,450,619,0.727,steady,1
5M,4g,weak,1200,4000,645,6.2,steady,1
5M,4g,weak,1200,6904,2209,3.125,buffering,2
5M,4g,weak,1200,5552,1818,3.0540000000000003,buffering,3
5M,4g,weak,1850,6755,2536,2.664,buffering,4
5M,4g,weak,1850,4905,3323,1.476,buffering,5
5M,4g,weak,1850,4669,1766,2.644,steady,1
5M,4g,weak,2850,9919,4575,2.168,steady,1
5M,4g,weak,2850,12887,5500,2.343,steady,1
5M,4g,weak,4300,17713,3800,4.662,steady,1
5M,4g,weak,4300,6568,2509,2.6180000000000003,buffering,2
5M,4g,weak,4300,14294,2174,6.574999999999999,buffering,3
5M,4g,weak,4300,17813,3298,5.402,buffering,4
5M,4g,weak,2850,8537,3995,2.137,buffering,5
5M,4g,weak,2850,13257,5143,2.578,buffering,6
5M,4g,weak,4300,33953,4990,6.804,steady,1
5M,4g,weak,4300,11485,4914,2.337,buffering,2
5M,4g,weak,4300,6012,6824,0.881,buffering,3
5M,4g,weak,4300,12262,3608,3.398,steady,1
5M,4g,weak,4300,7742,6495,1.1920000000000002,steady,1
5M,4g,weak,4300,13703,5912,2.318,steady,1
5M,4g,weak,4300,16720,6131,2.7270000000000003,steady,1
5M,4g,weak,4300,17646,6255,2.821,steady,1
5M,4g,weak,4300,16972,5314,3.194,steady,1
5M,4g,weak,4300,20467,4644,4.407,steady,1
5M,4g,weak,4300,34773,7002,4.966,buffering,2
5M,4g,weak,4300,19760,5934,3.33,buffering,3
5M,4g,weak,4300,15726,4675,3.364,buffering,4
5M,4g,weak,4300,13769,5490,2.508,buffering,5
5M,4g,weak,4300,16508,6401,2.579,steady,1
5M,4g,weak,4300,17427,7016,2.484,steady,1
5M,4g,weak,4300,18493,5908,3.13,steady,1
5M,4g,weak,4300,15428,7932,1.945,steady,1
5M,4g,weak,4300,17579,4133,4.253,steady,1
5M,4g,weak,4300,17824,4356,4.092,buffering,2
5M,4g,weak,4300,9649,3192,3.023,buffering,3
5M,4g,weak,4300,21508,7624,2.821,steady,1
5M,4g,weak,4300,15301,5192,2.947,steady,1
5M,4g,weak,4300,14588,9522,1.532,steady,1
5M,4g,weak,4300,14330,3910,3.665,steady,1
5M,4g,weak,4300,22966,3574,6.425,steady,1
5M,4g,weak,4300,23917,3783,6.323,buffering,2
5M,4g,weak,4300,24089,4135,5.826,buffering,3
5M,4g,weak,4300,10543,2980,3.5380000000000003,buffering,4
5M,4g,weak,2850,17476,4573,3.822,buffering,5
5M,4g,weak,2850,10067,4566,2.205,buffering,6
5M,4g,weak,4300,12626,3961,3.188,buffering,7
5M,4g,weak,4300,13513,3157,4.281000000000001,buffering,8
5M,4g,weak,4300,23227,3954,5.874,buffering,9
5M,4g,weak,4300,20750,2900,7.155,buffering,10
5M,4g,weak,4300,14577,3131,4.656,buffering,11
5M,4g,weak,2850,8347,925,9.023,steady,1
5M,4g,weak,1850,8674,1308,6.63,buffering,2
5M,4g,weak,1850,5377,1622,3.3160000000000003,buffering,3
5M,4g,weak,1850,6312,1967,3.209,buffering,4
5M,4g,weak,1200,3757,1890,1.988,buffering,5
5M,4g,weak,1200,7896,2089,3.779,buffering,6
5M,4g,weak,1850,11348,3923,2.893,buffering,7
5M,4g,weak,1850,6681,3352,1.993,buffering,8
5M,4g,weak,2850,10743,1531,7.018999999999999,buffering,9
5M,4g,weak,2850,12334,3826,3.224,buffering,10
5M,4g,weak,2850,11193,4683,2.39,buffering,11
5M,4g,weak,2850,9386,5357,1.752,buffering,12
5M,4g,weak,2850,15541,4860,3.198,steady,1
5M,4g,weak,4300,22317,4657,4.792,steady,1
5M,4g,weak,4300,17718,3175,5.58,buffering,2
5M,4g,weak,4300,20396,1309,15.582,buffering,3
5M,4g,weak,4300,11253,2466,4.563,buffering,4
5M,4g,weak,4300,9187,967,9.499,buffering,5
5M,4g,weak,1200,6257,3130,1.999,buffering,6
5M,4g,weak,1200,3415,2486,1.374,buffering,7
5M,4g,weak,1200,10067,5051,1.993,buffering,8
5M,4g,weak,1850,8763,2811,3.117,buffering,9
5M,4g,weak,2850,8392,4462,1.881,buffering,10
5M,4g,weak,4300,18991,3933,4.829,steady,1
5M,4g,weak,4300,14431,1349,10.696,buffering,2
5M,4g,weak,2850,11522,1502,7.671,buffering,3
5M,4g,weak,1850,8796,1547,5.686,buffering,4
5M,4g,weak,1850,7095,2035,3.487,buffering,5
5M,4g,weak,1850,5018,2957,1.697,buffering,6
