downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,4g,weak,300,15,33,0.438,steady,1
5M,4g,weak,300,1235,2398,0.515,steady,1
5M,4g,weak,300,1401,4233,0.331,buffering,2
5M,4g,weak,300,1447,5764,0.251,buffering,3
5M,4g,weak,300,1758,2184,0.805,buffering,4
5M,4g,weak,300,450,2065,0.218,steady,1
5M,4g,weak,1850,7039,2513,2.801,steady,1
5M,4g,weak,2850,18993,3742,5.075,steady,1
5M,4g,weak,1850,8892,4572,1.945,buffering,2
5M,4g,weak,1850,6755,5744,1.176,steady,1
5M,4g,weak,2850,6668,4777,1.396,steady,1
5M,4g,weak,2850,6576,7140,0.921,steady,1
5M,4g,weak,4300,14400,2874,5.01,steady,1
5M,4g,weak,4300,18606,2068,8.997,buffering,2
5M,4g,weak,2850,13298,2839,4.684,buffering,3
5M,4g,weak,2850,4064,3597,1.13,buffering,4
5M,4g,weak,2850,7988,2002,3.991,buffering,5
5M,4g,weak,1850,6786,1941,3.4960000000000004,buffering,6
5M,4g,weak,1850,5229,2595,2.015,buffering,7
5M,4g,weak,1850,8628,3041,2.837,buffering,8
5M,4g,weak,1850,15378,3128,4.917,buffering,9
5M,4g,weak,1850,5368,1349,3.978,buffering,10
5M,4g,weak,1850,2643,3106,0.851,buffering,11
5M,4g,weak,1850,5553,4252,1.3059999999999998,steady,1
5M,4g,weak,1850,3052,4528,0.6739999999999999,steady,1
5M,4g,weak,1850,4996,3429,1.457,steady,1
5M,4g,weak,1850,6397,3554,1.8,steady,1
5M,4g,weak,2850,11902,3319,3.586,steady,1
5M,4g,weak,2850,11308,6096,1.855,steady,1
5M,4g,weak,2850,13649,3742,3.647,steady,1
5M,4g,weak,2850,21756,5416,4.017,buffering,2
5M,4g,weak,2850,13183,5807,2.27,buffering,3
5M,4g,weak,4300,15726,3506,4.485,steady,1
5M,4g,weak,4300,13769,7153,1.925,buffering,2
5M,4g,weak,4300,16508,4803,3.4370000000000003,steady,1
5M,4g,weak,4300,17427,5612,3.105,steady,1
5M,4g,weak,4300,18493,8360,2.212,steady,1
5M,4g,weak,4300,15428,7435,2.075,steady,1
5M,4g,weak,4300,17579,7106,2.474,steady,1
5M,4g,weak,4300,17824,1473,12.101,steady,1
5M,4g,weak,2850,6148,1788,3.438,buffering,2
5M,4g,weak,2850,14267,8387,1.701,buffering,3
5M,4g,weak,2850,9962,2514,3.963,buffering,4
5M,4g,weak,1850,6320,2983,2.119,buffering,5
5M,4g,weak,1850,5609,5615,0.999,buffering,6
5M,4g,weak,2850,15261,7036,2.169,buffering,7
5M,4g,weak,2850,16690,6727,2.4810000000000003,steady,1
5M,4g,weak,2850,16152,4593,3.517,steady,1
5M,4g,weak,4300,10543,5357,1.968,buffering,2
5M,4g,weak,4300,26645,2227,11.964,steady,1
5M,4g,weak,4300,14929,2593,5.758,buffering,2
5M,4g,weak,2850,8823,902,9.785,buffering,3
5M,4g,weak,1850,6176,5361,1.152,buffering,4
5M,4g,weak,1850,10963,825,13.288,buffering,5
5M,4g,weak,1200,6826,1105,6.177,steady,1
5M,4g,weak,1200,4231,1360,3.112,buffering,2
5M,4g,weak,1200,2893,736,3.931,buffering,3
5M,4g,weak,750,2950,679,4.345,buffering,4
5M,4g,weak,750,1957,744,2.63,buffering,5
5M,4g,weak,750,2422,747,3.244,buffering,6
5M,4g,weak,750,2595,763,3.401,buffering,7
5M,4g,weak,300,1594,2287,0.697,buffering,8
5M,4g,weak,750,5573,1722,3.237,buffering,9
5M,4g,weak,750,3043,3121,0.975,buffering,10
5M,4g,weak,1200,4568,2092,2.1830000000000003,steady,1
5M,4g,weak,1200,4777,4567,1.046,steady,1
5M,4g,weak,1850,7156,1979,3.615,steady,1
5M,4g,weak,1850,6023,2149,2.803,buffering,2
5M,4g,weak,1850,9868,4449,2.218,steady,1
5M,4g,weak,1850,9259,4493,2.061,steady,1
5M,4g,weak,2850,12281,6073,2.022,steady,1
5M,4g,weak,2850,12646,5313,2.38,steady,1
5M,4g,weak,2850,6939,2829,2.453,steady,1
5M,4g,weak,4300,9187,4539,2.024,steady,1
5M,4g,weak,4300,19401,8442,2.298,steady,1
5M,4g,weak,4300,10616,7296,1.4549999999999998,steady,1
5M,4g,weak,4300,65605,5448,12.042000000000002,steady,1
5M,4g,weak,4300,21303,5327,3.999,steady,1
5M,4g,weak,4300,11462,3840,2.985,buffering,2
5M,4g,weak,4300,18991,4112,4.618,buffering,3
5M,4g,weak,4300,14431,5613,2.571,buffering,4
5M,4g,weak,4300,15389,6073,2.5340000000000003,buffering,5
5M,4g,weak,4300,18350,4970,3.692,buffering,6
5M,4g,weak,4300,14129,5765,2.451,buffering,7
5M,4g,weak,4300,10654,6878,1.549,buffering,8
5M,4g,weak,4300,9796,4852,2.019,buffering,9
