downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,weak,300,15,355,0.041,steady,1
50M,wifi,weak,300,1235,6823,0.181,buffering,2
50M,wifi,weak,300,1401,14154,0.0989999999999999,buffering,3
50M,wifi,weak,1200,5440,10284,0.529,buffering,4
50M,wifi,weak,4300,12185,14842,0.8210000000000001,buffering,5
50M,wifi,weak,4300,5760,8470,0.6799999999999999,steady,1
50M,wifi,weak,4300,20137,6536,3.081,steady,1
50M,wifi,weak,4300,29101,10000,2.91,steady,1
50M,wifi,weak,4300,20305,8629,2.353,steady,1
50M,wifi,weak,4300,13260,6196,2.14,steady,1
50M,wifi,weak,4300,8446,10030,0.842,steady,1
50M,wifi,weak,4300,8753,9402,0.931,steady,1
50M,wifi,weak,4300,14400,16382,0.879,steady,1
50M,wifi,weak,4300,18606,14731,1.263,steady,1
50M,wifi,weak,4300,17713,9088,1.949,steady,1
50M,wifi,weak,4300,6568,10874,0.604,steady,1
50M,wifi,weak,4300,14294,9216,1.551,steady,1
50M,wifi,weak,4300,17813,11996,1.485,steady,1
50M,wifi,weak,4300,14222,6844,2.078,steady,1
50M,wifi,weak,4300,21031,4488,4.686,steady,1
50M,wifi,weak,4300,33953,7360,4.613,buffering,2
50M,wifi,weak,4300,11485,6273,1.831,buffering,3
50M,wifi,weak,4300,6012,8828,0.681,steady,1
50M,wifi,weak,4300,12262,3955,3.1,steady,1
50M,wifi,weak,4300,7742,5748,1.347,steady,1
50M,wifi,weak,4300,13703,6607,2.074,steady,1
50M,wifi,weak,4300,16720,2491,6.710999999999999,steady,1
50M,wifi,weak,1850,7732,10435,0.741,steady,1
50M,wifi,weak,4300,16972,4140,4.098999999999999,buffering,2
50M,wifi,weak,4300,20467,13971,1.465,buffering,3
50M,wifi,weak,4300,34773,7786,4.466,steady,1
50M,wifi,weak,4300,19760,11804,1.674,buffering,2
50M,wifi,weak,4300,15726,8459,1.859,steady,1
50M,wifi,weak,4300,13769,13002,1.059,steady,1
50M,wifi,weak,4300,16508,12958,1.274,steady,1
50M,wifi,weak,4300,17427,5357,3.253,steady,1
50M,wifi,weak,4300,18493,2387,7.747,steady,1
50M,wifi,weak,1200,3671,7198,0.51,buffering,2
50M,wifi,weak,4300,17579,8733,2.013,buffering,3
50M,wifi,weak,4300,17824,7524,2.369,steady,1
50M,wifi,weak,4300,9649,10781,0.895,steady,1
50M,wifi,weak,4300,21508,8921,2.411,steady,1
50M,wifi,weak,4300,15301,11024,1.388,steady,1
50M,wifi,weak,4300,14588,10710,1.362,steady,1
50M,wifi,weak,4300,14330,12582,1.139,steady,1
50M,wifi,weak,4300,22966,7202,3.189,steady,1
50M,wifi,weak,4300,23917,8908,2.685,steady,1
50M,wifi,weak,4300,24089,12739,1.891,steady,1
50M,wifi,weak,4300,10543,8414,1.253,steady,1
50M,wifi,weak,4300,26645,12947,2.058,steady,1
50M,wifi,weak,4300,14929,14650,1.019,steady,1
50M,wifi,weak,4300,12626,10384,1.216,steady,1
50M,wifi,weak,4300,13513,15217,0.888,steady,1
50M,wifi,weak,4300,23227,11820,1.965,steady,1
50M,wifi,weak,4300,20750,7772,2.6700000000000004,steady,1
50M,wifi,weak,4300,14577,4416,3.301,steady,1
50M,wifi,weak,4300,13987,8791,1.591,steady,1
50M,wifi,weak,4300,26133,12104,2.1590000000000003,steady,1
50M,wifi,weak,4300,13335,7063,1.888,steady,1
50M,wifi,weak,4300,14796,7561,1.957,steady,1
50M,wifi,weak,4300,11435,9666,1.183,steady,1
50M,wifi,weak,4300,29296,7539,3.886,steady,1
50M,wifi,weak,4300,24721,12423,1.99,buffering,2
50M,wifi,weak,4300,15068,12361,1.219,steady,1
50M,wifi,weak,4300,15640,13448,1.163,steady,1
50M,wifi,weak,4300,19531,11801,1.655,steady,1
50M,wifi,weak,4300,16972,14299,1.1869999999999998,steady,1
50M,wifi,weak,4300,13792,10232,1.348,steady,1
50M,wifi,weak,4300,24041,14677,1.638,steady,1
50M,wifi,weak,4300,22317,5731,3.894,steady,1
50M,wifi,weak,4300,17718,8330,2.127,buffering,2
50M,wifi,weak,4300,20396,4863,4.194,steady,1
50M,wifi,weak,4300,11253,12475,0.902,buffering,2
50M,wifi,weak,4300,9187,11455,0.802,steady,1
50M,wifi,weak,4300,19401,12647,1.534,steady,1
50M,wifi,weak,4300,10616,14603,0.727,steady,1
50M,wifi,weak,4300,65605,9854,6.658,steady,1
50M,wifi,weak,2850,13731,14141,0.971,buffering,2
50M,wifi,weak,4300,11462,14546,0.788,steady,1
50M,wifi,weak,4300,18991,2310,8.222,steady,1
50M,wifi,weak,1200,5280,16247,0.325,buffering,2
50M,wifi,weak,4300,15389,20222,0.761,buffering,3
50M,wifi,weak,4300,18350,12185,1.506,steady,1
50M,wifi,weak,4300,14129,11629,1.215,steady,1
50M,wifi,weak,4300,10654,14615,0.7290000000000001,steady,1
50M,wifi,weak,4300,9796,11552,0.848,steady,1
