downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,4g,weak,300,15,16,0.903,steady,1
5M,4g,weak,300,1235,2384,0.518,steady,1
5M,4g,weak,300,1401,3156,0.4439999999999999,buffering,2
5M,4g,weak,300,1447,2150,0.673,steady,1
5M,4g,weak,300,1758,1508,1.166,steady,1
5M,4g,weak,300,450,1197,0.376,steady,1
5M,4g,weak,1200,4000,2602,1.537,steady,1
5M,4g,weak,1200,6904,1751,3.944,steady,1
5M,4g,weak,1200,5552,1792,3.0980000000000003,buffering,2
5M,4g,weak,1200,4510,2555,1.765,steady,1
5M,4g,weak,1850,4905,4372,1.122,steady,1
5M,4g,weak,1850,4669,2272,2.055,steady,1
5M,4g,weak,1850,6748,4820,1.4,steady,1
5M,4g,weak,1850,8680,4566,1.901,steady,1
5M,4g,weak,1850,8246,3660,2.253,steady,1
5M,4g,weak,1850,2450,5115,0.479,steady,1
5M,4g,weak,2850,7988,3624,2.204,steady,1
5M,4g,weak,2850,11077,3917,2.828,steady,1
5M,4g,weak,2850,8537,2848,2.997,steady,1
5M,4g,weak,2850,13257,2418,5.481999999999999,steady,1
5M,4g,weak,1850,15378,2279,6.749,buffering,2
5M,4g,weak,1850,5368,2440,2.2,buffering,3
5M,4g,weak,4300,6012,2311,2.6020000000000003,steady,1
5M,4g,weak,4300,12262,5128,2.391,buffering,2
5M,4g,weak,2850,4932,4575,1.078,buffering,3
5M,4g,weak,2850,8203,4730,1.734,steady,1
5M,4g,weak,2850,10303,5775,1.784,steady,1
5M,4g,weak,2850,11902,3126,3.807,steady,1
5M,4g,weak,2850,11308,3682,3.071,buffering,2
5M,4g,weak,2850,13649,1212,11.257,steady,1
5M,4g,weak,300,2116,1747,1.211,buffering,2
5M,4g,weak,750,3581,1827,1.96,steady,1
5M,4g,weak,750,2689,1131,2.377,buffering,2
5M,4g,weak,750,2303,1817,1.268,buffering,3
5M,4g,weak,750,3119,722,4.322,steady,1
5M,4g,weak,750,3140,719,4.365,buffering,2
5M,4g,weak,750,3392,1301,2.607,buffering,3
5M,4g,weak,750,2084,1008,2.067,steady,1
5M,4g,weak,750,2925,1449,2.019,steady,1
5M,4g,weak,750,3415,1206,2.8320000000000003,steady,1
5M,4g,weak,750,1442,394,3.661,steady,1
5M,4g,weak,300,1578,967,1.633,buffering,2
5M,4g,weak,300,1033,1238,0.8350000000000001,steady,1
5M,4g,weak,300,1068,2211,0.483,steady,1
5M,4g,weak,300,892,1753,0.509,steady,1
5M,4g,weak,300,1642,1736,0.946,steady,1
5M,4g,weak,750,4765,3782,1.26,steady,1
5M,4g,weak,750,4576,2904,1.5759999999999998,steady,1
5M,4g,weak,1200,2768,2857,0.969,steady,1
5M,4g,weak,1850,11354,2067,5.492999999999999,steady,1
5M,4g,weak,1850,6525,1809,3.608,buffering,2
5M,4g,weak,1850,5748,2511,2.289,buffering,3
5M,4g,weak,1850,6176,1629,3.79,steady,1
5M,4g,weak,1850,10963,1618,6.777,buffering,2
5M,4g,weak,1850,10067,2143,4.697,buffering,3
5M,4g,weak,1850,6436,574,11.219,buffering,4
5M,4g,weak,750,1592,829,1.922,buffering,5
5M,4g,weak,300,1131,878,1.2879999999999998,buffering,6
5M,4g,weak,300,749,1145,0.654,buffering,7
5M,4g,weak,300,929,885,1.049,steady,1
5M,4g,weak,300,1063,550,1.933,steady,1
5M,4g,weak,300,1594,725,2.199,steady,1
5M,4g,weak,300,2370,1287,1.842,steady,1
5M,4g,weak,750,3043,792,3.84,steady,1
5M,4g,weak,750,2901,509,5.702,buffering,2
5M,4g,weak,750,2850,393,7.252,buffering,3
5M,4g,weak,300,1065,695,1.533,buffering,4
5M,4g,weak,300,988,916,1.079,buffering,5
5M,4g,weak,300,1452,732,1.984,steady,1
5M,4g,weak,300,1381,1076,1.283,steady,1
5M,4g,weak,750,3348,1655,2.023,steady,1
5M,4g,weak,750,2706,1825,1.483,steady,1
5M,4g,weak,1200,2516,1758,1.431,steady,1
5M,4g,weak,1200,2136,2108,1.013,steady,1
5M,4g,weak,1200,6257,1137,5.505,steady,1
5M,4g,weak,1200,3415,2128,1.605,buffering,2
5M,4g,weak,750,4774,2186,2.184,steady,1
5M,4g,weak,750,3364,2681,1.255,steady,1
5M,4g,weak,750,2865,2459,1.165,steady,1
5M,4g,weak,750,4699,3368,1.395,steady,1
5M,4g,weak,1200,5280,2415,2.186,steady,1
5M,4g,weak,1200,5594,684,8.184000000000001,steady,1
5M,4g,weak,300,1679,247,6.808,buffering,2
5M,4g,weak,300,1319,1283,1.028,buffering,3
5M,4g,weak,300,953,1357,0.702,buffering,4
5M,4g,weak,300,726,1493,0.486,buffering,5
