downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,wifi,weak,300,16,284,0.056,steady,1
5M,wifi,weak,300,1295,3678,0.352,buffering,2
5M,wifi,weak,300,1133,6588,0.172,buffering,3
5M,wifi,weak,300,1097,5960,0.184,buffering,4
5M,wifi,weak,300,1223,4416,0.277,buffering,5
5M,wifi,weak,750,2458,5153,0.477,steady,1
5M,wifi,weak,4300,14276,4235,3.371,steady,1
5M,wifi,weak,2850,12974,3769,3.442,steady,1
5M,wifi,weak,1200,10170,3105,3.275,steady,1
5M,wifi,weak,1850,8755,1360,6.435,steady,1
5M,wifi,weak,1200,6215,1399,4.443,buffering,2
5M,wifi,weak,750,2933,2993,0.98,buffering,3
5M,wifi,weak,1200,4162,4291,0.97,buffering,4
5M,wifi,weak,1850,4437,4622,0.96,steady,1
5M,wifi,weak,2850,6053,2851,2.123,steady,1
5M,wifi,weak,1850,7873,5810,1.355,steady,1
5M,wifi,weak,2850,10818,4372,2.474,steady,1
5M,wifi,weak,4300,11312,5304,2.133,steady,1
5M,wifi,weak,4300,11374,5586,2.036,steady,1
5M,wifi,weak,4300,8777,4279,2.051,steady,1
5M,wifi,weak,4300,11770,6179,1.905,steady,1
5M,wifi,weak,2850,13502,4120,3.277,steady,1
5M,wifi,weak,2850,14114,3873,3.644,steady,1
5M,wifi,weak,2850,10834,3683,2.942,buffering,2
5M,wifi,weak,2850,11651,4064,2.867,steady,1
5M,wifi,weak,1200,11623,4360,2.666,steady,1
5M,wifi,weak,1850,10571,5323,1.986,steady,1
5M,wifi,weak,2850,8608,2343,3.674,steady,1
5M,wifi,weak,1200,7733,2640,2.929,buffering,2
5M,wifi,weak,750,7219,4661,1.549,steady,1
5M,wifi,weak,750,6896,4472,1.542,steady,1
5M,wifi,weak,1850,8314,4104,2.026,steady,1
5M,wifi,weak,1850,8914,4709,1.893,steady,1
5M,wifi,weak,1850,10857,4380,2.479,steady,1
5M,wifi,weak,1850,8813,4987,1.767,steady,1
5M,wifi,weak,4300,7084,4489,1.5779999999999998,steady,1
5M,wifi,weak,4300,10485,5152,2.035,steady,1
5M,wifi,weak,4300,11984,3652,3.282,steady,1
5M,wifi,weak,4300,6890,2428,2.838,steady,1
5M,wifi,weak,4300,2807,8638,0.325,steady,1
5M,wifi,weak,4300,3667,4075,0.9,steady,1
5M,wifi,weak,4300,3127,6119,0.511,steady,1
5M,wifi,weak,4300,4058,3868,1.049,steady,1
5M,wifi,weak,4300,6058,5099,1.188,steady,1
5M,wifi,weak,4300,4997,2243,2.228,steady,1
5M,wifi,weak,2850,10308,4052,2.544,steady,1
5M,wifi,weak,1850,8659,4268,2.029,steady,1
5M,wifi,weak,4300,8581,2931,2.9280000000000004,steady,1
5M,wifi,weak,4300,7318,4853,1.508,steady,1
5M,wifi,weak,4300,6354,6854,0.927,steady,1
5M,wifi,weak,4300,9185,5888,1.56,steady,1
5M,wifi,weak,4300,11808,1884,6.269,steady,1
5M,wifi,weak,1850,5688,1798,3.164,buffering,2
5M,wifi,weak,1850,6916,2604,2.656,buffering,3
5M,wifi,weak,2850,6849,1122,6.106,buffering,4
5M,wifi,weak,1200,3054,2013,1.517,buffering,5
5M,wifi,weak,1850,5088,2635,1.931,buffering,6
5M,wifi,weak,1850,5240,6328,0.8280000000000001,steady,1
5M,wifi,weak,1200,5432,5163,1.052,steady,1
5M,wifi,weak,1200,5214,5183,1.006,steady,1
5M,wifi,weak,1850,7251,4457,1.627,steady,1
5M,wifi,weak,2850,8580,5047,1.7,steady,1
5M,wifi,weak,2850,10262,2565,4.001,steady,1
5M,wifi,weak,2850,11686,2603,4.489,buffering,2
5M,wifi,weak,1850,7921,3684,2.15,buffering,3
5M,wifi,weak,2850,9119,3779,2.413,steady,1
5M,wifi,weak,2850,7623,5204,1.465,steady,1
5M,wifi,weak,1850,6825,5828,1.1709999999999998,steady,1
5M,wifi,weak,1850,7856,4773,1.646,steady,1
5M,wifi,weak,2850,11680,6320,1.848,steady,1
5M,wifi,weak,2850,11410,5013,2.276,steady,1
5M,wifi,weak,1850,11848,4140,2.862,steady,1
5M,wifi,weak,1850,10798,5072,2.129,steady,1
5M,wifi,weak,4300,13085,2892,4.525,steady,1
5M,wifi,weak,2850,8817,3659,2.41,buffering,2
5M,wifi,weak,1850,10292,5141,2.002,steady,1
5M,wifi,weak,1850,7771,6124,1.269,steady,1
5M,wifi,weak,1850,9824,3310,2.968,steady,1
5M,wifi,weak,750,7165,3726,1.923,steady,1
5M,wifi,weak,750,8191,4262,1.922,steady,1
5M,wifi,weak,1200,9843,5912,1.665,steady,1
5M,wifi,weak,4300,6088,6094,0.999,steady,1
5M,wifi,weak,2850,11930,6386,1.868,steady,1
5M,wifi,weak,2850,13625,4808,2.834,steady,1
5M,wifi,weak,2850,11605,4023,2.885,steady,1
5M,wifi,weak,4300,12208,5947,2.053,steady,1
