downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,wifi,weak,300,15,205,0.071,steady,1
5M,wifi,weak,300,1235,4660,0.265,buffering,2
5M,wifi,weak,300,1401,4849,0.289,buffering,3
5M,wifi,weak,300,1447,5419,0.267,buffering,4
5M,wifi,weak,300,1758,4005,0.439,buffering,5
5M,wifi,weak,1850,2392,3840,0.623,steady,1
5M,wifi,weak,2850,12360,4322,2.86,steady,1
5M,wifi,weak,1850,11739,4620,2.541,steady,1
5M,wifi,weak,1850,8892,5212,1.706,steady,1
5M,wifi,weak,2850,9840,3760,2.617,steady,1
5M,wifi,weak,4300,8446,2963,2.85,steady,1
5M,wifi,weak,4300,8753,3832,2.284,steady,1
5M,wifi,weak,2850,9919,6172,1.607,steady,1
5M,wifi,weak,1850,8680,6213,1.397,steady,1
5M,wifi,weak,1850,8246,3310,2.491,steady,1
5M,wifi,weak,4300,6568,7186,0.914,steady,1
5M,wifi,weak,4300,14294,3366,4.247,steady,1
5M,wifi,weak,2850,11077,3127,3.543,buffering,2
5M,wifi,weak,2850,8537,3442,2.48,buffering,3
5M,wifi,weak,1850,8628,2730,3.16,steady,1
5M,wifi,weak,750,6854,3691,1.857,steady,1
5M,wifi,weak,2850,7965,3637,2.1900000000000004,steady,1
5M,wifi,weak,4300,6012,2200,2.733,steady,1
5M,wifi,weak,2850,8216,1616,5.085,steady,1
5M,wifi,weak,2850,4932,3399,1.451,buffering,2
5M,wifi,weak,1850,4996,4402,1.135,steady,1
5M,wifi,weak,1850,6397,4592,1.393,steady,1
5M,wifi,weak,1850,7732,3868,1.999,steady,1
5M,wifi,weak,1850,7399,3318,2.23,steady,1
5M,wifi,weak,1850,8676,2787,3.113,steady,1
5M,wifi,weak,1200,8754,2280,3.839,steady,1
5M,wifi,weak,1850,8714,2977,2.927,buffering,2
5M,wifi,weak,1850,6820,4816,1.416,steady,1
5M,wifi,weak,1850,6036,1180,5.1160000000000005,steady,1
5M,wifi,weak,1200,4993,2492,2.004,buffering,2
5M,wifi,weak,1200,5188,3493,1.485,steady,1
5M,wifi,weak,1200,5431,3922,1.385,steady,1
5M,wifi,weak,1850,6041,3508,1.722,steady,1
5M,wifi,weak,1200,4708,3508,1.342,steady,1
5M,wifi,weak,1850,7805,3815,2.046,steady,1
5M,wifi,weak,4300,9649,3669,2.63,steady,1
5M,wifi,weak,1850,9414,2565,3.67,steady,1
5M,wifi,weak,1850,6371,2221,2.868,buffering,2
5M,wifi,weak,1850,6320,3178,1.989,steady,1
5M,wifi,weak,1850,5609,3014,1.861,steady,1
5M,wifi,weak,1200,6512,2728,2.387,steady,1
5M,wifi,weak,1200,7425,3996,1.858,steady,1
5M,wifi,weak,1200,7182,3540,2.029,steady,1
5M,wifi,weak,2850,6900,3209,2.15,steady,1
5M,wifi,weak,1200,7353,2131,3.451,steady,1
5M,wifi,weak,1850,6525,1798,3.63,steady,1
5M,wifi,weak,1850,5748,2390,2.405,buffering,2
5M,wifi,weak,1850,6176,4424,1.396,steady,1
5M,wifi,weak,750,4846,3030,1.599,steady,1
5M,wifi,weak,1200,6826,4087,1.67,steady,1
5M,wifi,weak,1850,6436,2307,2.789,steady,1
5M,wifi,weak,2850,8347,4180,1.997,steady,1
5M,wifi,weak,1850,8674,3952,2.195,steady,1
5M,wifi,weak,2850,8595,3711,2.3160000000000003,steady,1
5M,wifi,weak,2850,9810,3092,3.173,steady,1
5M,wifi,weak,2850,7913,5286,1.497,steady,1
5M,wifi,weak,1200,7896,3695,2.137,steady,1
5M,wifi,weak,1200,7986,4879,1.637,steady,1
5M,wifi,weak,2850,10071,2877,3.5,steady,1
5M,wifi,weak,2850,10743,3166,3.393,steady,1
5M,wifi,weak,1850,7688,3039,2.53,steady,1
5M,wifi,weak,1850,7156,2762,2.591,steady,1
5M,wifi,weak,1850,6023,1228,4.904,steady,1
5M,wifi,weak,750,3848,2084,1.847,buffering,2
5M,wifi,weak,1200,5818,4195,1.387,steady,1
5M,wifi,weak,1200,5449,3355,1.624,steady,1
5M,wifi,weak,1200,4741,3386,1.4,steady,1
5M,wifi,weak,2850,6939,3312,2.095,steady,1
5M,wifi,weak,2850,5722,3163,1.809,steady,1
5M,wifi,weak,1850,9191,3055,3.008,steady,1
5M,wifi,weak,2850,7595,2436,3.118,steady,1
5M,wifi,weak,750,4774,3520,1.356,steady,1
5M,wifi,weak,1850,8763,2731,3.209,steady,1
5M,wifi,weak,2850,8392,2210,3.798,steady,1
5M,wifi,weak,1200,7008,2937,2.386,buffering,2
5M,wifi,weak,1850,7452,3306,2.254,steady,1
5M,wifi,weak,1850,7952,4090,1.944,steady,1
5M,wifi,weak,1200,5903,2504,2.357,steady,1
5M,wifi,weak,1850,7095,3483,2.037,steady,1
5M,wifi,weak,2850,7506,1793,4.187,steady,1
5M,wifi,weak,2850,6887,2771,2.485,buffering,2
