downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,weak,300,16,159,0.1,steady,1
50M,wifi,weak,300,1295,4960,0.261,steady,1
50M,wifi,weak,300,1133,7172,0.158,buffering,2
50M,wifi,weak,1850,5973,6064,0.985,buffering,3
50M,wifi,weak,1850,7404,6605,1.121,buffering,4
50M,wifi,weak,1850,6919,2260,3.061,steady,1
50M,wifi,weak,1850,6260,4089,1.531,steady,1
50M,wifi,weak,1850,8130,6468,1.257,steady,1
50M,wifi,weak,1850,15121,4459,3.391,steady,1
50M,wifi,weak,1850,8755,6548,1.337,steady,1
50M,wifi,weak,1850,10436,6781,1.539,steady,1
50M,wifi,weak,1850,8475,7761,1.092,steady,1
50M,wifi,weak,1850,6619,5638,1.174,steady,1
50M,wifi,weak,4300,10804,6673,1.619,steady,1
50M,wifi,weak,4300,8772,6502,1.349,steady,1
50M,wifi,weak,4300,16211,6425,2.523,steady,1
50M,wifi,weak,4300,16041,1543,10.398,steady,1
50M,wifi,weak,4300,11312,2780,4.069,buffering,2
50M,wifi,weak,1850,4543,4145,1.096,buffering,3
50M,wifi,weak,4300,8777,5431,1.616,buffering,4
50M,wifi,weak,4300,11770,6073,1.938,buffering,5
50M,wifi,weak,4300,20852,8297,2.513,steady,1
50M,wifi,weak,1850,9467,9373,1.01,steady,1
50M,wifi,weak,4300,16022,5757,2.783,steady,1
50M,wifi,weak,4300,17265,4443,3.886,steady,1
50M,wifi,weak,4300,38105,4265,8.935,buffering,2
50M,wifi,weak,1850,10571,6142,1.721,buffering,3
50M,wifi,weak,1850,5361,9087,0.5900000000000001,buffering,4
50M,wifi,weak,4300,26128,5766,4.531000000000001,steady,1
50M,wifi,weak,1850,18061,7513,2.4040000000000004,buffering,2
50M,wifi,weak,1850,18789,4682,4.013,steady,1
50M,wifi,weak,1850,8314,4925,1.6880000000000002,buffering,2
50M,wifi,weak,1850,8914,10038,0.888,steady,1
50M,wifi,weak,1850,10857,7662,1.417,steady,1
50M,wifi,weak,1850,8813,8183,1.077,steady,1
50M,wifi,weak,4300,7084,5778,1.226,steady,1
50M,wifi,weak,4300,10485,9910,1.058,steady,1
50M,wifi,weak,4300,11984,9444,1.269,steady,1
50M,wifi,weak,4300,6890,3148,2.189,steady,1
50M,wifi,weak,4300,2807,11553,0.243,steady,1
50M,wifi,weak,4300,3667,8223,0.446,steady,1
50M,wifi,weak,4300,3127,1228,2.546,steady,1
50M,wifi,weak,4300,4058,7642,0.531,steady,1
50M,wifi,weak,4300,6058,6113,0.991,steady,1
50M,wifi,weak,4300,4997,7018,0.712,steady,1
50M,wifi,weak,4300,15181,5561,2.73,steady,1
50M,wifi,weak,4300,18807,5401,3.482,steady,1
50M,wifi,weak,4300,8581,3908,2.196,steady,1
50M,wifi,weak,4300,7318,4545,1.61,steady,1
50M,wifi,weak,4300,6354,7619,0.8340000000000001,steady,1
50M,wifi,weak,4300,9185,5372,1.71,steady,1
50M,wifi,weak,4300,11808,8779,1.345,steady,1
50M,wifi,weak,4300,12796,8741,1.464,steady,1
50M,wifi,weak,4300,15220,8331,1.827,steady,1
50M,wifi,weak,4300,10239,9419,1.087,steady,1
50M,wifi,weak,4300,10236,9620,1.0639999999999998,steady,1
50M,wifi,weak,4300,11984,9275,1.2919999999999998,steady,1
50M,wifi,weak,4300,11856,4518,2.624,steady,1
50M,wifi,weak,4300,17144,6169,2.779,steady,1
50M,wifi,weak,4300,17120,4443,3.853,steady,1
50M,wifi,weak,4300,16822,2341,7.185,buffering,2
50M,wifi,weak,4300,13561,6062,2.237,buffering,3
50M,wifi,weak,1850,6709,5229,1.283,buffering,4
50M,wifi,weak,4300,17495,8264,2.117,steady,1
50M,wifi,weak,1850,7921,3987,1.987,steady,1
50M,wifi,weak,4300,13441,4617,2.911,steady,1
50M,wifi,weak,4300,10963,9833,1.115,steady,1
50M,wifi,weak,4300,15333,9447,1.623,steady,1
50M,wifi,weak,4300,17315,7091,2.442,steady,1
50M,wifi,weak,4300,17023,5458,3.119,steady,1
50M,wifi,weak,4300,16475,6327,2.604,steady,1
50M,wifi,weak,4300,27163,10094,2.691,steady,1
50M,wifi,weak,1850,10798,2990,3.611,steady,1
50M,wifi,weak,4300,13085,2697,4.852,buffering,2
50M,wifi,weak,1850,5437,2733,1.989,buffering,3
50M,wifi,weak,4300,25109,3388,7.412,steady,1
50M,wifi,weak,1850,7771,5473,1.42,buffering,2
50M,wifi,weak,1850,9824,8521,1.153,buffering,3
50M,wifi,weak,1850,19538,8138,2.401,steady,1
50M,wifi,weak,1850,19878,2902,6.848999999999999,steady,1
50M,wifi,weak,1850,14985,6096,2.458,buffering,2
50M,wifi,weak,1850,2726,4156,0.656,buffering,3
50M,wifi,weak,4300,17329,7312,2.37,steady,1
50M,wifi,weak,1850,8939,7424,1.204,steady,1
50M,wifi,weak,4300,17863,4643,3.847,steady,1
50M,wifi,weak,4300,12208,5800,2.105,buffering,2
