downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,weak,300,16,26,0.614,steady,1
50M,wifi,weak,300,1295,1585,0.817,steady,1
50M,wifi,weak,300,1133,6550,0.173,buffering,2
50M,wifi,weak,300,1097,2834,0.387,buffering,3
50M,wifi,weak,300,1223,5206,0.235,buffering,4
50M,wifi,weak,300,1165,6973,0.167,steady,1
50M,wifi,weak,2850,9813,11491,0.8540000000000001,steady,1
50M,wifi,weak,4300,19534,10018,1.95,steady,1
50M,wifi,weak,4300,33450,10211,3.276,steady,1
50M,wifi,weak,4300,21383,8048,2.657,steady,1
50M,wifi,weak,4300,25144,5540,4.539,steady,1
50M,wifi,weak,4300,20232,5170,3.913,buffering,2
50M,wifi,weak,4300,16336,4961,3.293,buffering,3
50M,wifi,weak,4300,10804,6070,1.78,buffering,4
50M,wifi,weak,4300,8772,7292,1.2029999999999998,steady,1
50M,wifi,weak,4300,16211,6320,2.565,steady,1
50M,wifi,weak,4300,16041,2433,6.592,steady,1
50M,wifi,weak,4300,11312,9603,1.178,buffering,2
50M,wifi,weak,4300,11374,6112,1.861,steady,1
50M,wifi,weak,4300,8777,6720,1.3059999999999998,steady,1
50M,wifi,weak,4300,11770,8725,1.349,steady,1
50M,wifi,weak,4300,20852,6893,3.025,steady,1
50M,wifi,weak,4300,21456,7178,2.989,steady,1
50M,wifi,weak,4300,16022,8842,1.812,steady,1
50M,wifi,weak,4300,17265,8361,2.065,steady,1
50M,wifi,weak,4300,38105,9694,3.931,steady,1
50M,wifi,weak,4300,24234,4951,4.895,buffering,2
50M,wifi,weak,4300,13749,6578,2.09,buffering,3
50M,wifi,weak,4300,26128,7571,3.451,steady,1
50M,wifi,weak,4300,40873,6891,5.931,steady,1
50M,wifi,weak,4300,45910,7566,6.068,buffering,2
50M,wifi,weak,4300,20032,6117,3.275,buffering,3
50M,wifi,weak,4300,21574,4939,4.367999999999999,buffering,4
50M,wifi,weak,4300,26547,7192,3.691,buffering,5
50M,wifi,weak,4300,21315,7165,2.975,buffering,6
50M,wifi,weak,4300,7084,8671,0.8170000000000001,buffering,7
50M,wifi,weak,4300,10485,9000,1.1649999999999998,steady,1
50M,wifi,weak,4300,11984,10606,1.13,steady,1
50M,wifi,weak,4300,6890,11149,0.618,steady,1
50M,wifi,weak,4300,2807,11366,0.247,steady,1
50M,wifi,weak,4300,3667,12432,0.295,steady,1
50M,wifi,weak,4300,3127,7517,0.416,steady,1
50M,wifi,weak,4300,4058,12113,0.3349999999999999,steady,1
50M,wifi,weak,4300,6058,12115,0.5,steady,1
50M,wifi,weak,4300,4997,4683,1.067,steady,1
50M,wifi,weak,4300,15181,13247,1.146,steady,1
50M,wifi,weak,4300,18807,4240,4.4350000000000005,steady,1
50M,wifi,weak,4300,8581,2224,3.858,buffering,2
50M,wifi,weak,4300,7318,4526,1.617,buffering,3
50M,wifi,weak,2850,4083,5909,0.6910000000000001,steady,1
50M,wifi,weak,4300,9185,4009,2.291,steady,1
50M,wifi,weak,2850,7725,9501,0.813,steady,1
50M,wifi,weak,2850,8504,6342,1.341,steady,1
50M,wifi,weak,4300,15220,9130,1.6669999999999998,steady,1
50M,wifi,weak,4300,10239,5299,1.932,steady,1
50M,wifi,weak,4300,10236,5225,1.959,steady,1
50M,wifi,weak,4300,11984,6402,1.872,steady,1
50M,wifi,weak,4300,11856,7749,1.53,steady,1
50M,wifi,weak,4300,17144,9076,1.889,steady,1
50M,wifi,weak,4300,17120,8011,2.137,steady,1
50M,wifi,weak,4300,16822,8428,1.996,steady,1
50M,wifi,weak,4300,13561,4312,3.145,steady,1
50M,wifi,weak,4300,15398,7005,2.198,steady,1
50M,wifi,weak,4300,17495,7126,2.455,steady,1
50M,wifi,weak,4300,19004,8328,2.282,steady,1
50M,wifi,weak,4300,13441,6647,2.022,steady,1
50M,wifi,weak,4300,10963,6017,1.822,steady,1
50M,wifi,weak,4300,15333,5035,3.045,steady,1
50M,wifi,weak,4300,17315,7943,2.18,steady,1
50M,wifi,weak,4300,17023,6215,2.7390000000000003,steady,1
50M,wifi,weak,4300,16475,5132,3.21,steady,1
50M,wifi,weak,4300,27163,6607,4.111,steady,1
50M,wifi,weak,4300,24546,7709,3.184,buffering,2
50M,wifi,weak,4300,13085,4375,2.991,steady,1
50M,wifi,weak,4300,14473,8163,1.773,steady,1
50M,wifi,weak,4300,25109,6077,4.132,steady,1
50M,wifi,weak,4300,19889,6889,2.887,buffering,2
50M,wifi,weak,4300,26620,7610,3.498,steady,1
50M,wifi,weak,4300,47122,8068,5.841,steady,1
50M,wifi,weak,4300,44565,5179,8.605,buffering,2
50M,wifi,weak,4300,33635,6642,5.063999999999999,buffering,3
50M,wifi,weak,4300,6088,4999,1.218,buffering,4
50M,wifi,weak,4300,17329,5614,3.087,buffering,5
50M,wifi,weak,4300,20140,3953,5.095,buffering,6
50M,wifi,weak,4300,17863,3728,4.792,buffering,7
