downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,wifi,weak,300,15,192,0.076,steady,1
5M,wifi,weak,300,1235,3080,0.401,buffering,2
5M,wifi,weak,300,1401,5209,0.269,buffering,3
5M,wifi,weak,300,1447,4872,0.297,buffering,4
5M,wifi,weak,300,1758,3000,0.586,buffering,5
5M,wifi,weak,750,859,841,1.021,steady,1
5M,wifi,weak,1850,7039,4974,1.415,steady,1
5M,wifi,weak,1850,11739,6954,1.688,steady,1
5M,wifi,weak,1850,8892,7692,1.156,steady,1
5M,wifi,weak,1850,6755,3158,2.139,steady,1
5M,wifi,weak,1850,4905,6540,0.75,steady,1
5M,wifi,weak,4300,8753,7276,1.2029999999999998,steady,1
5M,wifi,weak,4300,14400,6828,2.109,steady,1
5M,wifi,weak,4300,18606,8446,2.203,steady,1
5M,wifi,weak,4300,17713,7997,2.215,steady,1
5M,wifi,weak,4300,6568,5107,1.286,steady,1
5M,wifi,weak,4300,14294,6895,2.073,steady,1
5M,wifi,weak,4300,17813,6417,2.776,steady,1
5M,wifi,weak,4300,14222,8053,1.766,steady,1
5M,wifi,weak,4300,21031,4201,5.006,steady,1
5M,wifi,weak,4300,33953,5203,6.526,buffering,2
5M,wifi,weak,4300,11485,4493,2.556,buffering,3
5M,wifi,weak,4300,6012,4783,1.257,buffering,4
5M,wifi,weak,4300,12262,2459,4.986,steady,1
5M,wifi,weak,2850,4932,8430,0.5850000000000001,buffering,2
5M,wifi,weak,4300,13703,8722,1.571,steady,1
5M,wifi,weak,4300,16720,3372,4.958,steady,1
5M,wifi,weak,4300,17646,7000,2.5210000000000004,buffering,2
5M,wifi,weak,4300,16972,3131,5.42,buffering,3
5M,wifi,weak,4300,20467,2567,7.974,buffering,4
5M,wifi,weak,2850,21756,5944,3.66,buffering,5
5M,wifi,weak,2850,13183,5651,2.333,buffering,6
5M,wifi,weak,2850,10617,5570,1.906,buffering,7
5M,wifi,weak,2850,9407,5517,1.7049999999999998,buffering,8
5M,wifi,weak,4300,16508,5864,2.815,steady,1
5M,wifi,weak,4300,17427,8027,2.171,steady,1
5M,wifi,weak,4300,18493,6614,2.796,steady,1
5M,wifi,weak,4300,15428,8167,1.889,steady,1
5M,wifi,weak,4300,17579,2621,6.707,steady,1
5M,wifi,weak,4300,17824,7278,2.449,buffering,2
5M,wifi,weak,4300,9649,5673,1.7009999999999998,buffering,3
5M,wifi,weak,4300,21508,6403,3.359,steady,1
5M,wifi,weak,4300,15301,8204,1.865,steady,1
5M,wifi,weak,4300,14588,8668,1.6829999999999998,steady,1
5M,wifi,weak,4300,14330,5393,2.657,steady,1
5M,wifi,weak,4300,22966,6962,3.299,steady,1
5M,wifi,weak,4300,23917,7250,3.299,steady,1
5M,wifi,weak,4300,24089,6400,3.764,steady,1
5M,wifi,weak,4300,10543,5511,1.913,buffering,2
5M,wifi,weak,4300,26645,6922,3.849,steady,1
5M,wifi,weak,4300,14929,5668,2.634,buffering,2
5M,wifi,weak,4300,12626,4981,2.535,steady,1
5M,wifi,weak,4300,13513,3407,3.966,steady,1
5M,wifi,weak,4300,23227,6676,3.479,buffering,2
5M,wifi,weak,4300,20750,6623,3.133,steady,1
5M,wifi,weak,4300,14577,4133,3.527,steady,1
5M,wifi,weak,4300,13987,7681,1.821,steady,1
5M,wifi,weak,4300,26133,7065,3.699,steady,1
5M,wifi,weak,4300,13335,3359,3.97,steady,1
5M,wifi,weak,4300,14796,8513,1.738,buffering,2
5M,wifi,weak,4300,11435,5476,2.088,steady,1
5M,wifi,weak,4300,29296,5860,4.9990000000000006,steady,1
5M,wifi,weak,4300,24721,5675,4.356,buffering,2
5M,wifi,weak,4300,15068,5524,2.728,buffering,3
5M,wifi,weak,4300,15640,5816,2.689,buffering,4
5M,wifi,weak,4300,19531,2033,9.607,steady,1
5M,wifi,weak,2850,11193,8064,1.388,buffering,2
5M,wifi,weak,4300,13792,5730,2.407,buffering,3
5M,wifi,weak,4300,24041,5341,4.501,buffering,4
5M,wifi,weak,4300,22317,5545,4.025,buffering,5
5M,wifi,weak,4300,17718,6429,2.756,buffering,6
5M,wifi,weak,4300,20396,3506,5.817,buffering,7
5M,wifi,weak,4300,11253,7379,1.525,buffering,8
5M,wifi,weak,4300,9187,7599,1.209,buffering,9
5M,wifi,weak,4300,19401,7236,2.681,steady,1
5M,wifi,weak,4300,10616,7654,1.387,steady,1
5M,wifi,weak,4300,65605,6070,10.809,steady,1
5M,wifi,weak,4300,21303,5848,3.643,buffering,2
5M,wifi,weak,4300,11462,3063,3.742,buffering,3
5M,wifi,weak,4300,18991,6967,2.726,buffering,4
5M,wifi,weak,4300,14431,5919,2.438,buffering,5
5M,wifi,weak,4300,15389,5787,2.659,buffering,6
5M,wifi,weak,4300,18350,5632,3.258,buffering,7
5M,wifi,weak,4300,14129,5860,2.411,buffering,8
5M,wifi,weak,4300,10654,5546,1.921,buffering,9
5M,wifi,weak,4300,9796,6724,1.457,steady,1
