downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,wifi,weak,300,15,228,0.064,steady,1
5M,wifi,weak,300,1235,3191,0.387,buffering,2
5M,wifi,weak,300,1401,3477,0.4029999999999999,buffering,3
5M,wifi,weak,300,1447,5113,0.283,buffering,4
5M,wifi,weak,300,1758,5764,0.305,buffering,5
5M,wifi,weak,300,450,2982,0.151,steady,1
5M,wifi,weak,1200,4000,6399,0.625,steady,1
5M,wifi,weak,1850,11739,6677,1.758,steady,1
5M,wifi,weak,4300,20305,3306,6.141,steady,1
5M,wifi,weak,4300,13260,4457,2.975,buffering,2
5M,wifi,weak,4300,8446,2387,3.5380000000000003,buffering,3
5M,wifi,weak,4300,8753,5816,1.505,buffering,4
5M,wifi,weak,2850,9919,6761,1.467,steady,1
5M,wifi,weak,2850,12887,4462,2.888,steady,1
5M,wifi,weak,2850,13298,6809,1.953,steady,1
5M,wifi,weak,4300,6568,6458,1.017,steady,1
5M,wifi,weak,4300,14294,6119,2.336,steady,1
5M,wifi,weak,4300,17813,3371,5.285,steady,1
5M,wifi,weak,4300,14222,2578,5.516,buffering,2
5M,wifi,weak,1850,8628,6683,1.291,buffering,3
5M,wifi,weak,1850,15378,5396,2.85,buffering,4
5M,wifi,weak,4300,11485,7169,1.602,steady,1
5M,wifi,weak,4300,6012,7314,0.8220000000000001,steady,1
5M,wifi,weak,4300,12262,6955,1.763,steady,1
5M,wifi,weak,4300,7742,8758,0.884,steady,1
5M,wifi,weak,4300,13703,8255,1.66,steady,1
5M,wifi,weak,4300,16720,7100,2.355,steady,1
5M,wifi,weak,4300,17646,7706,2.29,steady,1
5M,wifi,weak,4300,16972,7927,2.141,steady,1
5M,wifi,weak,4300,20467,6990,2.928,steady,1
5M,wifi,weak,4300,34773,5729,6.07,steady,1
5M,wifi,weak,4300,19760,5103,3.872,buffering,2
5M,wifi,weak,4300,15726,4087,3.848,buffering,3
5M,wifi,weak,4300,13769,6749,2.04,buffering,4
5M,wifi,weak,4300,16508,5078,3.251,buffering,5
5M,wifi,weak,4300,17427,5862,2.973,steady,1
5M,wifi,weak,4300,18493,7184,2.574,steady,1
5M,wifi,weak,4300,15428,6100,2.5290000000000004,steady,1
5M,wifi,weak,4300,17579,8711,2.018,steady,1
5M,wifi,weak,4300,17824,7756,2.298,steady,1
5M,wifi,weak,4300,9649,5788,1.667,steady,1
5M,wifi,weak,4300,21508,6869,3.131,steady,1
5M,wifi,weak,4300,15301,8100,1.889,steady,1
5M,wifi,weak,4300,14588,8360,1.745,steady,1
5M,wifi,weak,4300,14330,8701,1.647,steady,1
5M,wifi,weak,4300,22966,7093,3.238,steady,1
5M,wifi,weak,4300,23917,5604,4.268,steady,1
5M,wifi,weak,4300,24089,6175,3.901,buffering,2
5M,wifi,weak,4300,10543,6855,1.538,buffering,3
5M,wifi,weak,4300,26645,2889,9.223,steady,1
5M,wifi,weak,2850,10067,2695,3.735,buffering,2
5M,wifi,weak,1850,5748,5538,1.038,buffering,3
5M,wifi,weak,1850,6176,5609,1.101,buffering,4
5M,wifi,weak,1850,10963,5923,1.851,steady,1
5M,wifi,weak,1850,10067,5587,1.802,steady,1
5M,wifi,weak,2850,9809,6601,1.486,steady,1
5M,wifi,weak,4300,13987,10262,1.363,steady,1
5M,wifi,weak,4300,26133,6868,3.805,steady,1
5M,wifi,weak,4300,13335,5721,2.331,buffering,2
5M,wifi,weak,4300,14796,5019,2.948,steady,1
5M,wifi,weak,4300,11435,6633,1.724,steady,1
5M,wifi,weak,4300,29296,6719,4.359999999999999,steady,1
5M,wifi,weak,4300,24721,5598,4.416,buffering,2
5M,wifi,weak,4300,15068,4910,3.069,buffering,3
5M,wifi,weak,4300,15640,4952,3.158,buffering,4
5M,wifi,weak,4300,19531,7384,2.645,steady,1
5M,wifi,weak,4300,16972,5559,3.053,steady,1
5M,wifi,weak,4300,13792,7198,1.916,steady,1
5M,wifi,weak,4300,24041,4546,5.289000000000001,steady,1
5M,wifi,weak,4300,22317,6179,3.612,buffering,2
5M,wifi,weak,4300,17718,6348,2.791,buffering,3
5M,wifi,weak,4300,20396,5452,3.741,buffering,4
5M,wifi,weak,4300,11253,5500,2.046,buffering,5
5M,wifi,weak,4300,9187,5782,1.589,steady,1
5M,wifi,weak,4300,19401,6608,2.936,steady,1
5M,wifi,weak,4300,10616,9264,1.146,steady,1
5M,wifi,weak,2850,33726,5754,5.861000000000001,steady,1
5M,wifi,weak,4300,21303,6483,3.286,buffering,2
5M,wifi,weak,4300,11462,6146,1.865,buffering,3
5M,wifi,weak,4300,18991,4101,4.630999999999999,steady,1
5M,wifi,weak,4300,14431,6641,2.173,buffering,2
5M,wifi,weak,4300,15389,5494,2.801,steady,1
5M,wifi,weak,4300,18350,7055,2.601,steady,1
5M,wifi,weak,4300,14129,8200,1.723,steady,1
5M,wifi,weak,4300,10654,3446,3.092,steady,1
5M,wifi,weak,4300,9796,5963,1.643,steady,1
