downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,weak,300,15,270,0.054,steady,1
50M,wifi,weak,300,1235,4940,0.25,buffering,2
50M,wifi,weak,300,1401,6869,0.204,buffering,3
50M,wifi,weak,750,3427,4013,0.8540000000000001,buffering,4
50M,wifi,weak,1200,6682,2922,2.287,buffering,5
50M,wifi,weak,1200,1329,5932,0.224,steady,1
50M,wifi,weak,4300,20137,7472,2.695,steady,1
50M,wifi,weak,4300,29101,6687,4.352,steady,1
50M,wifi,weak,4300,20305,7451,2.725,buffering,2
50M,wifi,weak,4300,13260,9707,1.366,steady,1
50M,wifi,weak,4300,8446,10570,0.799,steady,1
50M,wifi,weak,4300,8753,5918,1.479,steady,1
50M,wifi,weak,4300,14400,8044,1.7899999999999998,steady,1
50M,wifi,weak,4300,18606,9425,1.974,steady,1
50M,wifi,weak,4300,17713,6844,2.588,steady,1
50M,wifi,weak,4300,6568,3541,1.855,steady,1
50M,wifi,weak,4300,14294,4218,3.389,steady,1
50M,wifi,weak,4300,17813,4846,3.676,buffering,2
50M,wifi,weak,4300,14222,8471,1.679,steady,1
50M,wifi,weak,4300,21031,7880,2.669,steady,1
50M,wifi,weak,4300,33953,3815,8.899999999999999,steady,1
50M,wifi,weak,4300,11485,7169,1.602,buffering,2
50M,wifi,weak,4300,6012,9856,0.61,buffering,3
50M,wifi,weak,4300,12262,9303,1.318,steady,1
50M,wifi,weak,4300,7742,7583,1.021,steady,1
50M,wifi,weak,4300,13703,8898,1.5399999999999998,steady,1
50M,wifi,weak,4300,16720,8204,2.038,steady,1
50M,wifi,weak,4300,17646,7959,2.217,steady,1
50M,wifi,weak,4300,16972,6249,2.716,steady,1
50M,wifi,weak,4300,20467,6864,2.982,steady,1
50M,wifi,weak,4300,34773,8226,4.227,steady,1
50M,wifi,weak,4300,19760,5614,3.52,buffering,2
50M,wifi,weak,4300,15726,6983,2.252,buffering,3
50M,wifi,weak,4300,13769,3167,4.348,steady,1
50M,wifi,weak,4300,16508,6638,2.487,buffering,2
50M,wifi,weak,4300,17427,7356,2.369,steady,1
50M,wifi,weak,4300,18493,5555,3.329,steady,1
50M,wifi,weak,4300,15428,7301,2.113,steady,1
50M,wifi,weak,4300,17579,2570,6.839,steady,1
50M,wifi,weak,4300,17824,7204,2.474,buffering,2
50M,wifi,weak,4300,9649,7486,1.289,buffering,3
50M,wifi,weak,4300,21508,7288,2.951,steady,1
50M,wifi,weak,4300,15301,3071,4.983,steady,1
50M,wifi,weak,4300,14588,6242,2.337,buffering,2
50M,wifi,weak,4300,14330,5609,2.555,steady,1
50M,wifi,weak,4300,22966,3601,6.378,steady,1
50M,wifi,weak,4300,23917,6361,3.76,buffering,2
50M,wifi,weak,4300,24089,5983,4.026,buffering,3
50M,wifi,weak,4300,10543,5727,1.841,buffering,4
50M,wifi,weak,4300,26645,7314,3.643,buffering,5
50M,wifi,weak,4300,14929,8331,1.7919999999999998,buffering,6
50M,wifi,weak,4300,12626,3466,3.643,steady,1
50M,wifi,weak,4300,13513,5772,2.341,buffering,2
50M,wifi,weak,4300,23227,6172,3.763,steady,1
50M,wifi,weak,4300,20750,3845,5.397,buffering,2
50M,wifi,weak,4300,14577,3890,3.747,buffering,3
50M,wifi,weak,4300,13987,5739,2.437,buffering,4
50M,wifi,weak,4300,26133,4631,5.643000000000001,buffering,5
50M,wifi,weak,4300,13335,7826,1.704,buffering,6
50M,wifi,weak,4300,14796,6927,2.136,steady,1
50M,wifi,weak,4300,11435,7924,1.4429999999999998,steady,1
50M,wifi,weak,4300,29296,7675,3.817,steady,1
50M,wifi,weak,4300,24721,3289,7.516,buffering,2
50M,wifi,weak,4300,15068,4299,3.505,buffering,3
50M,wifi,weak,4300,15640,6013,2.601,buffering,4
50M,wifi,weak,4300,19531,7170,2.724,buffering,5
50M,wifi,weak,4300,16972,3637,4.667,buffering,6
50M,wifi,weak,4300,13792,5950,2.318,buffering,7
50M,wifi,weak,4300,24041,6471,3.715,buffering,8
50M,wifi,weak,4300,22317,8714,2.561,steady,1
50M,wifi,weak,4300,17718,4346,4.077,steady,1
50M,wifi,weak,4300,20396,6783,3.007,buffering,2
50M,wifi,weak,4300,11253,3576,3.147,steady,1
50M,wifi,weak,4300,9187,5713,1.608,steady,1
50M,wifi,weak,4300,19401,6981,2.779,steady,1
50M,wifi,weak,4300,10616,1949,5.446,steady,1
50M,wifi,weak,2850,33726,6527,5.167,buffering,2
50M,wifi,weak,4300,21303,5841,3.647,buffering,3
50M,wifi,weak,4300,11462,6026,1.902,buffering,4
50M,wifi,weak,4300,18991,5718,3.321,buffering,5
50M,wifi,weak,4300,14431,8303,1.738,buffering,6
50M,wifi,weak,4300,15389,8296,1.855,steady,1
50M,wifi,weak,4300,18350,372,49.328,steady,1
50M,wifi,weak,1850,7095,7999,0.887,buffering,2
50M,wifi,weak,1850,5018,7209,0.696,buffering,3
50M,wifi,weak,1850,4503,5811,0.7749999999999999,buffering,4
