downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,weak,300,15,184,0.079,steady,1
50M,wifi,weak,300,1235,4881,0.253,steady,1
50M,wifi,weak,1850,6835,4599,1.486,buffering,2
50M,wifi,weak,1850,8431,6096,1.383,buffering,3
50M,wifi,weak,1850,8140,6640,1.226,buffering,4
50M,wifi,weak,1850,2392,8278,0.289,buffering,5
50M,wifi,weak,4300,20137,4342,4.638,steady,1
50M,wifi,weak,1850,11739,5025,2.336,buffering,2
50M,wifi,weak,1850,8892,11285,0.788,steady,1
50M,wifi,weak,1850,6755,5145,1.313,steady,1
50M,wifi,weak,4300,8446,2214,3.814,steady,1
50M,wifi,weak,4300,8753,4094,2.138,buffering,2
50M,wifi,weak,4300,14400,6299,2.286,steady,1
50M,wifi,weak,4300,18606,9089,2.047,steady,1
50M,wifi,weak,4300,17713,9669,1.832,steady,1
50M,wifi,weak,4300,6568,10152,0.647,steady,1
50M,wifi,weak,4300,14294,4730,3.022,steady,1
50M,wifi,weak,4300,17813,7103,2.508,steady,1
50M,wifi,weak,4300,14222,8169,1.741,steady,1
50M,wifi,weak,4300,21031,3655,5.754,steady,1
50M,wifi,weak,4300,33953,5373,6.319,buffering,2
50M,wifi,weak,1850,5368,4871,1.102,buffering,3
50M,wifi,weak,4300,6012,5112,1.1760000000000002,buffering,4
50M,wifi,weak,4300,12262,4762,2.575,steady,1
50M,wifi,weak,4300,7742,5672,1.365,steady,1
50M,wifi,weak,4300,13703,10083,1.359,steady,1
50M,wifi,weak,4300,16720,8089,2.067,steady,1
50M,wifi,weak,4300,17646,7405,2.383,steady,1
50M,wifi,weak,4300,16972,8994,1.887,steady,1
50M,wifi,weak,4300,20467,8058,2.54,steady,1
50M,wifi,weak,4300,34773,8571,4.057,steady,1
50M,wifi,weak,1850,8714,8291,1.051,buffering,2
50M,wifi,weak,4300,15726,2822,5.573,steady,1
50M,wifi,weak,4300,13769,4526,3.042,buffering,2
50M,wifi,weak,4300,16508,6971,2.368,buffering,3
50M,wifi,weak,4300,17427,7557,2.306,steady,1
50M,wifi,weak,4300,18493,4624,3.999,steady,1
50M,wifi,weak,4300,15428,3573,4.318,buffering,2
50M,wifi,weak,4300,17579,4933,3.564,buffering,3
50M,wifi,weak,4300,17824,9061,1.967,buffering,4
50M,wifi,weak,4300,9649,10781,0.895,steady,1
50M,wifi,weak,4300,21508,4432,4.853,steady,1
50M,wifi,weak,4300,15301,5632,2.717,buffering,2
50M,wifi,weak,4300,14588,4437,3.288,buffering,3
50M,wifi,weak,4300,14330,6684,2.144,steady,1
50M,wifi,weak,4300,22966,7093,3.238,steady,1
50M,wifi,weak,1850,11163,5757,1.939,steady,1
50M,wifi,weak,1850,10735,2907,3.693,steady,1
50M,wifi,weak,1850,4357,6145,0.7090000000000001,buffering,2
50M,wifi,weak,4300,26645,5289,5.038,steady,1
50M,wifi,weak,1850,6525,6435,1.014,buffering,2
50M,wifi,weak,4300,12626,7219,1.749,steady,1
50M,wifi,weak,4300,13513,4288,3.151,steady,1
50M,wifi,weak,4300,23227,2872,8.087,steady,1
50M,wifi,weak,1850,10067,6253,1.61,buffering,2
50M,wifi,weak,1850,6436,4157,1.548,buffering,3
50M,wifi,weak,4300,13987,4929,2.838,steady,1
50M,wifi,weak,4300,26133,8616,3.033,steady,1
50M,wifi,weak,1850,5377,13544,0.397,steady,1
50M,wifi,weak,4300,14796,8513,1.738,steady,1
50M,wifi,weak,4300,11435,6086,1.879,steady,1
50M,wifi,weak,4300,29296,6373,4.597,steady,1
50M,wifi,weak,1850,11348,5708,1.988,buffering,2
50M,wifi,weak,1850,6681,8079,0.8270000000000001,steady,1
50M,wifi,weak,4300,15640,7923,1.974,steady,1
50M,wifi,weak,4300,19531,6528,2.992,steady,1
50M,wifi,weak,4300,16972,7335,2.314,steady,1
50M,wifi,weak,4300,13792,8685,1.588,steady,1
50M,wifi,weak,4300,24041,6057,3.969,steady,1
50M,wifi,weak,4300,22317,3145,7.097,buffering,2
50M,wifi,weak,4300,17718,5200,3.407,buffering,3
50M,wifi,weak,1850,7712,4711,1.637,buffering,4
50M,wifi,weak,4300,11253,5019,2.242,buffering,5
50M,wifi,weak,4300,9187,7172,1.281,steady,1
50M,wifi,weak,4300,19401,4397,4.412,steady,1
50M,wifi,weak,4300,10616,6049,1.755,buffering,2
50M,wifi,weak,4300,65605,6321,10.379,steady,1
50M,wifi,weak,1850,8763,7165,1.223,buffering,2
50M,wifi,weak,1850,5669,5404,1.049,buffering,3
50M,wifi,weak,4300,18991,7758,2.448,buffering,4
50M,wifi,weak,1850,7452,5229,1.4249999999999998,steady,1
50M,wifi,weak,4300,15389,8479,1.815,steady,1
50M,wifi,weak,4300,18350,5320,3.449,steady,1
50M,wifi,weak,4300,14129,5284,2.6740000000000004,buffering,2
50M,wifi,weak,4300,10654,8041,1.325,steady,1
50M,wifi,weak,4300,9796,7156,1.369,steady,1
