downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,weak,300,16,6,2.663,steady,1
50M,wifi,weak,300,1295,1358,0.953,steady,1
50M,wifi,weak,300,1133,7554,0.15,buffering,2
50M,wifi,weak,300,1097,12605,0.087,steady,1
50M,wifi,weak,300,1223,1996,0.613,buffering,2
50M,wifi,weak,300,1165,4549,0.256,steady,1
50M,wifi,weak,2850,9813,8438,1.1629999999999998,steady,1
50M,wifi,weak,4300,19534,7374,2.649,steady,1
50M,wifi,weak,4300,33450,6694,4.997,steady,1
50M,wifi,weak,4300,21383,8149,2.624,buffering,2
50M,wifi,weak,4300,25144,11635,2.161,steady,1
50M,wifi,weak,4300,20232,9371,2.1590000000000003,steady,1
50M,wifi,weak,4300,16336,4709,3.469,steady,1
50M,wifi,weak,4300,10804,7690,1.4049999999999998,steady,1
50M,wifi,weak,4300,8772,11160,0.786,steady,1
50M,wifi,weak,4300,16211,4421,3.667,steady,1
50M,wifi,weak,4300,16041,10165,1.578,steady,1
50M,wifi,weak,4300,11312,11037,1.025,steady,1
50M,wifi,weak,4300,11374,10340,1.1,steady,1
50M,wifi,weak,4300,8777,11040,0.795,steady,1
50M,wifi,weak,4300,11770,6058,1.943,steady,1
50M,wifi,weak,4300,20852,10328,2.019,steady,1
50M,wifi,weak,4300,21456,5050,4.249,steady,1
50M,wifi,weak,4300,16022,5061,3.166,buffering,2
50M,wifi,weak,4300,17265,4707,3.668,steady,1
50M,wifi,weak,4300,38105,10437,3.651,steady,1
50M,wifi,weak,4300,24234,8910,2.72,steady,1
50M,wifi,weak,4300,13749,7380,1.863,steady,1
50M,wifi,weak,4300,26128,7604,3.436,steady,1
50M,wifi,weak,4300,40873,6390,6.396,steady,1
50M,wifi,weak,4300,45910,3845,11.939,buffering,2
50M,wifi,weak,4300,20032,9645,2.077,buffering,3
50M,wifi,weak,4300,21574,9311,2.317,buffering,4
50M,wifi,weak,4300,26547,5986,4.4350000000000005,buffering,5
50M,wifi,weak,4300,21315,3615,5.896,buffering,6
50M,wifi,weak,4300,7084,6198,1.1429999999999998,buffering,7
50M,wifi,weak,4300,10485,3865,2.713,buffering,8
50M,wifi,weak,4300,11984,3315,3.615,buffering,9
50M,wifi,weak,4300,6890,4883,1.411,buffering,10
50M,wifi,weak,4300,2807,1559,1.801,steady,1
50M,wifi,weak,4300,3667,2115,1.734,steady,1
50M,wifi,weak,4300,3127,8710,0.359,steady,1
50M,wifi,weak,4300,4058,6960,0.5830000000000001,steady,1
50M,wifi,weak,4300,6058,7316,0.8280000000000001,steady,1
50M,wifi,weak,4300,4997,9219,0.542,steady,1
50M,wifi,weak,4300,15181,3920,3.873,steady,1
50M,wifi,weak,4300,18807,4163,4.517,buffering,2
50M,wifi,weak,4300,8581,6536,1.313,buffering,3
50M,wifi,weak,4300,7318,6402,1.143,steady,1
50M,wifi,weak,4300,6354,9882,0.643,steady,1
50M,wifi,weak,4300,9185,8373,1.097,steady,1
50M,wifi,weak,4300,11808,8121,1.454,steady,1
50M,wifi,weak,4300,12796,1556,8.222999999999999,steady,1
50M,wifi,weak,4300,15220,558,27.282,buffering,2
50M,wifi,weak,2850,6849,7721,0.887,buffering,3
50M,wifi,weak,2850,7074,6730,1.0510000000000002,buffering,4
50M,wifi,weak,2850,7977,8124,0.982,buffering,5
50M,wifi,weak,2850,7872,5676,1.387,steady,1
50M,wifi,weak,2850,11820,8348,1.416,steady,1
50M,wifi,weak,4300,17120,8434,2.03,steady,1
50M,wifi,weak,4300,16822,7972,2.11,steady,1
50M,wifi,weak,4300,13561,4526,2.996,steady,1
50M,wifi,weak,4300,15398,10539,1.461,steady,1
50M,wifi,weak,4300,17495,10231,1.71,steady,1
50M,wifi,weak,4300,19004,10328,1.84,steady,1
50M,wifi,weak,4300,13441,13011,1.033,steady,1
50M,wifi,weak,4300,10963,12501,0.877,steady,1
50M,wifi,weak,4300,15333,6567,2.335,steady,1
50M,wifi,weak,4300,17315,1065,16.259,steady,1
50M,wifi,weak,2850,11680,1570,7.436999999999999,buffering,2
50M,wifi,weak,1850,7583,4391,1.727,steady,1
50M,wifi,weak,1850,11848,1084,10.927,buffering,2
50M,wifi,weak,1200,6297,5300,1.188,steady,1
50M,wifi,weak,1850,6125,8060,0.76,buffering,2
50M,wifi,weak,2850,8817,9213,0.957,buffering,3
50M,wifi,weak,2850,16205,5840,2.775,steady,1
50M,wifi,weak,2850,12782,3842,3.327,steady,1
50M,wifi,weak,2850,16189,9235,1.753,steady,1
50M,wifi,weak,4300,47122,4936,9.547,steady,1
50M,wifi,weak,2850,30154,9137,3.3000000000000003,buffering,2
50M,wifi,weak,4300,33635,10597,3.174,buffering,3
50M,wifi,weak,4300,6088,7180,0.848,buffering,4
50M,wifi,weak,4300,17329,9092,1.906,buffering,5
50M,wifi,weak,4300,20140,4616,4.363,steady,1
50M,wifi,weak,4300,17863,7069,2.527,buffering,2
50M,wifi,weak,4300,12208,7611,1.604,steady,1
