downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,weak,300,16,80,0.198,steady,1
50M,wifi,weak,300,1295,4777,0.271,buffering,2
50M,wifi,weak,300,1133,4801,0.236,buffering,3
50M,wifi,weak,300,1097,2742,0.4,buffering,4
50M,wifi,weak,300,1223,4548,0.269,buffering,5
50M,wifi,weak,300,1165,3628,0.321,steady,1
50M,wifi,weak,1850,6260,297,21.107999999999997,steady,1
50M,wifi,weak,300,1531,540,2.836,buffering,2
50M,wifi,weak,300,3058,579,5.279,buffering,3
50M,wifi,weak,300,1389,7086,0.19599999999999998,buffering,4
50M,wifi,weak,300,1226,6665,0.184,buffering,5
50M,wifi,weak,300,1041,3799,0.274,buffering,6
50M,wifi,weak,1200,4162,7031,0.5920000000000001,steady,1
50M,wifi,weak,1850,4437,4676,0.9490000000000001,steady,1
50M,wifi,weak,4300,8772,3058,2.868,steady,1
50M,wifi,weak,4300,16211,6209,2.611,steady,1
50M,wifi,weak,4300,16041,8176,1.962,steady,1
50M,wifi,weak,4300,11312,9064,1.248,steady,1
50M,wifi,weak,4300,11374,8756,1.299,steady,1
50M,wifi,weak,4300,8777,4814,1.823,steady,1
50M,wifi,weak,4300,11770,4146,2.839,steady,1
50M,wifi,weak,4300,20852,7751,2.69,steady,1
50M,wifi,weak,4300,21456,8303,2.584,steady,1
50M,wifi,weak,4300,16022,10682,1.5,steady,1
50M,wifi,weak,4300,17265,6447,2.678,steady,1
50M,wifi,weak,4300,38105,184,207.094,steady,1
50M,wifi,weak,300,1774,1227,1.446,buffering,2
50M,wifi,weak,300,877,1416,0.619,buffering,3
50M,wifi,weak,300,1872,4764,0.393,buffering,4
50M,wifi,weak,300,2662,6220,0.428,steady,1
50M,wifi,weak,300,2528,4588,0.551,steady,1
50M,wifi,weak,750,3251,6169,0.527,steady,1
50M,wifi,weak,750,3484,5453,0.639,steady,1
50M,wifi,weak,2850,17318,5008,3.458,steady,1
50M,wifi,weak,4300,21315,5559,3.834,steady,1
50M,wifi,weak,4300,7084,5695,1.244,buffering,2
50M,wifi,weak,4300,10485,3030,3.46,steady,1
50M,wifi,weak,4300,11984,6338,1.891,steady,1
50M,wifi,weak,4300,6890,5723,1.204,steady,1
50M,wifi,weak,4300,2807,6156,0.45599999999999996,steady,1
50M,wifi,weak,4300,3667,8945,0.41000000000000003,steady,1
50M,wifi,weak,4300,3127,4987,0.627,steady,1
50M,wifi,weak,4300,4058,7233,0.561,steady,1
50M,wifi,weak,4300,6058,242,25.017,steady,1
50M,wifi,weak,300,569,61,9.402999999999999,buffering,2
50M,wifi,weak,300,1572,37,42.361,buffering,3
50M,wifi,weak,300,1701,36,47.407999999999994,buffering,4
50M,wifi,weak,300,650,148,4.406,buffering,5
50M,wifi,weak,300,610,4390,0.139,buffering,6
50M,wifi,weak,300,536,6233,0.086,buffering,7
50M,wifi,weak,300,563,6250,0.09,steady,1
50M,wifi,weak,300,823,3549,0.232,steady,1
50M,wifi,weak,300,899,2622,0.34299999999999997,steady,1
50M,wifi,weak,2850,10403,5728,1.8159999999999998,steady,1
50M,wifi,weak,2850,6849,4753,1.4409999999999998,steady,1
50M,wifi,weak,2850,7074,7756,0.912,steady,1
50M,wifi,weak,4300,11984,6903,1.736,steady,1
50M,wifi,weak,4300,11856,7476,1.5859999999999999,steady,1
50M,wifi,weak,4300,17144,9420,1.82,steady,1
50M,wifi,weak,4300,17120,7599,2.253,steady,1
50M,wifi,weak,4300,16822,10500,1.602,steady,1
50M,wifi,weak,4300,13561,14185,0.9560000000000001,steady,1
50M,wifi,weak,4300,15398,8626,1.785,steady,1
50M,wifi,weak,4300,17495,9763,1.792,steady,1
50M,wifi,weak,4300,19004,4402,4.317,steady,1
50M,wifi,weak,4300,13441,4408,3.049,buffering,2
50M,wifi,weak,4300,10963,4210,2.604,steady,1
50M,wifi,weak,4300,15333,6755,2.27,steady,1
50M,wifi,weak,4300,17315,5553,3.1180000000000003,steady,1
50M,wifi,weak,4300,17023,6011,2.8320000000000003,steady,1
50M,wifi,weak,4300,16475,4789,3.44,steady,1
50M,wifi,weak,4300,27163,5871,4.627,buffering,2
50M,wifi,weak,4300,24546,7323,3.352,buffering,3
50M,wifi,weak,4300,13085,8853,1.478,buffering,4
50M,wifi,weak,4300,14473,8940,1.619,steady,1
50M,wifi,weak,4300,25109,3709,6.77,steady,1
50M,wifi,weak,4300,19889,4080,4.875,buffering,2
50M,wifi,weak,2850,16189,8751,1.8499999999999999,buffering,3
50M,wifi,weak,1850,19538,10712,1.8239999999999998,buffering,4
50M,wifi,weak,1850,19878,8646,2.299,steady,1
50M,wifi,weak,2850,23103,4221,5.473999999999999,steady,1
50M,wifi,weak,4300,6088,8624,0.706,buffering,2
50M,wifi,weak,4300,17329,7880,2.199,steady,1
50M,wifi,weak,4300,20140,2228,9.040000000000001,steady,1
50M,wifi,weak,1850,7298,5374,1.358,buffering,2
50M,wifi,weak,1850,5323,7125,0.747,buffering,3
