downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
5M,4g,strong,1850,15,147,0.099,steady,0
5M,4g,strong,1850,11317,2595,4.362,buffering,1
5M,4g,strong,1850,6835,4854,1.408,buffering,2
5M,4g,strong,1850,8431,5846,1.442,buffering,3
5M,4g,strong,1850,8140,8298,0.981,buffering,4
5M,4g,strong,1850,2392,6150,0.3889999999999999,steady,0
5M,4g,strong,1850,7039,9360,0.752,steady,0
5M,4g,strong,1850,11739,8112,1.447,steady,0
5M,4g,strong,1850,8892,7485,1.188,steady,0
5M,4g,strong,1850,6755,6950,0.972,steady,0
5M,4g,strong,1850,4905,6683,0.734,steady,0
5M,4g,strong,1850,4669,6217,0.751,steady,0
5M,4g,strong,1850,6748,7408,0.911,steady,0
5M,4g,strong,1850,8680,8044,1.079,steady,0
5M,4g,strong,1850,8246,7906,1.043,steady,0
5M,4g,strong,1850,2450,5421,0.4519999999999999,steady,0
5M,4g,strong,1850,4614,4670,0.988,steady,0
5M,4g,strong,1850,6786,9438,0.719,steady,0
5M,4g,strong,1850,5229,8517,0.614,steady,0
5M,4g,strong,1850,8628,9503,0.908,steady,0
5M,4g,strong,1850,15378,7337,2.096,steady,0
5M,4g,strong,1850,5368,4261,1.26,steady,0
5M,4g,strong,1850,2643,4110,0.643,steady,0
5M,4g,strong,1850,5553,5156,1.077,steady,0
5M,4g,strong,1850,3052,5011,0.609,steady,0
5M,4g,strong,1850,4996,5710,0.875,steady,0
5M,4g,strong,1850,6397,6075,1.053,steady,0
5M,4g,strong,1850,7732,6777,1.141,steady,0
5M,4g,strong,1850,7399,7414,0.998,steady,0
5M,4g,strong,1850,8676,8547,1.015,steady,0
5M,4g,strong,1850,13950,7408,1.883,steady,0
5M,4g,strong,1850,8714,4545,1.917,steady,0
5M,4g,strong,1850,6820,5033,1.355,steady,0
5M,4g,strong,1850,6036,5518,1.094,steady,0
5M,4g,strong,1850,7487,5818,1.287,steady,0
5M,4g,strong,1850,7777,7038,1.105,steady,0
5M,4g,strong,1850,8222,7502,1.096,steady,0
5M,4g,strong,1850,6041,8109,0.745,steady,0
5M,4g,strong,1850,7372,10112,0.729,steady,0
5M,4g,strong,1850,7805,10243,0.762,steady,0
5M,4g,strong,1850,3782,7095,0.533,steady,0
5M,4g,strong,1850,9414,9909,0.95,steady,0
5M,4g,strong,1850,6371,10496,0.607,steady,0
5M,4g,strong,1850,6320,9799,0.645,steady,0
5M,4g,strong,1850,5609,9637,0.582,steady,0
5M,4g,strong,1850,10010,9329,1.073,steady,0
5M,4g,strong,1850,11163,9046,1.234,steady,0
5M,4g,strong,1850,10735,8341,1.287,steady,0
5M,4g,strong,1850,4357,6581,0.6619999999999999,steady,0
5M,4g,strong,1850,11354,8035,1.413,steady,0
5M,4g,strong,1850,6525,6598,0.989,steady,0
5M,4g,strong,1850,5748,7062,0.814,steady,0
5M,4g,strong,1850,6176,7531,0.82,steady,0
5M,4g,strong,1850,10963,7853,1.396,steady,0
5M,4g,strong,1850,10067,8067,1.248,steady,0
5M,4g,strong,1850,6436,7389,0.871,steady,0
5M,4g,strong,1850,4896,7005,0.699,steady,0
5M,4g,strong,1850,8674,8454,1.026,steady,0
5M,4g,strong,1850,5377,7286,0.738,steady,0
5M,4g,strong,1850,6312,7990,0.7899999999999999,steady,0
5M,4g,strong,1850,5378,7479,0.719,steady,0
5M,4g,strong,1850,12662,7414,1.708,steady,0
5M,4g,strong,1850,11348,6426,1.766,steady,0
5M,4g,strong,1850,6681,6046,1.105,steady,0
5M,4g,strong,1850,7022,6568,1.069,steady,0
5M,4g,strong,1850,7688,7118,1.0799999999999998,steady,0
5M,4g,strong,1850,7156,7385,0.969,steady,0
5M,4g,strong,1850,6023,7086,0.85,steady,0
5M,4g,strong,1850,9868,8377,1.178,steady,0
5M,4g,strong,1850,9259,9546,0.97,steady,0
5M,4g,strong,1850,8241,10341,0.7969999999999999,steady,0
5M,4g,strong,1850,7712,10832,0.712,steady,0
5M,4g,strong,1850,4217,8078,0.522,steady,0
5M,4g,strong,1850,3512,6914,0.508,steady,0
5M,4g,strong,1850,9191,10224,0.8989999999999999,steady,0
5M,4g,strong,1850,5097,9353,0.545,steady,0
5M,4g,strong,1850,19756,6942,2.846,steady,0
5M,4g,strong,1850,8763,5501,1.593,steady,0
5M,4g,strong,1850,5669,5552,1.021,steady,0
