downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,strong,750,15,383,0.038,steady,0
50M,wifi,strong,750,3538,21188,0.1669999999999999,buffering,1
50M,wifi,strong,750,3389,37650,0.09,buffering,2
50M,wifi,strong,750,3427,43378,0.079,buffering,3
50M,wifi,strong,750,4396,45315,0.097,buffering,4
50M,wifi,strong,750,859,8761,0.098,steady,0
50M,wifi,strong,750,2419,17526,0.138,steady,0
50M,wifi,strong,750,4278,17607,0.243,steady,0
50M,wifi,strong,750,3370,19481,0.173,steady,0
50M,wifi,strong,750,2879,22320,0.129,steady,0
50M,wifi,strong,750,2285,16681,0.137,steady,0
50M,wifi,strong,750,3281,21727,0.151,steady,0
50M,wifi,strong,750,2675,19384,0.138,steady,0
50M,wifi,strong,750,3418,21769,0.157,steady,0
50M,wifi,strong,750,2625,18228,0.144,steady,0
50M,wifi,strong,750,877,7430,0.118,steady,0
50M,wifi,strong,750,1639,13771,0.119,steady,0
50M,wifi,strong,750,2599,19253,0.135,steady,0
50M,wifi,strong,750,2046,16111,0.127,steady,0
50M,wifi,strong,750,3546,22733,0.156,steady,0
50M,wifi,strong,750,6854,30599,0.224,steady,0
50M,wifi,strong,750,2420,17926,0.135,steady,0
50M,wifi,strong,750,1038,9789,0.106,steady,0
50M,wifi,strong,750,1927,14711,0.131,steady,0
50M,wifi,strong,750,1209,11627,0.104,steady,0
50M,wifi,strong,750,1835,15289,0.12,steady,0
50M,wifi,strong,750,2552,19633,0.13,steady,0
50M,wifi,strong,750,3144,19406,0.162,steady,0
50M,wifi,strong,750,2959,21291,0.139,steady,0
50M,wifi,strong,750,3369,21188,0.159,steady,0
50M,wifi,strong,750,5552,27484,0.202,steady,0
50M,wifi,strong,750,3581,23101,0.155,steady,0
50M,wifi,strong,750,2689,19624,0.137,steady,0
50M,wifi,strong,750,2303,17063,0.135,steady,0
50M,wifi,strong,750,3119,20122,0.155,steady,0
50M,wifi,strong,750,3140,20931,0.15,steady,0
50M,wifi,strong,750,3392,22316,0.152,steady,0
50M,wifi,strong,750,2084,15320,0.136,steady,0
50M,wifi,strong,750,2925,21350,0.137,steady,0
50M,wifi,strong,750,3415,21082,0.162,steady,0
50M,wifi,strong,750,1442,13226,0.109,steady,0
50M,wifi,strong,750,3945,24812,0.159,steady,0
50M,wifi,strong,750,2542,18690,0.136,steady,0
50M,wifi,strong,750,2678,19544,0.137,steady,0
50M,wifi,strong,750,2269,16095,0.141,steady,0
50M,wifi,strong,750,4012,23742,0.169,steady,0
50M,wifi,strong,750,4765,26037,0.183,steady,0
50M,wifi,strong,750,4576,27077,0.169,steady,0
50M,wifi,strong,750,1739,12975,0.134,steady,0
50M,wifi,strong,750,4683,9254,0.506,steady,0
50M,wifi,strong,750,2580,13367,0.193,steady,0
50M,wifi,strong,750,2357,17592,0.134,steady,0
50M,wifi,strong,750,2548,17943,0.142,steady,0
50M,wifi,strong,750,4846,26051,0.186,steady,0
50M,wifi,strong,750,4354,24460,0.178,steady,0
50M,wifi,strong,750,2654,19514,0.136,steady,0
50M,wifi,strong,750,1592,15023,0.106,steady,0
50M,wifi,strong,750,2950,19664,0.15,steady,0
50M,wifi,strong,750,1957,14606,0.134,steady,0
50M,wifi,strong,750,2422,18777,0.129,steady,0
50M,wifi,strong,750,2595,19083,0.136,steady,0
50M,wifi,strong,750,4467,25379,0.176,steady,0
50M,wifi,strong,750,5573,28727,0.194,steady,0
50M,wifi,strong,750,3043,20153,0.151,steady,0
50M,wifi,strong,750,2901,19341,0.15,steady,0
50M,wifi,strong,750,2850,21109,0.135,steady,0
50M,wifi,strong,750,2696,19969,0.135,steady,0
50M,wifi,strong,750,2431,17366,0.14,steady,0
50M,wifi,strong,750,3848,23465,0.164,steady,0
50M,wifi,strong,750,3474,21987,0.158,steady,0
50M,wifi,strong,750,3348,18914,0.177,steady,0
50M,wifi,strong,750,2706,19754,0.137,steady,0
50M,wifi,strong,750,1460,14041,0.104,steady,0
50M,wifi,strong,750,1258,11865,0.106,steady,0
50M,wifi,strong,750,4201,25154,0.167,steady,0
50M,wifi,strong,750,2215,16284,0.136,steady,0
50M,wifi,strong,750,4774,24734,0.193,steady,0
50M,wifi,strong,750,3364,22281,0.151,steady,0
50M,wifi,strong,750,2865,20466,0.14,steady,0
