downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,4g,medium,4300,15,129,0.113,steady,0
50M,4g,medium,4300,37964,32955,1.152,buffering,1
50M,4g,medium,4300,12070,34290,0.352,buffering,2
50M,4g,medium,4300,17443,36492,0.478,buffering,3
50M,4g,medium,4300,12185,30086,0.405,buffering,4
50M,4g,medium,4300,5760,23800,0.242,buffering,5
50M,4g,medium,4300,20137,23306,0.864,buffering,6
50M,4g,medium,4300,29101,23151,1.257,buffering,7
50M,4g,medium,4300,20305,28399,0.715,buffering,8
50M,4g,medium,4300,13260,18809,0.705,buffering,9
50M,4g,medium,4300,8446,8248,1.024,steady,0
50M,4g,medium,4300,8753,13123,0.6669999999999999,steady,0
50M,4g,medium,4300,14400,16401,0.878,steady,0
50M,4g,medium,4300,18606,18870,0.986,steady,0
50M,4g,medium,4300,17713,17608,1.006,steady,0
50M,4g,medium,4300,6568,11443,0.574,steady,0
50M,4g,medium,4300,14294,17845,0.801,steady,0
50M,4g,medium,4300,17813,19195,0.928,steady,0
50M,4g,medium,4300,14222,15767,0.902,steady,0
50M,4g,medium,4300,21031,16469,1.277,steady,0
50M,4g,medium,4300,33953,8138,4.172,steady,0
50M,4g,medium,4300,11485,5148,2.2310000000000003,buffering,1
50M,4g,medium,4300,6012,8601,0.699,steady,0
50M,4g,medium,4300,12262,11589,1.058,steady,0
50M,4g,medium,4300,7742,8641,0.896,steady,0
50M,4g,medium,4300,13703,11652,1.1760000000000002,steady,0
50M,4g,medium,4300,16720,15969,1.047,steady,0
50M,4g,medium,4300,17646,15056,1.172,steady,0
50M,4g,medium,4300,16972,12732,1.3330000000000002,steady,0
50M,4g,medium,4300,20467,13128,1.5590000000000002,steady,0
50M,4g,medium,4300,34773,13948,2.493,steady,0
50M,4g,medium,4300,19760,14145,1.397,steady,0
50M,4g,medium,4300,15726,9186,1.712,steady,0
50M,4g,medium,4300,13769,13163,1.046,steady,0
50M,4g,medium,4300,16508,11700,1.411,steady,0
50M,4g,medium,4300,17427,7892,2.208,steady,0
50M,4g,medium,4300,18493,13894,1.3310000000000002,steady,0
50M,4g,medium,4300,15428,12244,1.26,steady,0
50M,4g,medium,4300,17579,5977,2.941,steady,0
50M,4g,medium,4300,17824,5798,3.0740000000000003,steady,0
50M,4g,medium,4300,9649,17292,0.558,steady,0
50M,4g,medium,4300,21508,13309,1.616,steady,0
50M,4g,medium,4300,15301,12183,1.256,steady,0
50M,4g,medium,4300,14588,11918,1.224,steady,0
50M,4g,medium,4300,14330,16491,0.869,steady,0
50M,4g,medium,4300,22966,17088,1.344,steady,0
50M,4g,medium,4300,23917,17782,1.3450000000000002,steady,0
50M,4g,medium,4300,24089,14512,1.66,steady,0
50M,4g,medium,4300,10543,8973,1.175,steady,0
50M,4g,medium,4300,26645,11868,2.245,steady,0
50M,4g,medium,4300,14929,18731,0.797,steady,0
50M,4g,medium,4300,12626,14580,0.866,steady,0
50M,4g,medium,4300,13513,5053,2.674,steady,0
50M,4g,medium,4300,23227,16311,1.4240000000000002,steady,0
50M,4g,medium,4300,20750,16707,1.242,steady,0
50M,4g,medium,4300,14577,3875,3.762,steady,0
50M,4g,medium,4300,13987,3437,4.07,buffering,1
50M,4g,medium,4300,26133,23672,1.104,steady,0
50M,4g,medium,4300,13335,39220,0.3399999999999999,buffering,1
50M,4g,medium,4300,14796,35914,0.412,buffering,2
50M,4g,medium,4300,11435,36650,0.312,buffering,3
50M,4g,medium,4300,29296,45002,0.651,buffering,4
50M,4g,medium,4300,24721,39681,0.623,buffering,5
50M,4g,medium,4300,15068,23147,0.651,buffering,6
50M,4g,medium,4300,15640,39795,0.393,buffering,7
50M,4g,medium,4300,19531,42644,0.458,buffering,8
50M,4g,medium,4300,16972,15222,1.115,steady,0
50M,4g,medium,4300,13792,17959,0.768,steady,0
50M,4g,medium,4300,24041,19233,1.25,steady,0
50M,4g,medium,4300,22317,18012,1.239,steady,0
50M,4g,medium,4300,17718,7935,2.233,steady,0
50M,4g,medium,4300,20396,7523,2.7110000000000003,steady,0
50M,4g,medium,4300,11253,19302,0.5830000000000001,steady,0
50M,4g,medium,4300,9187,13510,0.6799999999999999,steady,0
50M,4g,medium,4300,19401,12248,1.584,steady,0
50M,4g,medium,4300,10616,5427,1.956,steady,0
50M,4g,medium,4300,65605,10551,6.218,steady,0
50M,4g,medium,4300,21303,16854,1.264,buffering,1
50M,4g,medium,4300,11462,5630,2.036,steady,0
50M,4g,medium,4300,18991,9601,1.978,steady,0
50M,4g,medium,4300,14431,9215,1.566,steady,0
50M,4g,medium,4300,15389,7062,2.1790000000000003,steady,0
50M,4g,medium,4300,18350,12299,1.492,steady,0
