downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,weak,300,15,199,0.073,steady,0
50M,wifi,weak,300,1235,10555,0.117,buffering,1
50M,wifi,weak,300,1401,13604,0.103,buffering,2
50M,wifi,weak,300,1447,17645,0.082,buffering,3
50M,wifi,weak,300,1758,19110,0.092,buffering,4
50M,wifi,weak,300,450,3848,0.1169999999999999,steady,0
50M,wifi,weak,300,1224,9069,0.135,steady,0
50M,wifi,weak,300,2113,14575,0.145,steady,0
50M,wifi,weak,300,1436,9641,0.149,steady,0
50M,wifi,weak,300,1229,1693,0.726,steady,0
50M,wifi,weak,300,1036,3808,0.2719999999999999,steady,0
50M,wifi,weak,300,856,5382,0.159,steady,0
50M,wifi,weak,300,859,5612,0.153,steady,0
50M,wifi,weak,300,1245,6764,0.184,steady,0
50M,wifi,weak,300,930,5282,0.176,steady,0
50M,wifi,weak,300,363,3425,0.106,steady,0
50M,wifi,weak,300,674,5966,0.1129999999999999,steady,0
50M,wifi,weak,300,1177,6432,0.183,steady,0
50M,wifi,weak,300,867,7674,0.1129999999999999,steady,0
50M,wifi,weak,300,1368,8553,0.16,steady,0
50M,wifi,weak,300,2487,9790,0.254,steady,0
50M,wifi,weak,300,953,7448,0.128,steady,0
50M,wifi,weak,300,485,4750,0.102,steady,0
50M,wifi,weak,300,709,4758,0.149,steady,0
50M,wifi,weak,300,533,3945,0.135,steady,0
50M,wifi,weak,300,799,6341,0.126,steady,0
50M,wifi,weak,300,1082,7897,0.137,steady,0
50M,wifi,weak,300,1298,8319,0.156,steady,0
50M,wifi,weak,300,1185,8290,0.143,steady,0
50M,wifi,weak,300,1387,9770,0.142,steady,0
50M,wifi,weak,300,2116,12372,0.171,steady,0
50M,wifi,weak,300,1511,8441,0.179,steady,0
50M,wifi,weak,300,1077,8097,0.133,steady,0
50M,wifi,weak,300,927,6060,0.153,steady,0
50M,wifi,weak,300,1249,8984,0.139,steady,0
50M,wifi,weak,300,1246,9295,0.134,steady,0
50M,wifi,weak,300,1466,8146,0.18,steady,0
50M,wifi,weak,300,756,6689,0.113,steady,0
50M,wifi,weak,300,1267,2275,0.557,steady,0
50M,wifi,weak,300,1524,975,1.5619999999999998,steady,0
50M,wifi,weak,300,556,4153,0.134,steady,0
50M,wifi,weak,300,1578,7110,0.222,steady,0
50M,wifi,weak,300,1033,5806,0.178,steady,0
50M,wifi,weak,300,1068,7118,0.15,steady,0
50M,wifi,weak,300,892,7026,0.127,steady,0
50M,wifi,weak,300,1642,8599,0.191,steady,0
50M,wifi,weak,300,1992,9056,0.22,steady,0
50M,wifi,weak,300,1952,3649,0.535,steady,0
50M,wifi,weak,300,675,5867,0.1149999999999999,steady,0
50M,wifi,weak,300,1840,8763,0.21,steady,0
50M,wifi,weak,300,943,5546,0.1699999999999999,steady,0
50M,wifi,weak,300,953,6756,0.141,steady,0
50M,wifi,weak,300,1002,7426,0.135,steady,0
50M,wifi,weak,300,2081,1372,1.517,steady,0
50M,wifi,weak,300,1712,7164,0.239,steady,0
50M,wifi,weak,300,1131,7157,0.158,steady,0
50M,wifi,weak,300,590,1389,0.425,steady,0
50M,wifi,weak,300,1131,6357,0.178,steady,0
50M,wifi,weak,300,749,5631,0.133,steady,0
50M,wifi,weak,300,929,5278,0.176,steady,0
50M,wifi,weak,300,1063,3100,0.3429999999999999,steady,0
50M,wifi,weak,300,1594,6179,0.258,steady,0
50M,wifi,weak,300,2370,794,2.985,steady,0
50M,wifi,weak,300,1225,4841,0.253,steady,0
50M,wifi,weak,300,1236,4829,0.256,steady,0
50M,wifi,weak,300,1120,5628,0.199,steady,0
50M,wifi,weak,300,1065,6869,0.155,steady,0
50M,wifi,weak,300,988,3059,0.3229999999999999,steady,0
50M,wifi,weak,300,1452,5460,0.266,steady,0
50M,wifi,weak,300,1381,6670,0.207,steady,0
50M,wifi,weak,300,1366,7423,0.184,steady,0
50M,wifi,weak,300,969,4728,0.205,steady,0
50M,wifi,weak,300,484,2811,0.172,steady,0
50M,wifi,weak,300,458,4128,0.111,steady,0
50M,wifi,weak,300,1816,6093,0.298,steady,0
50M,wifi,weak,300,928,6108,0.152,steady,0
50M,wifi,weak,300,1480,7185,0.206,steady,0
50M,wifi,weak,300,1298,4701,0.276,steady,0
50M,wifi,weak,300,1255,7655,0.164,steady,0
