downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,4g,weak,300,15,81,0.179,steady,0
50M,4g,weak,300,1235,2389,0.517,steady,0
50M,4g,weak,300,1401,3992,0.351,buffering,1
50M,4g,weak,300,1447,8769,0.165,buffering,2
50M,4g,weak,300,1758,6324,0.278,buffering,3
50M,4g,weak,300,450,1443,0.312,steady,0
50M,4g,weak,300,1224,1742,0.703,steady,0
50M,4g,weak,300,2113,2074,1.019,steady,0
50M,4g,weak,300,1436,2617,0.549,steady,0
50M,4g,weak,300,1229,2920,0.421,steady,0
50M,4g,weak,300,1036,1804,0.5740000000000001,steady,0
50M,4g,weak,300,856,1465,0.5840000000000001,steady,0
50M,4g,weak,300,859,912,0.942,steady,0
50M,4g,weak,300,1245,2251,0.5529999999999999,steady,0
50M,4g,weak,300,930,1526,0.609,steady,0
50M,4g,weak,300,363,506,0.7170000000000001,steady,0
50M,4g,weak,300,674,1656,0.407,steady,0
50M,4g,weak,300,1177,1422,0.8280000000000001,steady,0
50M,4g,weak,300,867,433,2.003,steady,0
50M,4g,weak,300,1368,3103,0.441,steady,0
50M,4g,weak,300,2487,1356,1.834,steady,0
50M,4g,weak,300,953,310,3.078,steady,0
50M,4g,weak,300,485,136,3.566,steady,0
50M,4g,weak,300,709,3179,0.223,buffering,1
50M,4g,weak,300,533,2346,0.227,steady,0
50M,4g,weak,300,799,2119,0.377,steady,0
50M,4g,weak,300,1082,1391,0.778,steady,0
50M,4g,weak,300,1298,3993,0.325,steady,0
50M,4g,weak,300,1185,2522,0.47,steady,0
50M,4g,weak,300,1387,2248,0.617,steady,0
50M,4g,weak,300,2116,3925,0.539,steady,0
50M,4g,weak,300,1511,2421,0.624,steady,0
50M,4g,weak,300,1077,2336,0.4609999999999999,steady,0
50M,4g,weak,300,927,1780,0.521,steady,0
50M,4g,weak,300,1249,2308,0.541,steady,0
50M,4g,weak,300,1246,2611,0.477,steady,0
50M,4g,weak,300,1466,2741,0.535,steady,0
50M,4g,weak,300,756,1632,0.4629999999999999,steady,0
50M,4g,weak,300,1267,2761,0.4589999999999999,steady,0
50M,4g,weak,300,1524,3148,0.484,steady,0
50M,4g,weak,300,556,1525,0.365,steady,0
50M,4g,weak,300,1578,2712,0.5820000000000001,steady,0
50M,4g,weak,300,1033,2185,0.473,steady,0
50M,4g,weak,300,1068,2683,0.3979999999999999,steady,0
50M,4g,weak,300,892,1915,0.4659999999999999,steady,0
50M,4g,weak,300,1642,3422,0.48,steady,0
50M,4g,weak,300,1992,2303,0.865,steady,0
50M,4g,weak,300,1952,3237,0.603,steady,0
50M,4g,weak,300,675,1708,0.395,steady,0
50M,4g,weak,300,1840,2675,0.688,steady,0
50M,4g,weak,300,943,2300,0.41,steady,0
50M,4g,weak,300,953,2241,0.425,steady,0
50M,4g,weak,300,1002,2080,0.482,steady,0
50M,4g,weak,300,2081,3390,0.614,steady,0
50M,4g,weak,300,1712,3575,0.479,steady,0
50M,4g,weak,300,1131,2289,0.494,steady,0
50M,4g,weak,300,590,1339,0.4409999999999999,steady,0
50M,4g,weak,300,1131,2031,0.557,steady,0
50M,4g,weak,300,749,2002,0.374,steady,0
50M,4g,weak,300,929,1021,0.91,steady,0
50M,4g,weak,300,1063,2485,0.428,steady,0
50M,4g,weak,300,1594,1401,1.138,steady,0
50M,4g,weak,300,2370,4065,0.583,steady,0
50M,4g,weak,300,1225,1603,0.764,steady,0
50M,4g,weak,300,1236,2591,0.477,steady,0
50M,4g,weak,300,1120,1647,0.68,steady,0
50M,4g,weak,300,1065,1331,0.8,steady,0
50M,4g,weak,300,988,2600,0.38,steady,0
50M,4g,weak,300,1452,2809,0.517,steady,0
50M,4g,weak,300,1381,2529,0.546,steady,0
50M,4g,weak,300,1366,2443,0.559,steady,0
50M,4g,weak,300,969,2045,0.474,steady,0
50M,4g,weak,300,484,598,0.808,steady,0
50M,4g,weak,300,458,568,0.806,steady,0
50M,4g,weak,300,1816,2928,0.62,steady,0
50M,4g,weak,300,928,1673,0.555,steady,0
50M,4g,weak,300,1480,3083,0.48,steady,0
50M,4g,weak,300,1298,3424,0.379,steady,0
50M,4g,weak,300,1255,2860,0.439,steady,0
