downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,strong,300,32,688,0.046,steady,0
50M,wifi,strong,300,723,11469,0.063,buffering,1
50M,wifi,strong,300,597,22121,0.027,buffering,2
50M,wifi,strong,300,591,21880,0.027,buffering,3
50M,wifi,strong,300,552,20463,0.027,buffering,4
50M,wifi,strong,300,562,21605,0.026,buffering,5
50M,wifi,strong,300,545,20202,0.027,buffering,6
50M,wifi,strong,300,567,20232,0.0279999999999999,buffering,7
50M,wifi,strong,300,666,10915,0.061,steady,0
50M,wifi,strong,300,623,10554,0.059,steady,0
50M,wifi,strong,300,555,9740,0.0569999999999999,steady,0
50M,wifi,strong,300,497,8424,0.059,steady,0
50M,wifi,strong,300,440,7717,0.0569999999999999,steady,0
50M,wifi,strong,300,731,12188,0.06,steady,0
50M,wifi,strong,300,786,10763,0.073,steady,0
50M,wifi,strong,300,1838,19557,0.094,steady,0
50M,wifi,strong,300,1205,15446,0.078,steady,0
50M,wifi,strong,300,871,11767,0.074,steady,0
50M,wifi,strong,300,522,8708,0.06,steady,0
50M,wifi,strong,300,721,11812,0.061,steady,0
50M,wifi,strong,300,565,9739,0.0579999999999999,steady,0
50M,wifi,strong,300,556,9426,0.059,steady,0
50M,wifi,strong,300,536,8243,0.065,steady,0
50M,wifi,strong,300,561,9667,0.0579999999999999,steady,0
50M,wifi,strong,300,541,9329,0.0579999999999999,steady,0
50M,wifi,strong,300,447,7702,0.0579999999999999,steady,0
50M,wifi,strong,300,281,7033,0.04,steady,0
50M,wifi,strong,300,274,6862,0.04,steady,0
50M,wifi,strong,300,570,9819,0.0579999999999999,steady,0
50M,wifi,strong,300,810,10802,0.075,steady,0
50M,wifi,strong,300,727,12326,0.059,steady,0
50M,wifi,strong,300,788,10642,0.074,steady,0
50M,wifi,strong,300,530,8988,0.059,steady,0
50M,wifi,strong,300,239,5966,0.04,steady,0
50M,wifi,strong,300,286,7154,0.04,steady,0
50M,wifi,strong,300,308,7503,0.041,steady,0
50M,wifi,strong,300,386,7019,0.055,steady,0
50M,wifi,strong,300,337,6131,0.055,steady,0
50M,wifi,strong,300,365,6520,0.056,steady,0
50M,wifi,strong,300,460,7798,0.059,steady,0
50M,wifi,strong,300,413,7376,0.056,steady,0
50M,wifi,strong,300,702,11701,0.06,steady,0
50M,wifi,strong,300,673,11608,0.0579999999999999,steady,0
50M,wifi,strong,300,708,11603,0.061,steady,0
50M,wifi,strong,300,712,11865,0.06,steady,0
50M,wifi,strong,300,384,6863,0.056,steady,0
50M,wifi,strong,300,686,11625,0.059,steady,0
50M,wifi,strong,300,673,11224,0.06,steady,0
50M,wifi,strong,300,526,9224,0.0569999999999999,steady,0
50M,wifi,strong,300,750,12097,0.062,steady,0
50M,wifi,strong,300,1887,20291,0.093,steady,0
50M,wifi,strong,300,1041,13880,0.075,steady,0
50M,wifi,strong,300,731,12181,0.06,steady,0
50M,wifi,strong,300,522,8999,0.0579999999999999,steady,0
50M,wifi,strong,300,441,7740,0.0569999999999999,steady,0
50M,wifi,strong,300,707,11775,0.06,steady,0
50M,wifi,strong,300,1166,15146,0.077,steady,0
50M,wifi,strong,300,1470,17925,0.082,steady,0
50M,wifi,strong,300,1059,13576,0.078,steady,0
50M,wifi,strong,300,1350,16672,0.081,steady,0
50M,wifi,strong,300,1105,14351,0.077,steady,0
50M,wifi,strong,300,620,10684,0.0579999999999999,steady,0
50M,wifi,strong,300,555,9399,0.059,steady,0
50M,wifi,strong,300,588,9958,0.059,steady,0
50M,wifi,strong,300,702,11504,0.061,steady,0
50M,wifi,strong,300,923,12300,0.075,steady,0
50M,wifi,strong,300,741,12351,0.06,steady,0
50M,wifi,strong,300,802,10837,0.074,steady,0
50M,wifi,strong,300,621,10520,0.059,steady,0
50M,wifi,strong,300,255,6548,0.039,steady,0
50M,wifi,strong,300,356,6349,0.056,steady,0
50M,wifi,strong,300,433,7467,0.0579999999999999,steady,0
50M,wifi,strong,300,522,9002,0.0579999999999999,steady,0
50M,wifi,strong,300,635,10408,0.061,steady,0
50M,wifi,strong,300,449,7876,0.0569999999999999,steady,0
50M,wifi,strong,300,489,8571,0.0569999999999999,steady,0
50M,wifi,strong,300,10,510,0.02,steady,0
50M,wifi,strong,300,124,3270,0.038,steady,0
50M,wifi,strong,300,160,4093,0.039,steady,0
50M,wifi,strong,300,178,4567,0.039,steady,0
50M,wifi,strong,300,182,4552,0.04,steady,0
50M,wifi,strong,300,158,4280,0.037,steady,0
50M,wifi,strong,300,174,4461,0.039,steady,0
50M,wifi,strong,300,207,5455,0.038,steady,0
50M,wifi,strong,300,246,6305,0.039,steady,0
50M,wifi,strong,300,352,6406,0.055,steady,0
50M,wifi,strong,300,260,6502,0.04,steady,0
50M,wifi,strong,300,228,5845,0.039,steady,0
50M,wifi,strong,300,377,6729,0.056,steady,0
50M,wifi,strong,300,457,8014,0.0569999999999999,steady,0
50M,wifi,strong,300,1079,14200,0.076,steady,0
50M,wifi,strong,300,1225,15702,0.078,steady,0
50M,wifi,strong,300,495,8256,0.06,steady,0
50M,wifi,strong,300,352,6279,0.056,steady,0
50M,wifi,strong,300,300,7498,0.04,steady,0
50M,wifi,strong,300,350,6242,0.056,steady,0
50M,wifi,strong,300,285,7314,0.039,steady,0
50M,wifi,strong,300,205,5252,0.039,steady,0
50M,wifi,strong,300,349,6241,0.0559999999999999,steady,0
50M,wifi,strong,300,281,4771,0.059,steady,0
50M,wifi,strong,300,313,7636,0.041,steady,0
50M,wifi,strong,300,350,6251,0.056,steady,0
50M,wifi,strong,300,471,8265,0.0569999999999999,steady,0
50M,wifi,strong,300,423,7683,0.055,steady,0
50M,wifi,strong,300,470,8252,0.0569999999999999,steady,0
50M,wifi,strong,300,539,9286,0.0579999999999999,steady,0
50M,wifi,strong,300,559,9634,0.0579999999999999,steady,0
50M,wifi,strong,300,508,8757,0.0579999999999999,steady,0
50M,wifi,strong,300,451,8050,0.0559999999999999,steady,0
50M,wifi,strong,300,498,8588,0.0579999999999999,steady,0
50M,wifi,strong,300,407,7137,0.0569999999999999,steady,0
50M,wifi,strong,300,418,7472,0.0559999999999999,steady,0
50M,wifi,strong,300,465,7890,0.059,steady,0
50M,wifi,strong,300,516,9044,0.0569999999999999,steady,0
50M,wifi,strong,300,641,10687,0.06,steady,0
50M,wifi,strong,300,793,10722,0.074,steady,0
50M,wifi,strong,300,867,11716,0.074,steady,0
50M,wifi,strong,300,796,10902,0.073,steady,0
50M,wifi,strong,300,669,10617,0.063,steady,0
50M,wifi,strong,300,647,11150,0.0579999999999999,steady,0
50M,wifi,strong,300,585,10089,0.0579999999999999,steady,0
50M,wifi,strong,300,534,9206,0.0579999999999999,steady,0
50M,wifi,strong,300,557,9440,0.059,steady,0
50M,wifi,strong,300,572,9869,0.0579999999999999,steady,0
50M,wifi,strong,300,618,10304,0.06,steady,0
50M,wifi,strong,300,697,11611,0.06,steady,0
50M,wifi,strong,300,628,10834,0.0579999999999999,steady,0
50M,wifi,strong,300,717,12160,0.059,steady,0
50M,wifi,strong,300,511,8959,0.0569999999999999,steady,0
50M,wifi,strong,300,510,8940,0.0569999999999999,steady,0
50M,wifi,strong,300,547,9265,0.059,steady,0
50M,wifi,strong,300,465,8010,0.0579999999999999,steady,0
50M,wifi,strong,300,530,8981,0.059,steady,0
50M,wifi,strong,300,426,7475,0.0569999999999999,steady,0
50M,wifi,strong,300,701,11678,0.06,steady,0
50M,wifi,strong,300,609,10152,0.06,steady,0
50M,wifi,strong,300,782,10714,0.073,steady,0
50M,wifi,strong,300,630,10863,0.0579999999999999,steady,0
50M,wifi,strong,300,666,11105,0.06,steady,0
50M,wifi,strong,300,526,9231,0.0569999999999999,steady,0
50M,wifi,strong,300,498,2664,0.187,steady,0
50M,wifi,strong,300,951,12686,0.075,steady,0
50M,wifi,strong,300,794,10875,0.073,steady,0
50M,wifi,strong,300,831,11225,0.074,steady,0
50M,wifi,strong,300,612,10203,0.06,steady,0
50M,wifi,strong,300,463,8130,0.0569999999999999,steady,0
50M,wifi,strong,300,507,8892,0.0569999999999999,steady,0
50M,wifi,strong,300,303,7780,0.039,steady,0
50M,wifi,strong,300,491,8458,0.0579999999999999,steady,0
50M,wifi,strong,300,719,11989,0.06,steady,0
50M,wifi,strong,300,910,12133,0.075,steady,0
50M,wifi,strong,300,617,10637,0.0579999999999999,steady,0
50M,wifi,strong,300,620,10693,0.0579999999999999,steady,0
50M,wifi,strong,300,584,9898,0.059,steady,0
50M,wifi,strong,300,978,13042,0.075,steady,0
50M,wifi,strong,300,1147,14895,0.077,steady,0
50M,wifi,strong,300,1377,17432,0.079,steady,0
50M,wifi,strong,300,1576,17320,0.091,steady,0
50M,wifi,strong,300,1602,16860,0.095,steady,0
50M,wifi,strong,300,1894,19522,0.097,steady,0
50M,wifi,strong,300,561,9506,0.059,steady,0
50M,wifi,strong,300,312,7811,0.04,steady,0
50M,wifi,strong,300,382,6829,0.056,steady,0
50M,wifi,strong,300,443,7902,0.056,steady,0
50M,wifi,strong,300,965,12862,0.075,steady,0
50M,wifi,strong,300,596,10283,0.0579999999999999,steady,0
50M,wifi,strong,300,839,11339,0.074,steady,0
50M,wifi,strong,300,714,11900,0.06,steady,0
50M,wifi,strong,300,402,7049,0.0569999999999999,steady,0
50M,wifi,strong,300,364,6494,0.0559999999999999,steady,0
50M,wifi,strong,300,579,10153,0.0569999999999999,steady,0
